uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.904	1.325	@전화번호4번	[]
1	1	2	AH0001	1.945	2.065	님	[]
1	1	3	AH0001	2.346	3.287	강상나루터	[]
1	1	4	AH0001	3.307	3.407	님	[]
1	1	5	AH0001	3.627	4.469	@전화번호5번	[]
1	1	6	AH0001	4.489	4.569	님	[]
1	1	7	AH0001	4.749	5.47	@전화번호6	[]
1	1	8	AH0001	5.55	5.65	번	[]
1	1	9	AH0001	5.73	5.83	님	[]
1	1	10	AH0001	6.291	7.012	@전화번호7번	[]
1	1	11	AH0001	7.252	7.713	님께	[]
1	1	12	AH0001	8.173	8.534	선물	[]
1	1	13	AH0001	8.634	9.595	보내드리겠습니다.	[]
1	2	1	AH0001	10.262	10.943	감칠맛	[]
1	2	2	AH0001	11.063	11.544	가득한	[]
1	2	3	AH0001	11.664	12.445	고전이야기가	[]
1	2	4	AH0001	12.705	13.006	귀와	[]
1	2	5	AH0001	13.086	13.386	마음을	[]
1	2	6	AH0001	13.447	13.867	사로잡는	[]
1	2	7	AH0001	13.967	14.328	시간	[]
1	2	8	AH0001	14.608	14.889	@이름2	[]
1	2	9	AH0001	14.969	15.309	박사의	[]
1	2	10	AH0001	15.349	15.93	은밀한	[]
1	2	11	AH0001	16.11	16.471	고전	[]
1	2	12	AH0001	16.972	17.933	고전문학자이자	[]
1	2	13	AH0001	18.073	18.434	구수한	[]
1	2	14	AH0001	18.514	19.035	이야기꾼	[]
1	2	15	AH0001	19.435	19.816	연세대학교	[]
1	2	16	AH0001	19.896	20.096	학부	[]
1	2	17	AH0001	20.156	20.497	대학에	[]
1	2	18	AH0001	20.597	20.897	@이름2	[]
1	2	19	AH0001	20.937	21.198	박사님	[]
1	2	20	AH0001	21.258	21.939	모셨습니다	[]
1	2	21	AH0001	22.239	22.319	어서	[]
1	2	22	AH0001	22.399	22.84	오세요.	[]
2	3	1	AH0002	22.842	23.72	안녕하세요.	[]
3	4	1	AH0001	23.719	24.62	예	[]
3	4	2	AH0001	25.181	25.882	@전화번호8번	[]
3	4	3	AH0001	25.902	26.062	님이	[]
3	4	4	AH0001	26.182	26.362	제가	[]
3	4	5	AH0001	26.442	26.843	제일	[]
3	4	6	AH0001	26.923	27.323	기다리는	[]
3	4	7	AH0001	27.404	27.804	목요일	[]
3	4	8	AH0001	27.884	28.285	은밀한	[]
3	4	9	AH0001	28.365	28.585	고전	[]
3	4	10	AH0001	28.705	29.006	화이팅	[]
4	5	1	AH0002	29.476	30.148	고맙습니다.	[]
5	6	1	AH0001	30.29	30.872	@전화번호9번	[]
5	6	2	AH0001	31.053	31.153	님	[]
5	6	3	AH0001	31.213	31.615	정답은	[]
5	6	4	AH0001	31.675	32.498	비닐봉투인데요	[]
5	6	5	AH0001	32.598	32.759	오늘	[]
5	6	6	AH0001	32.779	33.02	@이름2	[]
5	6	7	AH0001	33.06	33.361	박사님	[]
5	6	8	AH0001	33.462	33.963	코너죠	[]
5	6	9	AH0001	34.064	34.264	기대	[]
5	6	10	AH0001	34.264	35.228	짱짱	[]
6	7	1	AH0002	35.228	35.568	예	[]
6	7	2	AH0002	35.588	36.069	비닐봉투에	[]
6	7	3	AH0002	36.129	36.369	담지	[]
6	7	4	AH0002	36.409	36.69	마시고	[]
6	7	5	AH0002	36.75	37.27	장바구니에	[]
6	7	6	AH0002	37.33	37.611	담아서	[]
6	7	7	AH0002	37.671	38.051	가져가시면	[]
6	7	8	AH0002	38.191	38.632	됩니다	[]
6	7	9	AH0002	38.732	38.912	오늘	[]
6	7	10	AH0002	38.952	39.253	코너는	[]
6	7	11	AH0002	39.453	39.473	네.	[]
7	8	1	AH0001	39.693	39.753	네	[]
7	8	2	AH0001	40.374	40.474	앞	[]
7	8	3	AH0001	40.514	40.674	시간	[]
7	8	4	AH0001	40.734	40.974	주제가	[]
7	8	5	AH0001	41.334	41.915	쨍이였어요	[1]
7	8	6	AH0001	42.255	42.395	그러고	[]
7	8	7	AH0001	42.435	42.495	보면	[]
7	8	8	AH0001	42.555	42.716	이제	[]
7	8	9	AH0001	42.796	43.156	고전은	[]
7	8	10	AH0001	43.176	43.196	뭐	[]
7	8	11	AH0001	43.476	43.957	권선징악	[]
7	8	12	AH0001	44.437	44.737	얘기도	[]
7	8	13	AH0001	44.997	45.178	많건만	[]
7	8	14	AH0001	45.338	45.418	이렇게	[]
7	8	15	AH0001	45.458	45.498	뭔가	[]
8	9	1	AH0002	44.578	45.064	많죠.	[]
8	9	2	AH0002	45.125	45.287	많죠.	[]
8	10	1	AH0002	46.075	46.135	예	[]
8	10	2	AH0002	46.255	46.696	오늘도	[]
8	10	3	AH0002	46.796	47.296	반전이지만	[]
