bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	9.482	9.842	CONTINUER	네.	[4]	[4]	[9]
2	AH0001	17.325	17.61	CONTINUER	네.	[6]	[6]	[5]
3	AH0001	22.746	23.251	ASSESSMENT	어머!	[6]	[7]	[6]
4	AH0002	31.747	32.152	CONTINUER	네.	[7]	[8]	[14]
5	AH0002	35.212	35.462	CONTINUER	네.	[7]	[8]	[21]
6	AH0002	38.763	39.213	CONTINUER	네네.	[7]	[9]	[7]
7	AH0002	41.128	41.393	CONTINUER	네.	[7]	[9]	[11]
8	AH0001	49.107	50.207	AFFIRMATIVE	그럼요. 그럼요. 그럼요.	[8]	[10]	[13]
9	AH0001	53.065	53.545	CONTINUER	네.	[8]	[11]	[7]
10	AH0002	57.596	57.796	CONTINUER	네.	[9]	[12]	[7]
11	AH0002	58.696	58.956	CONTINUER	네.	[9]	[12]	[8]
12	AH0001	65.828	66.393	ASSESSMENT	허!	[10]	[13]	[18]
13	AH0001	69.718	69.998	CONTINUER	네.	[10]	[13]	[29]
14	AH0001	75.909	76.099	CONTINUER	네.	[10]	[15]	[6]
15	AH0001	80.369	80.644	CONTINUER	음.	[10]	[15]	[18]
16	AH0001	85.47	85.875	CONTINUER	네.	[10]	[16]	[13]
17	AH0001	88.526	89.341	UNDERSTANDING	음.	[10]	[17]	[3]
18	AH0001	96.839	97.579	CONTINUER	어.	[10]	[18]	[8]
19	AH0002	100.887	101.177	CONTINUER	네.	[11]	[19]	[4]
20	AH0001	116.004	116.384	CONTINUER	네.	[12]	[21]	[11]
21	AH0001	118.564	119.244	UNDERSTANDING	음.	[12]	[22]	[1]
22	AH0001	131.654	131.894	CONTINUER	음.	[12]	[23]	[7]
23	AH0001	144.375	144.67	CONTINUER	네.	[12]	[24]	[12]
24	AH0001	147.56	148.125	UNDERSTANDING	아.	[12]	[24]	[22]
25	AH0001	153.188	153.748	UNDERSTANDING	음.	[12]	[25]	[13]
26	AH0001	155.203	155.588	CONTINUER	네.	[12]	[25]	[18]
27	AH0001	162.422	162.782	CONTINUER	네.	[12]	[26]	[13]
28	AH0001	187.388	187.553	CONTINUER	네.	[16]	[32]	[5]
29	AH0001	191.988	192.228	CONTINUER	으.	[16]	[32]	[17]
30	AH0001	199.136	199.476	CONTINUER	어.	[16]	[33]	[13]
31	AH0001	206.389	206.629	CONTINUER	음.	[16]	[34]	[5]
32	AH0001	214.949	215.334	CONTINUER	어.	[16]	[36]	[1]
33	AH0001	241.886	242.551	UNDERSTANDING	아.	[22]	[42]	[6]
34	AH0001	253.965	254.155	CONTINUER	네.	[24]	[45]	[19]
35	AH0001	273.238	273.768	CONTINUER	네.	[26]	[48]	[17]
36	AH0001	276.636	276.836	CONTINUER	음.	[26]	[49]	[1]
37	AH0001	278.531	278.906	CONTINUER	네.	[26]	[49]	[5]
38	AH0001	307.773	308.138	CONTINUER	네.	[28]	[53]	[20]
39	AH0001	325.239	325.574	CONTINUER	예.	[30]	[56]	[17]
40	AH0002	339.002	339.287	CONTINUER	예.	[31]	[58]	[13]
41	AH0001	343.855	344.065	CONTINUER	예.	[32]	[59]	[9]
42	AH0001	352.433	352.868	ASSESSMENT	오!	[32]	[60]	[10]
43	AH0001	366.967	367.351	ASSESSMENT	와!	[32]	[62]	[5]
44	AH0001	373.469	373.759	CONTINUER	네.	[34]	[64]	[3]
45	AH0001	379.595	379.89	CONTINUER	응.	[34]	[65]	[1]
46	AH0001	393.979	394.249	CONTINUER	음.	[34]	[67]	[5]
47	AH0001	401.849	402.314	ASSESSMENT	허!	[34]	[68]	[8]
48	AH0001	409.976	410.501	CONTINUER	어.	[34]	[69]	[8]
49	AH0001	420.872	421.757	UNDERSTANDING	어어.	[34]	[71]	[10]
50	AH0001	430.486	431.531	ASSESSMENT	오오!	[34]	[72]	[12]
51	AH0001	441.188	441.348	CONTINUER	네.	[34]	[73]	[17]
52	AH0001	446.718	447.813	UNDERSTANDING	아.	[34]	[74]	[6]
53	AH0001	454.189	454.414	CONTINUER	네.	[36]	[76]	[9]
54	AH0001	458.934	459.484	UNDERSTANDING	음.	[36]	[76]	[18]
55	AH0001	464.363	464.543	CONTINUER	네.	[36]	[77]	[7]
56	AH0001	472.085	472.8	UNDERSTANDING	음.	[36]	[78]	[3]
57	AH0002	479.985	480.425	CONTINUER	음.	[37]	[79]	[9]
58	AH0002	481.47	481.815	CONTINUER	네.	[37]	[79]	[11]
59	AH0002	483.7	484.21	CONTINUER	네네.	[37]	[79]	[19]
60	AH0002	485.7	486.31	CONTINUER	네네.	[37]	[79]	[24]
61	AH0002	487.402	487.632	CONTINUER	네.	[37]	[80]	[2]
62	AH0002	489.437	489.597	CONTINUER	네.	[37]	[80]	[6]
