bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	25.056	25.551	CONTINUER	으흠.	[6]	[7]	[12]
2	AH0002	29.789	30.044	CONTINUER	네.	[7]	[9]	[1]
3	AH0002	31.89	32.07	CONTINUER	예.	[7]	[10]	[1]
4	AH0001	44.273	44.683	CONTINUER	음.	[8]	[12]	[5]
5	AH0001	52.312	52.657	CONTINUER	예.	[8]	[13]	[12]
6	AH0001	56.608	56.873	CONTINUER	음.	[8]	[14]	[12]
7	AH0001	61.001	61.346	CONTINUER	어.	[8]	[16]	[1]
8	AH0001	69.132	69.567	AFFIRMATIVE	그렇죠.	[8]	[17]	[12]
9	AH0001	73.297	73.557	CONTINUER	음.	[8]	[18]	[7]
10	AH0001	83.384	83.709	CONTINUER	음.	[10]	[20]	[12]
11	AH0001	93.281	93.966	CONTINUER	네네.	[10]	[22]	[6]
12	AH0002	98.741	99.461	AFFIRMATIVE	그렇습니다. 예.	[11]	[23]	[6]
13	AH0002	110.939	111.274	CONTINUER	네.	[13]	[25]	[3]
14	AH0002	112.319	112.689	CONTINUER	예.	[13]	[25]	[5]
15	AH0001	122.686	122.891	CONTINUER	음.	[14]	[27]	[5]
16	AH0001	137.798	138.478	CONTINUER	예예.	[14]	[29]	[10]
17	AH0001	148.373	148.628	CONTINUER	어.	[16]	[32]	[9]
18	AH0001	156.845	157.095	CONTINUER	어.	[16]	[34]	[6]
19	AH0001	160.695	161.03	CONTINUER	으흠.	[16]	[34]	[18]
20	AH0001	164.814	164.964	CONTINUER	네.	[16]	[35]	[8]
21	AH0001	169.081	169.461	CONTINUER	음.	[16]	[36]	[6]
22	AH0001	171.016	171.411	CONTINUER	으흠.	[16]	[36]	[11]
23	AH0001	184.446	184.756	CONTINUER	음.	[16]	[40]	[1]
24	AH0001	194.911	195.311	CONTINUER	네.	[16]	[41]	[13]
25	AH0001	198.898	199.443	AFFIRMATIVE	그러니까요.	[16]	[42]	[7]
26	AH0001	223.612	223.917	CONTINUER	음.	[20]	[47]	[7]
27	AH0001	240.198	240.443	CONTINUER	예.	[20]	[51]	[6]
28	AH0001	246.246	246.601	CONTINUER	음.	[20]	[52]	[10]
29	AH0001	257.293	257.633	CONTINUER	예.	[20]	[54]	[9]
30	AH0001	264.914	265.259	CONTINUER	음.	[20]	[56]	[1]
31	AH0002	281.992	282.367	AFFIRMATIVE	그렇죠.	[21]	[59]	[4]
32	AH0001	294.89	295.245	CONTINUER	음.	[22]	[61]	[16]
33	AH0001	308.549	309.024	CONTINUER	으흠.	[22]	[64]	[5]
34	AH0001	313.791	314.391	CONTINUER	예.	[22]	[65]	[9]
35	AH0001	341.07	341.585	CONTINUER	으흠.	[22]	[69]	[9]
36	AH0002	349.272	349.647	CONTINUER	예.	[23]	[71]	[13]
37	AH0001	366.904	367.139	CONTINUER	음.	[24]	[74]	[11]
38	AH0001	368.849	369.154	CONTINUER	네.	[24]	[74]	[15]
39	AH0001	378.913	379.238	CONTINUER	음.	[24]	[76]	[9]
40	AH0001	380.238	380.698	AFFIRMATIVE	그렇죠.	[24]	[76]	[13]
41	AH0002	398.445	398.83	AFFIRMATIVE	그렇죠.	[25]	[80]	[3]
42	AH0002	399.82	400.25	AFFIRMATIVE	맞습니다.	[25]	[80]	[4]
43	AH0001	411.398	412.103	CONTINUER	예.	[28]	[83]	[7]
44	AH0001	413.869	414.734	CONTINUER	예.	[28]	[83]	[14]
45	AH0001	417.904	418.329	CONTINUER	음.	[28]	[84]	[9]
46	AH0001	424.417	425.067	CONTINUER	아하.	[28]	[85]	[11]
47	AH0001	427.288	427.833	CONTINUER	네.	[28]	[85]	[18]
48	AH0001	434.217	434.602	CONTINUER	음.	[28]	[87]	[2]
49	AH0001	450.487	451.812	AFFIRMATIVE	그렇죠. 그렇죠. 어.	[28]	[89]	[8]
50	AH0001	452.667	453.077	CONTINUER	네.	[28]	[89]	[11]
51	AH0002	456.869	457.319	AFFIRMATIVE	그럼요.	[29]	[91]	[2]
52	AH0001	461.282	461.962	CONTINUER	어.	[30]	[92]	[10]
53	AH0001	463.16	463.75	CONTINUER	예.	[30]	[93]	[3]
54	AH0001	470.339	470.744	CONTINUER	으흠.	[30]	[94]	[7]
55	AH0001	487.383	487.998	CONTINUER	어.	[32]	[97]	[6]
56	AH0001	494.651	494.931	CONTINUER	예.	[32]	[98]	[18]
57	AH0001	495.352	495.587	CONTINUER	예.	[32]	[99]	[1]
58	AH0001	498.122	498.622	CONTINUER	음.	[32]	[99]	[7]
59	AH0001	504.32	505.03	CONTINUER	네네.	[32]	[100]	[7]
60	AH0002	509.706	510.056	CONTINUER	네.	[33]	[101]	[7]
61	AH0002	513.686	513.941	CONTINUER	네.	[33]	[102]	[5]
62	AH0002	515.086	515.481	CONTINUER	네.	[33]	[102]	[7]
63	AH0001	565.285	566.0	CONTINUER	예. 예.	[36]	[111]	[10]
64	AH0001	591.008	591.703	CONTINUER	어.	[38]	[115]	[24]
65	AH0001	601.031	601.671	CONTINUER	음.	[38]	[117]	[6]
66	AH0002	617.074	617.404	CONTINUER	네.	[39]	[120]	[5]
67	AH0002	619.034	619.664	CONTINUER	네.	[39]	[120]	[9]
