uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	1.282	정신과	[]
1	1	2	AH0001	1.322	2.204	의사이시면서요	[]
1	1	3	AH0001	2.585	2.945	이십여	[]
1	1	4	AH0001	3.026	3.106	년	[]
1	1	5	AH0001	3.206	3.607	전부터	[]
1	1	6	AH0001	3.787	3.847	이	[]
1	1	7	AH0001	3.907	4.228	남들이	[]
1	1	8	AH0001	4.268	4.528	가지	[]
1	1	9	AH0001	4.568	4.789	않는	[]
1	1	10	AH0001	4.889	5.33	길을	[]
1	1	11	AH0001	5.39	5.61	개척해서	[]
1	2	1	AH0001	5.951	6.272	국내	[]
1	2	2	AH0001	6.372	6.893	정보	[]
1	2	3	AH0001	6.994	7.395	의학의	[]
1	2	4	AH0001	7.575	7.876	최고	[]
1	2	5	AH0001	7.936	8.738	권위자가	[]
1	2	6	AH0001	8.798	8.979	되신	[]
1	2	7	AH0001	9.059	10.382	교수님을	[]
1	2	8	AH0001	10.543	10.683	오늘	[]
1	2	9	AH0001	10.844	11.987	초대했습니다	[]
1	2	10	AH0001	12.067	12.307	교수님	[]
1	2	11	AH0001	12.368	12.428	어서	[]
1	2	12	AH0001	12.468	12.528	오십쇼.	[]
1	3	1	AH0001	13.472	13.954	정보	[]
1	3	2	AH0001	13.974	14.275	의학이라는	[]
1	3	3	AH0001	14.435	14.736	단어는	[]
1	3	4	AH0001	14.857	15.298	참	[]
1	3	5	AH0001	15.439	16.161	생소합니다.	[1]
1	3	6	AH0001	17.285	17.706	뭡니까	[]
1	3	7	AH0001	17.826	17.887	정보	[]
1	3	8	AH0001	17.907	17.987	의학이	[]
2	4	1	AH0002	18.345	18.526	뭐	[]
2	4	2	AH0002	18.627	19.09	컴퓨터	[]
2	4	3	AH0002	19.15	19.532	의학이라고	[]
2	4	4	AH0002	19.613	20.176	생각하시면	[]
2	4	5	AH0002	20.237	20.337	되죠	[]
2	4	6	AH0002	20.438	20.941	컴퓨터로	[]
2	4	7	AH0002	21.002	21.223	하는	[]
2	4	8	AH0002	21.404	21.746	의학	[]
3	5	1	AH0001	22.189	22.852	아니	[]
3	5	2	AH0001	22.872	23.555	의사분들	[]
3	5	3	AH0001	23.816	23.956	다	[]
3	5	4	AH0001	24.057	24.599	컴퓨터로	[]
3	5	5	AH0001	24.619	25.764	이것저것	[]
3	5	6	AH0001	26.125	26.246	어	[]
3	5	7	AH0001	26.366	26.587	자료	[]
3	5	8	AH0001	26.607	26.989	활용하고	[]
3	5	9	AH0001	27.049	27.069	다	[]
3	5	10	AH0001	27.109	27.33	하지	[]
3	5	11	AH0001	27.35	27.973	않습니까.	[]
3	6	1	AH0001	27.973	28.395	요즘	[]
