bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	40.154	40.659	CONTINUER	예.	[3]	[13]	[8]
2	AH0002	47.695	48.205	CONTINUER	네.	[3]	[13]	[19]
3	AH0001	66.567	67.416	CONTINUER	예.	[8]	[18]	[15]
4	AH0001	72.926	73.251	CONTINUER	음.	[8]	[19]	[15]
5	AH0001	87.65	88.095	CONTINUER	어.	[10]	[22]	[3]
6	AH0001	111.579	113.169	AFFIRMATIVE	그렇죠. 맞아요.	[14]	[28]	[7]
7	AH0001	118.18	118.89	CONTINUER	음.	[14]	[29]	[12]
8	AH0001	129.171	130.356	CONTINUER	예예.	[14]	[30]	[9]
9	AH0001	133.606	134.021	CONTINUER	음.	[14]	[30]	[20]
10	AH0001	135.946	137.226	AFFIRMATIVE	그래요. 아.	[14]	[30]	[26]
11	AH0001	147.855	148.5	UNDERSTANDING	음.	[16]	[32]	[12]
12	AH0001	149.35	149.955	UNDERSTANDING	음.	[16]	[32]	[16]
13	AH0001	150.725	151.265	CONTINUER	음.	[16]	[32]	[19]
14	AH0001	161.956	162.481	CONTINUER	음.	[18]	[35]	[4]
15	AH0001	164.931	165.646	CONTINUER	음.	[18]	[35]	[12]
16	AH0002	176.29	176.73	CONTINUER	예.	[19]	[36]	[9]
17	AH0002	179.145	179.645	CONTINUER	예.	[19]	[36]	[14]
18	AH0002	182.363	182.743	CONTINUER	예.	[19]	[37]	[3]
19	AH0002	192.523	192.988	CONTINUER	네.	[19]	[37]	[20]
20	AH0002	194.833	195.723	AFFIRMATIVE	그렇죠. 예.	[19]	[38]	[6]
21	AH0001	213.213	214.078	REQUEST_CONFIRMATION	그래요?	[22]	[41]	[7]
22	AH0001	225.798	227.023	CONTINUER	아. 예예.	[22]	[41]	[31]
23	AH0001	229.264	229.897	ASSESSMENT	그렇군요.	[22]	[41]	[38]
24	AH0001	235.533	236.485	AFFIRMATIVE	그래요. 예.	[22]	[42]	[14]
25	AH0001	241.8	242.28	CONTINUER	음.	[22]	[42]	[28]
26	AH0001	253.746	254.003	CONTINUER	음.	[22]	[43]	[12]
27	AH0001	265.772	266.317	CONTINUER	예예.	[22]	[44]	[22]
28	AH0001	268.45	269.018	CONTINUER	예.	[22]	[45]	[5]
29	AH0002	275.06	275.455	AFFIRMATIVE	그렇죠.	[23]	[47]	[7]
30	AH0001	283.583	284.013	AFFIRMATIVE	그렇죠.	[26]	[50]	[4]
31	AH0001	299.078	299.597	CONTINUER	어.	[28]	[52]	[13]
32	AH0001	305.285	306.508	AFFIRMATIVE	어어어. 그러니까요.	[28]	[53]	[11]
