uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.939	1.6	거의	[]
1	1	2	DG0001	1.62	1.64	뭐	[]
1	1	3	DG0001	1.881	2.222	@이름1	[]
1	1	4	DG0001	2.242	2.683	선생님이	[]
1	1	5	DG0001	3.344	4.246	즉문즉답	[]
1	1	6	DG0001	4.707	5.148	수준으로	[]
1	1	7	DG0001	5.649	6.35	치유해드리니까	[]
1	1	8	DG0001	7.072	7.312	많이들	[]
1	1	9	DG0001	7.393	7.693	찾아주시기	[]
1	1	10	DG0001	7.733	8.295	바라겠습니다.	[]
1	2	1	DG0001	10.454	11.175	어	[]
1	2	2	DG0001	11.595	11.855	@이름1	[]
1	2	3	DG0001	11.935	12.335	선생님	[]
1	2	4	DG0001	12.435	12.535	한	[]
1	2	5	DG0001	12.676	12.916	번	[]
1	2	6	DG0001	13.356	13.936	@전화번호3	[]
1	2	7	DG0001	14.397	14.577	님거	[]
1	2	8	DG0001	14.657	14.837	사연	[]
1	2	9	DG0001	14.897	15.037	주신	[]
1	2	10	DG0001	15.157	15.237	거	[]
1	2	11	DG0001	15.257	15.277	한	[]
1	2	12	DG0001	15.397	15.618	번	[]
1	2	13	DG0001	16.058	16.318	본인이	[]
1	2	14	DG0001	16.378	16.498	직접	[]
1	2	15	DG0001	16.538	16.598	한	[]
1	2	16	DG0001	16.698	16.858	번	[]
1	2	17	DG0001	17.219	17.799	읽어주시고	[1]
1	2	18	DG0001	18.5	18.6	한	[]
1	2	19	DG0001	18.72	18.74	번	[]
2	3	1	DG0002	19.211	20.033	@전화번호3	[]
2	3	2	DG0002	20.114	20.455	님께서	[]
2	3	3	DG0002	20.515	21.096	보내주셨어요.	[]
2	3	4	DG0002	21.116	21.598	안녕하세요	[]
2	3	5	DG0002	21.658	22.019	함디	[]
2	3	6	DG0002	22.119	22.4	@이름1	[]
2	3	7	DG0002	22.46	22.601	님.	[]
2	3	8	DG0002	23.243	23.403	저도	[]
2	3	9	DG0002	23.463	23.824	익명을	[]
2	3	10	DG0002	23.924	24.265	빌어서	[]
2	3	11	DG0002	24.406	24.687	슬쩍	[]
2	3	12	DG0002	24.787	24.867	뭘	[]
2	3	13	DG0002	24.907	24.988	좀	[]
2	3	14	DG0002	25.068	26.211	물어보려고요.	[]
2	4	1	DG0002	26.213	27.134	저에게는	[]
2	4	2	DG0002	27.214	27.434	밥을	[]
2	4	3	DG0002	27.574	28.215	지독하게도	[]
2	4	4	DG0002	28.275	28.375	안	[]
2	4	5	DG0002	28.475	28.676	사는	[]
2	4	6	DG0002	28.836	29.376	친구가	[]
2	4	7	DG0002	29.396	29.757	있습니다.	[]
2	5	1	DG0002	30.818	31.001	이게	[]
2	5	2	DG0002	31.165	31.98	친구일까요?	[]
2	6	1	DG0002	33.374	33.874	밥값	[]
2	6	2	DG0002	34.075	34.215	낼	[]
2	6	3	DG0002	34.235	34.255	때	[]
2	6	4	DG0002	34.455	34.695	신발	[]
2	6	5	DG0002	34.855	34.956	끈	[]
2	6	6	DG0002	35.036	35.376	묶기는	[]
2	6	7	DG0002	35.556	35.716	그건	[]
2	6	8	DG0002	35.796	36.317	예사고요	[]
2	6	9	DG0002	36.497	37.017	하다못해	[2]
2	6	10	DG0002	37.178	37.458	커피	[]
2	6	11	DG0002	37.498	37.598	한잔	[]
2	6	12	DG0002	37.638	37.858	사지를	[]
2	6	13	DG0002	37.898	38.599	않아요.	[]
2	7	1	DG0002	39.5	39.72	너무	[]
2	7	2	DG0002	39.82	39.96	돈을	[]
2	7	3	DG0002	40.02	40.1	안	[]
2	7	4	DG0002	40.18	40.381	써서	[]
2	7	5	DG0002	40.441	40.721	한번은	[]
2	7	6	DG0002	40.801	40.921	제가	[]
2	7	7	DG0002	41.001	41.021	야	[]
2	7	8	DG0002	41.141	41.762	이번에는	[]
2	7	9	DG0002	41.862	41.962	니가	[]
2	7	10	DG0002	42.002	42.062	밥	[]
2	7	11	DG0002	42.242	42.582	사	[]
2	7	12	DG0002	42.862	43.223	이랬더니	[3]
2	7	13	DG0002	43.303	43.363	그	[]
2	7	14	DG0002	43.483	43.703	친구가	[]
2	7	15	DG0002	43.723	43.883	하는	[]
2	7	16	DG0002	43.983	44.123	말이	[]
2	7	17	DG0002	44.143	44.163	어	[]
2	7	18	DG0002	44.704	44.804	나	[]
2	7	19	DG0002	44.824	45.004	이번에	[]
2	7	20	DG0002	45.084	45.364	노트북	[]
2	7	21	DG0002	45.444	45.624	새로	[]
2	7	22	DG0002	45.644	45.744	사서	[]
2	7	23	DG0002	45.764	45.784	돈	[]
2	7	24	DG0002	45.945	46.165	없어.	[4]
2	8	1	DG0002	47.358	47.619	다음에	[]
2	8	2	DG0002	47.659	47.779	내가	[]
2	8	3	DG0002	47.839	48.421	사줄	[]
2	8	4	DG0002	48.441	48.461	게	[]
2	8	5	DG0002	49.444	49.744	아니	[]
2	8	6	DG0002	49.764	50.005	그럼	[]
2	8	7	DG0002	50.346	50.587	밥은	[]
2	8	8	DG0002	50.687	50.747	못	[]
2	8	9	DG0002	50.847	51.128	사면서	[]
2	8	10	DG0002	51.188	51.389	다른	[]
2	8	11	DG0002	51.469	51.549	거	[]
2	8	12	DG0002	51.609	51.669	살	[]
2	8	13	DG0002	51.81	51.93	돈은	[]
2	8	14	DG0002	52.01	52.071	다	[]
2	8	15	DG0002	52.091	52.291	있단	[]
2	8	16	DG0002	52.351	52.993	말이잖아요.	[]
2	9	1	DG0002	53.47	53.53	이	[]
2	9	2	DG0002	53.65	53.871	친구	[]
2	9	3	DG0002	54.452	54.652	다른	[]
2	9	4	DG0002	54.732	54.873	건	[]
2	9	5	DG0002	55.354	55.474	다	[]
2	9	6	DG0002	55.594	55.754	저랑	[]
2	9	7	DG0002	55.815	56.195	맞는데	[]
2	9	8	DG0002	56.295	56.416	돈	[]
2	9	9	DG0002	56.456	57.077	문제만큼은	[5]
2	9	10	DG0002	57.478	57.658	저와	[]
2	9	11	DG0002	57.678	57.858	맞지를	[]
2	9	12	DG0002	58.199	58.68	않아요.	[]
2	10	1	DG0002	59.07	59.211	제가	[]
2	10	2	DG0002	59.272	59.372	너무	[]
2	10	3	DG0002	59.453	59.735	쪼잔한	[]
2	10	4	DG0002	59.795	60.541	건가요?	[]
2	11	1	DG0002	60.541	62.172	아닙니다.	[]
2	12	1	DG0002	62.172	62.873	어떻게	[]
2	12	2	DG0002	62.913	63.093	해야	[]
2	12	3	DG0002	63.193	63.273	이	[]
2	12	4	DG0002	63.453	63.854	친구가	[]
2	12	5	DG0002	63.874	63.894	밥	[]
2	12	6	DG0002	64.615	64.755	한	[]
2	12	7	DG0002	64.855	64.995	번	[]
2	12	8	DG0002	65.135	65.616	시원하게	[]
2	12	9	DG0002	66.156	66.276	쏠	[]
2	12	10	DG0002	66.397	66.477	수	[]
2	12	11	DG0002	66.497	66.897	있게	[]
2	12	12	DG0002	66.997	67.678	할까요?	[]
3	13	1	DG0001	67.738	68.079	야	[]
3	13	2	DG0001	68.24	68.38	내가	[]
3	13	3	DG0001	68.401	68.662	이거	[]
