bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	5.035	5.78	CONTINUER	으흠.	[1]	[1]	[10]
2	AH0002	8.343	9.048	CONTINUER	으흠.	[1]	[2]	[4]
3	AH0001	15.471	15.736	CONTINUER	으흠.	[2]	[3]	[7]
4	AH0001	17.138	17.323	CONTINUER	네.	[2]	[4]	[2]
5	AH0002	25.159	25.504	CONTINUER	으흠.	[3]	[5]	[4]
6	AH0001	27.461	27.732	CONTINUER	네.	[4]	[6]	[4]
7	AH0001	29.771	30.067	CONTINUER	네.	[4]	[6]	[12]
8	AH0002	34.914	35.249	CONTINUER	음.	[5]	[8]	[3]
9	AH0002	36.439	36.649	CONTINUER	으흠.	[5]	[8]	[7]
10	AH0002	38.064	38.644	CONTINUER	으흠.	[5]	[8]	[9]
11	AH0001	41.566	43.061	AFFIRMATIVE	네. 그쵸.	[6]	[9]	[5]
12	AH0001	47.435	47.81	AFFIRMATIVE	그렇죠.	[6]	[9]	[13]
13	AH0001	55.243	55.898	CONTINUER	음.	[6]	[10]	[12]
14	AH0001	60.709	60.945	CONTINUER	네.	[6]	[11]	[3]
15	AH0001	65.569	65.834	AFFIRMATIVE	그쵸.	[6]	[12]	[3]
16	AH0001	75.985	76.74	CONTINUER	아. 네.	[6]	[13]	[11]
17	AH0001	79.116	79.551	AFFIRMATIVE	그러게요.	[6]	[14]	[5]
18	AH0002	81.07	81.471	CONTINUER	어.	[7]	[15]	[5]
19	AH0002	93.507	93.827	CONTINUER	응.	[7]	[19]	[8]
20	AH0001	101.552	101.782	CONTINUER	네.	[8]	[21]	[6]
21	AH0001	107.756	107.866	CONTINUER	네.	[8]	[22]	[3]
22	AH0001	110.732	111.047	AFFIRMATIVE	그쵸.	[]	[]	[]
23	AH0001	114.237	115.577	CONTINUER	으흠. 네.	[10]	[24]	[10]
24	AH0001	118.065	118.605	UNDERSTANDING	아.	[10]	[25]	[3]
25	AH0001	122.265	122.712	CONTINUER	으흠.	[10]	[25]	[11]
26	AH0001	142.577	143.042	UNDERSTANDING	아. 네.	[12]	[30]	[5]
27	AH0001	147.293	147.538	CONTINUER	예.	[14]	[32]	[2]
28	AH0001	150.303	150.583	UNDERSTANDING	아.	[14]	[32]	[5]
29	AH0001	151.832	152.097	CONTINUER	음.	[14]	[32]	[9]
30	AH0001	155.567	156.992	UNDERSTANDING	아. 네.	[14]	[32]	[16]
31	AH0001	158.239	159.669	ASSESSMENT	허! 어.	[14]	[33]	[3]
32	AH0001	169.139	170.029	UNDERSTANDING	아. 네.	[16]	[35]	[6]
33	AH0001	173.552	173.782	CONTINUER	네.	[16]	[36]	[9]
34	AH0001	178.621	179.537	UNDERSTANDING	아.	[16]	[36]	[16]
35	AH0001	181.701	181.942	CONTINUER	으흠.	[18]	[38]	[3]
36	AH0002	187.186	187.961	CONTINUER	으흠. 음.	[19]	[39]	[3]
37	AH0002	197.175	199.16	AFFIRMATIVE	음. 네. 맞아요.	[21]	[42]	[7]
38	AH0001	199.962	200.292	UNDERSTANDING	아.	[22]	[43]	[2]
39	AH0001	203.401	204.196	CONTINUER	으흠.	[22]	[43]	[11]
40	AH0001	204.847	205.812	UNDERSTANDING	아. 네.	[22]	[44]	[1]
41	AH0001	206.68	207.091	AFFIRMATIVE	알겠습니다.	[22]	[44]	[1]
42	AH0002	216.666	217.571	CONTINUER	으흠.	[23]	[46]	[14]
43	AH0002	219.669	220.994	CONTINUER	음.	[23]	[47]	[6]
44	AH0002	222.707	224.182	AFFIRMATIVE	음 맞아요.	[23]	[48]	[1]
45	AH0002	230.801	231.071	CONTINUER	음.	[25]	[50]	[6]
46	AH0002	233.021	234.021	AFFIRMATIVE	음. 맞아요.	[25]	[51]	[5]
47	AH0002	236.66	237.115	CONTINUER	음.	[25]	[52]	[7]
48	AH0001	252.024	252.384	NEGATIVE_SURPRISE	아.	[28]	[56]	[2]
49	AH0001	254.785	255.11	CONTINUER	네.	[28]	[56]	[8]
50	AH0002	277.353	277.703	CONTINUER	음.	[33]	[64]	[6]
51	AH0002	279.05	280.131	CONTINUER	으흠.	[33]	[64]	[11]
52	AH0001	290.62	290.915	CONTINUER	네.	[34]	[66]	[13]
53	AH0001	295.549	295.759	CONTINUER	네.	[34]	[67]	[9]
54	AH0001	297.854	298.924	UNDERSTANDING	아.	[34]	[68]	[5]
55	AH0001	303.528	303.798	CONTINUER	네.	[34]	[69]	[7]
56	AH0001	306.544	307.209	AFFIRMATIVE	아. 그렇겠네요.	[34]	[70]	[1]
57	AH0002	315.66	315.82	CONTINUER	네.	[37]	[74]	[6]
58	AH0002	317.132	317.903	CONTINUER	으흠.	[37]	[74]	[11]
59	AH0002	322.238	322.448	CONTINUER	네.	[37]	[76]	[1]
60	AH0001	325.311	325.641	AFFIRMATIVE	맞아요.	[38]	[77]	[2]
61	AH0001	330.614	332.289	ASSESSMENT	으흠. 오!	[40]	[80]	[7]
62	AH0001	333.998	334.248	CONTINUER	네.	[40]	[81]	[1]
63	AH0001	337.172	337.532	CONTINUER	네.	[42]	[83]	[1]
64	AH0002	341.799	342.25	AFFIRMATIVE	맞아요.	[43]	[84]	[5]
65	AH0002	345.653	346.104	CONTINUER	으흠.	[43]	[86]	[1]
66	AH0002	347.42	347.565	CONTINUER	음.	[43]	[86]	[5]
67	AH0001	355.392	355.756	CONTINUER	네.	[46]	[89]	[7]
68	AH0001	358.247	358.692	ASSESSMENT	아유.	[46]	[89]	[16]
69	AH0002	373.994	374.274	CONTINUER	네.	[51]	[95]	[8]
70	AH0002	375.019	375.214	CONTINUER	네.	[51]	[95]	[9]
71	AH0002	377.079	377.414	CONTINUER	음.	[51]	[95]	[14]
72	AH0001	380.628	380.903	CONTINUER	네.	[52]	[96]	[4]
73	AH0001	382.793	382.993	CONTINUER	네.	[52]	[96]	[9]
74	AH0001	386.991	387.511	NEGATIVE_SURPRISE	안 돼!	[52]	[98]	[1]
75	AH0001	388.894	389.599	AFFIRMATIVE	아. 맞아요.	[52]	[98]	[5]
76	AH0002	417.166	417.761	CONTINUER	으흠.	[53]	[105]	[4]
77	AH0002	421.3	421.601	CONTINUER	으흠.	[55]	[107]	[5]
78	AH0001	427.141	427.842	REQUEST_CONFIRMATION	아 그래요?	[56]	[109]	[7]
79	AH0002	433.295	434.67	UNDERSTANDING	음. 으음.	[59]	[113]	[1]
80	AH0002	437.99	438.17	CONTINUER	음.	[59]	[113]	[9]
81	AH0002	439.325	439.97	UNDERSTANDING	음.	[59]	[113]	[13]
82	AH0002	440.855	441.19	CONTINUER	음.	[59]	[113]	[17]
83	AH0001	444.144	444.599	CONTINUER	네.	[60]	[114]	[8]
84	AH0001	450.59	451.135	UNDERSTANDING	음.	[60]	[115]	[9]
85	AH0001	452.01	452.2	CONTINUER	네.	[60]	[115]	[10]
