bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	22.537	22.817	CONTINUER	네.	[3]	[7]	[10]
2	AH0002	32.25	32.485	CONTINUER	네.	[7]	[13]	[9]
3	AH0001	38.871	39.291	CONTINUER	음.	[8]	[15]	[5]
4	AH0002	49.217	49.742	CONTINUER	네.	[11]	[18]	[4]
5	AH0002	78.015	78.92	AFFIRMATIVE	맞아요.	[15]	[26]	[12]
6	AH0002	84.071	84.536	AFFIRMATIVE	맞아요.	[15]	[27]	[1]
7	AH0001	93.594	94.399	UNDERSTANDING	음.	[16]	[30]	[9]
8	AH0001	95.921	96.251	CONTINUER	네.	[16]	[31]	[4]
9	AH0001	97.391	98.281	AFFIRMATIVE	그렇죠.	[16]	[31]	[8]
10	AH0001	101.818	102.118	CONTINUER	음.	[16]	[32]	[4]
11	AH0001	103.542	104.775	ASSESSMENT	네. 허!	[16]	[32]	[7]
12	AH0001	107.105	107.615	AFFIRMATIVE	맞아요.	[16]	[33]	[4]
13	AH0002	112.307	112.612	CONTINUER	네.	[17]	[35]	[4]
14	AH0002	115.628	116.343	ASSESSMENT	와!	[17]	[36]	[8]
15	AH0001	156.769	157.444	UNDERSTANDING	음.	[24]	[49]	[1]
16	AH0002	164.623	165.32	AFFIRMATIVE	맞아요.	[25]	[51]	[10]
17	AH0001	169.298	169.628	CONTINUER	음.	[26]	[53]	[4]
18	AH0001	171.073	171.698	ASSESSMENT	허!	[26]	[53]	[9]
19	AH0001	174.623	175.393	AFFIRMATIVE	맞아요.	[26]	[53]	[20]
20	AH0001	189.885	191.56	AFFIRMATIVE	네. 맞아요.	[30]	[60]	[1]
21	AH0001	192.91	193.315	CONTINUER	음.	[30]	[61]	[4]
22	AH0002	205.461	205.886	CONTINUER	네.	[31]	[63]	[5]
23	AH0001	212.57	213.84	AFFIRMATIVE	어. 맞아요.	[32]	[66]	[1]
24	AH0001	228.063	228.933	UNDERSTANDING	음.	[36]	[72]	[7]
25	AH0001	242.844	243.084	CONTINUER	네.	[40]	[79]	[2]
26	AH0001	243.97	244.274	CONTINUER	음.	[40]	[79]	[6]
27	AH0001	245.394	245.744	CONTINUER	네.	[40]	[79]	[9]
28	AH0001	247.714	248.779	ASSESSMENT	허!	[40]	[79]	[12]
