bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	6.085	6.54	AFFIRMATIVE	그렇습니다.	[1]	[1]	[10]
2	AH0001	23.522	23.907	ASSESSMENT	아하.	[2]	[3]	[4]
3	AH0001	25.752	26.147	CONTINUER	네.	[2]	[3]	[11]
4	AH0001	29.237	29.372	CONTINUER	예.	[2]	[3]	[16]
5	AH0001	32.673	32.918	CONTINUER	네.	[2]	[4]	[1]
6	AH0001	34.668	35.053	CONTINUER	예.	[2]	[4]	[4]
7	AH0001	38.268	38.503	CONTINUER	예.	[2]	[4]	[9]
8	AH0001	44.921	45.211	CONTINUER	예.	[]	[]	[]
9	AH0001	51.424	52.299	CONTINUER	아 예.	[4]	[6]	[14]
10	AH0001	57.293	58.583	ASSESSMENT	아. 네.	[4]	[7]	[8]
11	AH0001	62.108	62.338	CONTINUER	네.	[4]	[7]	[16]
12	AH0001	67.625	67.96	CONTINUER	네.	[4]	[8]	[5]
13	AH0001	72.29	72.76	CONTINUER	예.	[4]	[8]	[17]
14	AH0001	73.875	74.074	CONTINUER	네.	[4]	[8]	[23]
15	AH0001	78.757	80.042	AFFIRMATIVE	그렇죠. 네.	[4]	[9]	[11]
16	AH0001	86.332	86.447	CONTINUER	네.	[4]	[9]	[22]
17	AH0001	86.76	86.895	CONTINUER	네.	[4]	[10]	[1]
18	AH0001	97.131	97.391	CONTINUER	예.	[4]	[10]	[22]
19	AH0001	107.451	107.791	CONTINUER	네.	[6]	[12]	[15]
20	AH0001	109.296	109.771	CONTINUER	네.	[6]	[12]	[19]
21	AH0001	111.316	111.661	CONTINUER	으흠.	[6]	[12]	[24]
22	AH0001	123.831	124.221	CONTINUER	예.	[6]	[14]	[4]
23	AH0001	125.711	125.941	ASSESSMENT	어허.	[6]	[14]	[9]
24	AH0001	129.041	129.211	CONTINUER	예.	[6]	[14]	[20]
25	AH0001	131.795	133.815	CONTINUER	음. 네. 네. 네.	[6]	[15]	[1]
26	AH0001	139.615	140.015	CONTINUER	예.	[6]	[15]	[19]
27	AH0001	147.588	147.953	CONTINUER	네.	[6]	[16]	[8]
28	AH0001	151.353	151.683	CONTINUER	으흠.	[6]	[16]	[21]
29	AH0001	153.158	154.373	CONTINUER	네. 예.	[6]	[16]	[26]
30	AH0001	166.962	167.182	CONTINUER	예.	[6]	[18]	[4]
31	AH0001	168.092	168.352	CONTINUER	예.	[6]	[18]	[6]
32	AH0001	179.426	179.581	CONTINUER	네.	[6]	[19]	[11]
33	AH0001	188.395	188.655	CONTINUER	예.	[6]	[20]	[2]
34	AH0001	193.69	194.02	CONTINUER	네.	[6]	[20]	[11]
