uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	3.545	한	[]
1	1	2	DG0001	9.375	9.535	권의	[]
1	1	3	DG0001	9.635	10.036	책으로	[]
1	1	4	DG0001	10.136	10.337	나를	[]
1	1	5	DG0001	10.417	10.978	돌아보고	[]
1	1	6	DG0001	11.058	11.358	세상을	[]
1	1	7	DG0001	11.418	11.739	만나는	[]
1	1	8	DG0001	11.819	12.42	시간이죠.	[]
1	2	1	DG0001	12.422	12.982	@이름3의	[]
1	2	2	DG0001	13.043	13.443	책가방	[]
1	2	3	DG0001	13.743	14.364	세종대학교	[]
1	2	4	DG0001	14.444	15.545	융합예술대학원장	[]
1	2	5	DG0001	15.665	16.245	@이름3교수님	[]
1	2	6	DG0001	16.285	16.926	오셨습니다	[]
1	2	7	DG0001	16.946	18.127	안녕하세요?	[]
2	3	1	DG0002	18.127	19.241	안녕하세요?	[]
3	4	1	DG0001	19.239	19.581	예	[]
3	4	2	DG0001	20.002	20.364	오늘	[]
3	4	3	DG0001	20.505	20.826	@이름3	[]
3	4	4	DG0001	20.906	21.308	교수님의	[]
3	4	5	DG0001	21.389	22.112	책가방에는	[]
3	4	6	DG0001	22.212	22.534	어떤	[]
3	4	7	DG0001	22.634	22.815	책이	[]
3	4	8	DG0001	22.875	23.076	담겨	[]
3	4	9	DG0001	23.096	23.94	있을까요?	[]
4	5	1	DG0002	24.17	24.65	네.	[]
4	5	2	DG0002	25.131	25.351	요즘	[]
4	5	3	DG0002	25.471	25.652	제가	[]
4	5	4	DG0002	26.232	26.572	작년에	[]
4	5	5	DG0002	26.713	26.873	집을	[]
4	5	6	DG0002	26.893	26.993	한	[]
4	5	7	DG0002	27.073	27.213	번	[]
4	5	8	DG0002	27.353	27.794	고치면서	[]
4	5	9	DG0002	27.914	28.094	책을	[]
4	5	10	DG0002	28.154	28.294	많이	[]
4	5	11	DG0002	28.374	28.875	버렸습니다.	[1]
4	5	12	DG0002	29.255	29.395	올해	[]
4	5	13	DG0002	29.656	29.796	일월	[]
4	5	14	DG0002	29.896	29.996	달에	[]
4	5	15	DG0002	30.136	30.516	연구실도	[]
4	5	16	DG0002	30.536	30.556	한	[]
4	5	17	DG0002	30.637	30.657	번	[]
4	5	18	DG0002	30.777	31.117	청소하면서	[]
4	5	19	DG0002	31.217	31.357	책을	[]
4	5	20	DG0002	31.397	31.537	많이	[]
4	5	21	DG0002	31.638	32.118	버렸는데	[]
4	5	22	DG0002	32.759	32.939	요즘	[]
4	5	23	DG0002	33.039	33.259	책을	[]
4	5	24	DG0002	33.319	33.419	살	[]
4	5	25	DG0002	33.499	34.04	때는요.	[]
4	6	1	DG0002	34.463	34.704	이제는	[]
4	6	2	DG0002	34.845	35.006	좀	[]
4	6	3	DG0002	35.328	35.569	오래	[]
4	6	4	DG0002	35.71	36.133	가지고	[]
4	6	5	DG0002	36.193	36.736	있을만	[]
4	6	6	DG0002	36.756	36.776	한	[]
4	6	7	DG0002	36.897	37.058	책을	[]
4	6	8	DG0002	37.118	37.259	사고	[]
4	6	9	DG0002	37.319	37.943	싶습니다.	[2]
5	7	1	DG0001	38.465	38.889	예전에도	[]
5	7	2	DG0001	38.95	39.152	그러지	[]
5	7	3	DG0001	39.172	39.495	않으셨어요?	[]
6	8	1	DG0002	39.408	39.628	네.	[]
6	8	2	DG0002	39.708	39.869	마음은	[]
6	8	3	DG0002	39.949	40.169	항상	[]
6	8	4	DG0002	40.209	40.63	시작했습니다.	[]
6	8	5	DG0002	40.69	41.831	책을	[]
6	8	6	DG0002	41.931	42.031	살	[]
6	8	7	DG0002	42.191	42.292	때	[]
6	8	8	DG0002	42.312	42.332	책	[3]
6	8	9	DG0002	42.952	43.513	내용도	[]
6	8	10	DG0002	43.613	43.994	예쁘고	[]
6	8	11	DG0002	44.054	44.574	좋지만	[]
6	8	12	DG0002	44.935	45.255	책도	[]
6	8	13	DG0002	45.315	45.576	예쁜	[]
6	8	14	DG0002	45.696	45.776	책.	[4]
6	8	15	DG0002	46.076	46.297	왜	[]
6	8	16	DG0002	46.317	46.517	그냐면	[]
6	8	17	DG0002	46.537	46.677	이	[]
6	8	18	DG0002	46.757	46.997	북도	[]
6	8	19	DG0002	47.057	47.398	많고	[]
6	8	20	DG0002	47.899	48.119	오디오	[]
6	8	21	DG0002	48.179	48.339	북도	[]
6	8	22	DG0002	48.399	48.619	많기	[]
6	8	23	DG0002	48.72	49.06	때문에	[]
6	8	24	DG0002	49.48	49.701	책을	[]
6	8	25	DG0002	49.801	49.941	굳이	[]
6	8	26	DG0002	50.021	50.422	산다면	[5]
6	9	1	DG0002	51.131	51.191	그	[]
6	9	2	DG0002	51.372	51.612	책을	[]
6	9	3	DG0002	51.773	52.174	바라보는	[]
6	9	4	DG0002	52.274	52.956	것만으로도	[]
6	9	5	DG0002	53.056	53.397	가슴이	[]
6	9	6	DG0002	53.798	54.54	따뜻해지는	[]
6	9	7	DG0002	54.62	54.741	책이	[]
6	9	8	DG0002	54.781	54.941	있으면	[]
6	9	9	DG0002	54.981	55.322	좋겠다.	[]
6	9	10	DG0002	55.342	55.763	책을	[6]
6	9	11	DG0002	55.904	56.084	고르고	[]
6	9	12	DG0002	56.124	56.465	있는데	[]
6	9	13	DG0002	56.946	57.087	오늘	[]
6	9	14	DG0002	57.187	57.388	그중에	[]
6	9	15	DG0002	57.408	57.428	한	[]
6	9	16	DG0002	57.608	57.748	권을	[]
6	9	17	DG0002	57.809	57.849	또	[]
6	9	18	DG0002	57.869	58.109	가지고	[]
6	9	19	DG0002	58.129	58.711	왔습니다.	[7]
6	10	1	DG0002	59.365	60.487	모래알만	[]
6	10	2	DG0002	60.507	60.527	한	[]
6	10	3	DG0002	60.747	61.468	진실이라도	[]
6	10	4	DG0002	61.729	61.989	라는	[]
6	10	5	DG0002	62.389	62.81	@이름4	[]
6	10	6	DG0002	62.87	63.271	선생님의	[]
6	10	7	DG0002	63.331	64.072	에세이입니다.	[8]
6	11	1	DG0002	64.69	65.219	모래알만	[]
6	11	2	DG0002	65.28	65.361	한	[]
6	11	3	DG0002	65.443	65.87	진실이라도.	[]
7	12	1	DG0001	66.375	67.106	모래알만	[]
7	12	2	DG0001	67.126	67.146	한	[]
7	12	3	DG0001	67.227	67.755	진실이라도.	[]
8	13	1	DG0002	68.196	68.557	@이름4	[]
8	13	2	DG0002	68.637	69.018	작가	[]
8	13	3	DG0002	69.138	69.198	십	[]
8	13	4	DG0002	69.358	69.639	주기	[]
8	13	5	DG0002	69.799	70.16	베스트	[]
8	13	6	DG0002	70.24	70.561	에세이	[]
8	13	7	DG0002	70.621	71.082	결정판	[]
8	13	8	DG0002	71.162	71.343	이렇게	[9]
8	13	9	DG0002	71.403	71.423	돼	[]
8	13	10	DG0002	71.463	71.944	있습니다.	[]
8	13	11	DG0002	72.224	72.505	벌써	[]
8	13	12	DG0002	72.625	72.685	십	[]
8	13	13	DG0002	72.785	72.926	년이	[]
8	13	14	DG0002	73.006	73.587	됐습니다.	[]
8	13	15	DG0002	74.309	74.73	어	[]
8	13	16	DG0002	74.85	74.93	이	[]
8	13	17	DG0002	75.07	75.371	책에	[]
8	13	18	DG0002	75.671	76.213	띠에요.	[]
8	13	19	DG0002	76.533	76.593	그	[]
8	13	20	DG0002	76.734	77.134	광고로	[]
8	13	21	DG0002	77.255	77.495	붙어	[]
8	13	22	DG0002	77.555	77.676	놓은	[]
8	13	23	DG0002	77.816	77.936	띠에	[]
8	13	24	DG0002	77.976	78.217	이렇게	[]
8	13	25	DG0002	78.277	78.357	되어	[]
8	13	26	DG0002	78.397	78.838	있어요.	[]
8	14	1	DG0002	79.203	80.145	다이아몬드에는	[]
8	14	2	DG0002	80.346	80.827	중고라는	[]
8	14	3	DG0002	80.887	81.087	것이	[]
8	14	4	DG0002	81.148	81.508	없지	[]
8	14	5	DG0002	81.529	81.549	천	[]
8	14	6	DG0002	82.27	82.451	년을	[]
8	14	7	DG0002	82.511	82.832	가도	[]
8	14	8	DG0002	82.992	83.012	만	[]
8	14	9	DG0002	83.193	83.393	년을	[]
8	14	10	DG0002	83.453	83.754	가도	[]
8	14	11	DG0002	83.974	84.395	영원히	[]
8	14	12	DG0002	84.596	85.017	청춘인	[]
8	14	13	DG0002	85.037	85.057	돌.	[10]
8	15	1	DG0002	86.986	87.146	제가	[]
8	15	2	DG0002	87.286	87.546	서점에서	[]
8	15	3	DG0002	87.726	88.047	한참을	[]
8	15	4	DG0002	88.147	88.487	보고	[]
8	15	5	DG0002	88.507	88.847	있었어요.	[]
8	15	6	DG0002	89.367	89.987	다이아몬드에	[11]
8	15	7	DG0002	90.087	90.468	중고라는	[]
8	15	8	DG0002	90.488	90.688	것이	[]
8	15	9	DG0002	90.788	91.028	없지.	[]
8	15	10	DG0002	91.168	91.208	아	[]
8	15	11	DG0002	91.508	91.728	진짜	[]
8	15	12	DG0002	91.828	92.229	그렇다.	[]
8	15	13	DG0002	92.729	92.949	진짜	[]
8	15	14	DG0002	93.029	93.369	그렇다.	[]
8	15	15	DG0002	94.35	94.59	아	[]
8	15	16	DG0002	94.79	95.01	그	[]
8	15	17	DG0002	95.15	95.49	다이아몬드	[]
8	15	18	DG0002	95.57	95.89	반지에는	[]
8	15	19	DG0002	95.97	96.33	중고	[]
8	15	20	DG0002	96.411	96.791	중고라는게	[]
8	15	21	DG0002	96.831	97.371	없죠.	[12]
8	16	1	DG0002	97.433	97.533	네.	[]
8	16	2	DG0002	97.593	97.894	그래서	[]
8	16	3	DG0002	98.435	98.515	야	[]
8	16	4	DG0002	98.616	98.956	이게	[]
8	16	5	DG0002	99.477	99.738	어떻게	[]
8	16	6	DG0002	99.798	99.898	한	[]
8	16	7	DG0002	99.978	100.479	줄인데도	[]
8	16	8	DG0002	100.56	100.82	사람이	[]
8	16	9	DG0002	100.94	101.121	계속	[]
8	16	10	DG0002	101.281	101.822	울려지지	[13]
8	16	11	DG0002	101.983	102.183	울림이	[]
8	16	12	DG0002	102.223	102.524	있다는	[]
8	16	13	DG0002	102.604	102.804	말을	[]
8	16	14	DG0002	102.905	103.125	듣고	[]
8	16	15	DG0002	103.245	103.346	참	[]
8	16	16	DG0002	103.466	103.726	글이라는	[]
8	16	17	DG0002	103.767	103.827	게	[]
8	16	18	DG0002	103.907	104.248	무섭다	[]
8	16	19	DG0002	104.288	104.568	생각이	[]
8	16	20	DG0002	104.628	105.871	들었습니다.	[14]
8	17	1	DG0002	105.871	106.171	예전에	[]
8	17	2	DG0002	106.231	106.372	제가	[]
8	17	3	DG0002	106.472	106.592	늘	[]
8	17	4	DG0002	106.672	107.273	말씀드리지만	[]
8	17	5	DG0002	107.413	107.853	@이름4	[]
8	17	6	DG0002	107.953	108.234	님은	[]
8	17	7	DG0002	109.135	109.335	나이	[]
8	17	8	DG0002	109.475	109.775	사십에	[]
8	17	9	DG0002	109.835	110.076	작가가	[]
8	17	10	DG0002	110.116	110.296	되신	[15]
8	17	11	DG0002	110.376	110.496	분입니다.	[]
8	17	12	DG0002	110.957	111.077	네.	[]
8	17	13	DG0002	111.217	111.437	집에	[]
8	17	14	DG0002	111.457	111.878	계시다가	[]
8	17	15	DG0002	112.498	112.659	나이	[]
8	17	16	DG0002	112.699	112.939	사십에	[]
8	17	17	DG0002	112.999	113.259	작가가	[]
8	17	18	DG0002	113.279	113.7	되시고	[]
8	17	19	DG0002	113.98	114.541	평생동안	[]
8	18	1	DG0002	115.305	115.866	팔십여	[]
8	18	2	DG0002	115.966	116.106	편의	[]
8	18	3	DG0002	116.166	116.747	단편과	[]
8	18	4	DG0002	116.907	117.288	열다섯	[]
8	18	5	DG0002	117.408	117.528	편의	[]
8	18	6	DG0002	117.588	118.229	장편소설을	[]
8	18	7	DG0002	118.49	119.111	쓰셨습니다.	[]
8	18	8	DG0002	119.471	119.672	그리고	[]
8	18	9	DG0002	119.772	120.112	동화	[]
8	18	10	DG0002	120.593	121.074	산문집	[]
8	18	11	DG0002	121.194	121.595	콩트집	[]
8	18	12	DG0002	121.735	121.795	등	[]
8	18	13	DG0002	121.895	122.196	다양한	[]
8	18	14	DG0002	122.276	122.516	분야의	[]
8	18	15	DG0002	122.576	122.877	작품을	[]
8	18	16	DG0002	122.937	123.598	남기셨는데	[]
8	18	17	DG0002	124.078	124.279	우리가	[]
8	18	18	DG0002	124.379	124.639	모르는	[]
8	18	19	DG0002	124.739	124.9	사이에	[]
8	18	20	DG0002	125.04	125.42	산문이	[]
8	18	21	DG0002	125.481	126.122	육백육십	[]
8	18	22	DG0002	126.202	126.322	편이나	[]
8	18	23	DG0002	126.342	126.362	된	[]
8	18	24	DG0002	126.402	127.083	답니다.	[16, 17]
8	19	1	DG0002	127.587	127.687	그	[]
8	19	2	DG0002	127.927	128.568	육백육십	[]
8	19	3	DG0002	128.668	128.768	편	[]
8	19	4	DG0002	128.908	129.308	중에서	[]
8	19	5	DG0002	129.669	130.109	베스트	[]
