uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.544	2.364	사촌	[1]
1	1	2	AH0001	2.444	2.825	형제	[]
1	1	3	AH0001	3.125	3.405	자매	[]
1	1	4	AH0001	3.425	4.345	자매가	[]
1	1	5	AH0001	4.586	4.906	함께	[]
1	1	6	AH0001	5.266	5.646	잠시	[]
1	1	7	AH0001	6.306	6.366	우리	[]
1	1	8	AH0001	6.546	6.667	집에	[]
1	1	9	AH0001	6.727	6.847	놀러	[]
1	1	10	AH0001	6.867	6.887	와	[]
1	1	11	AH0001	6.987	7.567	살다가	[2]
1	1	12	AH0001	8.307	8.648	다투기도	[]
1	1	13	AH0001	8.728	9.088	하고	[]
1	1	14	AH0001	9.228	9.988	다퉜다기보다는	[]
1	1	15	AH0001	10.068	10.128	좀	[]
1	1	16	AH0001	10.188	10.348	약간	[]
1	1	17	AH0001	10.408	10.929	일방적으로	[]
1	1	18	AH0001	10.949	11.009	좀	[]
1	1	19	AH0001	11.769	13.05	미워하고	[]
1	1	20	AH0001	13.07	13.09	좀	[]
1	1	21	AH0001	13.13	13.41	욕심내고	[]
1	2	1	AH0001	14.31	14.833	질투하고	[]
1	2	2	AH0001	15.677	16.219	그랬던	[3]
1	2	3	AH0001	16.28	16.641	마음이	[]
1	2	4	AH0001	17.244	17.867	지금까지두	[]
1	2	5	AH0001	17.948	18.169	마음에	[]
1	2	6	AH0001	18.229	19.153	남으셨나	[]
1	2	7	AH0001	19.214	19.274	봐요.	[]
2	3	1	AH0002	19.415	19.616	아	[]
2	3	2	AH0002	19.797	19.877	참	[]
2	3	3	AH0002	19.958	20.199	그런	[]
2	3	4	AH0002	20.259	20.28	거	[]
2	3	5	AH0002	20.32	20.782	같애요.	[]
2	3	6	AH0002	20.883	20.943	이	[]
2	3	7	AH0002	21.023	21.305	어릴	[]
2	3	8	AH0002	21.426	21.627	때는	[]
2	3	9	AH0002	21.707	21.808	참	[]
2	3	10	AH0002	21.888	21.968	왜	[]
2	3	11	AH0002	22.029	22.431	그랬을까	[]
2	3	12	AH0002	22.511	22.712	싶은	[]
2	3	13	AH0002	22.753	22.994	것들이	[]
2	3	14	AH0002	23.034	23.416	있죠?	[4]
2	4	1	AH0002	24.253	25.016	넘어오지	[]
2	4	2	AH0002	25.036	25.056	마.	[]
2	4	3	AH0002	25.176	25.357	내	[5]
