bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	63.018	63.393	CONTINUER	네.	[8]	[17]	[13]
2	AH0001	71.294	71.685	CONTINUER	네.	[8]	[18]	[15]
3	AH0001	95.311	95.592	CONTINUER	네.	[10]	[22]	[9]
4	AH0001	115.347	115.752	CONTINUER	네.	[10]	[25]	[14]
5	AH0001	136.926	137.651	CONTINUER	음.	[10]	[28]	[11]
6	AH0002	150.429	151.104	CONTINUER	네.	[13]	[31]	[13]
7	AH0001	180.018	180.378	CONTINUER	네.	[14]	[36]	[5]
8	AH0001	184.926	185.656	CONTINUER	어.	[14]	[37]	[7]
9	AH0002	195.346	196.326	AFFIRMATIVE	네. 그렇죠.	[15]	[38]	[7]
10	AH0001	206.0	206.345	CONTINUER	네.	[16]	[40]	[13]
11	AH0001	216.321	216.996	CONTINUER	네.	[16]	[41]	[20]
12	AH0001	248.966	249.722	UNDERSTANDING	네.	[18]	[45]	[28]
13	AH0001	257.268	258.295	UNDERSTANDING	어.	[18]	[46]	[20]
14	AH0001	276.079	276.752	CONTINUER	네.	[18]	[48]	[14]
15	AH0001	290.229	290.688	CONTINUER	네.	[18]	[51]	[1]
16	AH0002	311.422	312.074	CONTINUER	예.	[19]	[53]	[6]
17	AH0002	316.739	316.919	CONTINUER	네.	[19]	[53]	[15]
18	AH0002	324.812	325.655	CONTINUER	네.	[19]	[54]	[18]
19	AH0002	335.3	335.767	CONTINUER	네.	[19]	[56]	[11]
20	AH0002	337.927	339.705	CONTINUER	네. 네.	[19]	[56]	[17]
21	AH0001	343.037	343.529	CONTINUER	네네.	[20]	[58]	[6]
22	AH0001	353.845	354.725	CONTINUER	음.	[20]	[59]	[21]
23	AH0001	361.3	362.34	UNDERSTANDING	네.	[20]	[61]	[8]
24	AH0001	370.714	371.732	CONTINUER	어.	[22]	[63]	[8]
25	AH0001	390.391	390.946	CONTINUER	네네.	[24]	[66]	[1]
26	AH0002	435.694	436.176	CONTINUER	네.	[27]	[73]	[1]
27	AH0002	438.495	439.013	CONTINUER	네.	[27]	[73]	[5]
28	AH0002	443.782	444.274	CONTINUER	네.	[27]	[73]	[14]
29	AH0001	456.026	456.514	CONTINUER	네.	[28]	[75]	[15]
30	AH0001	466.753	467.199	CONTINUER	네.	[28]	[76]	[20]
31	AH0001	472.507	473.148	CONTINUER	음.	[28]	[78]	[1]
32	AH0001	522.181	522.576	CONTINUER	네.	[28]	[84]	[1]
33	AH0002	536.239	536.742	AFFIRMATIVE	그렇죠.	[29]	[86]	[2]
34	AH0002	539.625	540.176	CONTINUER	네.	[29]	[86]	[7]
35	AH0001	553.117	553.695	CONTINUER	어.	[30]	[87]	[10]
36	AH0001	557.734	558.133	CONTINUER	네.	[30]	[88]	[11]
37	AH0001	567.599	568.311	CONTINUER	네.	[30]	[89]	[23]
38	AH0001	583.038	583.683	CONTINUER	어.	[32]	[91]	[8]
39	AH0001	586.564	587.084	CONTINUER	네.	[32]	[91]	[14]
40	AH0001	597.14	597.578	CONTINUER	네.	[32]	[92]	[20]
41	AH0001	611.302	611.854	CONTINUER	음.	[32]	[96]	[1]
42	AH0001	626.445	627.253	CONTINUER	네.	[32]	[97]	[7]
43	AH0001	633.879	634.319	CONTINUER	예.	[32]	[98]	[13]
44	AH0001	655.083	655.674	CONTINUER	네.	[32]	[100]	[7]
45	AH0001	659.818	660.525	CONTINUER	어.	[32]	[101]	[10]
46	AH0002	664.107	664.567	CONTINUER	네.	[33]	[102]	[7]
47	AH0002	671.945	672.5	CONTINUER	예.	[33]	[103]	[10]
48	AH0002	675.434	675.757	CONTINUER	네.	[33]	[103]	[15]
49	AH0001	688.81	689.377	CONTINUER	네네.	[34]	[104]	[30]
50	AH0001	697.507	698.017	ASSESSMENT	어.	[34]	[105]	[14]
51	AH0001	712.882	713.354	CONTINUER	네.	[34]	[107]	[15]
52	AH0002	734.823	736.648	CONTINUER	네. 네.	[35]	[111]	[8]
53	AH0002	738.59	740.797	AFFIRMATIVE	맞습니다. 네.	[35]	[112]	[1]
54	AH0001	750.078	750.525	CONTINUER	네.	[36]	[113]	[9]
55	AH0001	759.25	760.245	CONTINUER	네.	[36]	[114]	[19]
56	AH0001	780.93	781.663	CONTINUER	음.	[36]	[116]	[19]
57	AH0001	783.934	784.422	CONTINUER	네.	[36]	[116]	[25]
58	AH0001	813.906	814.821	CONTINUER	네.	[36]	[119]	[17]
