uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.123	음	[]
1	1	2	AH0001	1.384	1.926	조선시대	[]
1	1	3	AH0001	2.047	2.71	유배지로서의	[]
1	1	4	AH0001	2.79	3.212	제주도에	[]
1	1	5	AH0001	3.292	3.473	대한	[]
1	1	6	AH0001	3.553	3.895	이야기	[]
1	1	7	AH0001	3.995	4.096	쭉	[]
1	1	8	AH0001	4.317	4.518	듣고	[]
1	1	9	AH0001	4.578	5.301	있는데요.	[]
1	2	1	AH0001	5.301	5.381	또	[]
1	2	2	AH0001	5.502	6.086	눈여겨봐야	[]
1	2	3	AH0001	6.146	6.227	할	[]
1	2	4	AH0001	6.327	6.528	곳이	[]
1	2	5	AH0001	6.569	6.931	있다면	[]
1	2	6	AH0001	7.051	7.333	어디가	[]
1	2	7	AH0001	7.393	8.158	있을까요?	[]
2	3	1	AH0002	8.802	8.862	이게	[]
2	3	2	AH0002	8.942	9.103	우리	[]
2	3	3	AH0002	9.183	9.503	보면	[]
2	3	4	AH0002	9.684	9.824	그	[]
2	3	5	AH0002	10.165	10.846	제주도의	[]
2	3	6	AH0002	11.087	11.347	가장	[]
2	3	7	AH0002	11.447	12.009	중심지라고	[]
2	3	8	AH0002	12.089	12.169	볼	[]
2	3	9	AH0002	12.269	12.309	수	[]
2	3	10	AH0002	12.349	12.51	있죠.	[]
2	4	1	AH0002	12.71	12.91	지금으로	[]
2	4	2	AH0002	13.111	13.251	치면	[]
2	4	3	AH0002	13.372	14.153	제주도청에	[]
2	4	4	AH0002	14.173	14.695	해당하는	[]
2	4	5	AH0002	14.835	15.336	제주목	[]
2	4	6	AH0002	15.717	15.998	관아가	[]
2	4	7	AH0002	16.038	16.619	있습니다.	[]
2	5	1	AH0002	16.878	16.918	이	[]
2	5	2	AH0002	16.998	17.418	제주목	[]
2	5	3	AH0002	17.678	18.158	관아는	[]
2	5	4	AH0002	18.659	18.839	사실	[]
2	5	5	AH0002	18.959	19.939	조선시대	[]
2	5	6	AH0002	20.199	20.619	이전인	[]
2	5	7	AH0002	21.08	22.28	고려시대에	[]
2	5	8	AH0002	22.84	23.1	바로	[]
2	5	9	AH0002	23.14	23.46	이제	[]
2	5	10	AH0002	23.581	23.721	그	[]
2	5	11	AH0002	24.161	25.161	탐라군으로	[]
2	5	12	AH0002	25.801	26.622	편제되어	[]
2	5	13	AH0002	26.702	27.202	가지고	[]
2	5	14	AH0002	27.822	27.902	그	[]
2	5	15	AH0002	28.022	28.462	지방관이	[]
2	5	16	AH0002	28.622	29.063	파견했을	[]
2	5	17	AH0002	29.143	29.383	때부터	[]
2	5	18	AH0002	29.423	29.443	이	[]
2	5	19	AH0002	29.483	30.143	중심지였어요.	[]
