uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.759	0.879	노래	[]
1	1	2	AH0001	0.899	0.919	한	[]
1	1	3	AH0001	1.08	1.16	곡	[]
1	1	4	AH0001	1.26	1.6	듣지요.	[]
1	1	5	AH0001	1.761	2.382	@이름1036	[]
1	1	6	AH0001	2.823	3.263	그대로	[]
1	1	7	AH0001	3.424	3.985	있어주면	[]
1	1	8	AH0001	4.105	4.265	돼.	[]
1	1	9	AH0001	4.526	4.986	@이름202의	[]
1	1	10	AH0001	5.047	5.547	삼삼오오	[]
1	1	11	AH0001	5.648	5.988	금요일에	[]
1	1	12	AH0001	6.048	6.309	엄마	[]
1	1	13	AH0001	6.329	6.689	인문학	[]
1	1	14	AH0001	6.85	8.312	한방신경정신과	[]
1	1	15	AH0001	8.413	8.813	@이름2	[]
1	1	16	AH0001	8.893	9.294	교수님과	[]
1	1	17	AH0001	9.334	9.555	함께	[]
1	1	18	AH0001	9.575	9.715	하고	[]
1	1	19	AH0001	9.735	10.216	있습니다.	[]
1	1	20	AH0001	10.857	11.037	음	[]
1	1	21	AH0001	11.418	12.259	명상법	[]
1	1	22	AH0001	12.5	12.6	뭐	[]
1	1	23	AH0001	12.68	12.92	저희가	[]
1	1	24	AH0001	13.021	13.401	퀴즈로	[]
1	1	25	AH0001	13.502	13.902	드렸지만	[]
1	2	1	AH0001	14.572	14.813	어	[]
1	2	2	AH0001	14.953	15.354	같은	[]
1	2	3	AH0001	15.374	15.675	이제	[]
1	2	4	AH0001	15.815	16.216	주기로	[]
1	2	5	AH0001	16.256	16.657	이렇게	[]
1	2	6	AH0001	16.677	16.698	쭉	[1]
1	2	7	AH0001	17.299	17.8	이렇케	[]
1	2	8	AH0001	17.941	18.342	주기를	[]
1	2	9	AH0001	18.582	19.665	이어간다는건데	[]
1	2	10	AH0001	19.786	19.846	고	[]
1	2	11	AH0001	19.946	20.267	조금만	[]
1	2	12	AH0001	20.367	20.427	더	[]
1	2	13	AH0001	20.487	20.848	설명을	[]
1	2	14	AH0001	20.929	20.989	더	[]
1	2	15	AH0001	21.069	21.249	듣고	[]
1	2	16	AH0001	21.29	21.63	싶어요.	[]
1	2	17	AH0001	21.65	21.951	선생님.	[]
2	3	1	AH0002	22.417	22.657	그	[]
2	3	2	AH0002	22.777	23.618	전통적인	[]
2	3	3	AH0002	23.678	24.738	명상법에서	[]
2	3	4	AH0002	25.399	25.519	그	[]
2	3	5	AH0002	25.979	26.259	화가	[]
2	3	6	AH0002	26.299	26.56	났을	[]
2	3	7	AH0002	26.64	26.8	때는	[]
2	3	8	AH0002	26.86	27.16	일단	[]
2	3	9	AH0002	27.68	28.221	가볍게	[]
2	3	10	AH0002	28.281	28.821	들여마시고	[]
2	3	11	AH0002	28.961	29.481	길게	[]
2	3	12	AH0002	29.601	29.762	숨을	[]
2	3	13	AH0002	29.802	30.122	내쉬어	[]
2	3	14	AH0002	30.222	30.422	주기는	[2]
2	3	15	AH0002	30.502	31.042	하지만	[]
2	3	16	AH0002	31.643	31.943	사실은	[]
2	3	17	AH0002	32.643	32.884	길게	[]
2	3	18	AH0002	32.964	33.124	숨을	[]
2	3	19	AH0002	33.164	33.584	내쉬다가	[]
2	3	20	AH0002	33.684	33.924	보면	[]
2	3	21	AH0002	34.344	34.485	힘이	[]
2	3	22	AH0002	34.685	34.885	딸려	[]
2	3	23	AH0002	34.965	35.265	버려요.	[3]
2	4	1	AH0002	35.596	36.317	지쳐버리죠.	[4]
2	4	2	AH0002	36.678	36.938	그래서	[]
2	4	3	AH0002	37.659	37.779	어	[]
2	4	4	AH0002	37.899	38.019	그런	[]
2	4	5	AH0002	38.1	38.14	걸	[]
2	4	6	AH0002	38.2	38.32	한	[]
2	4	7	AH0002	38.38	38.66	네다섯	[]
2	4	8	AH0002	38.74	38.821	번	[]
2	4	9	AH0002	38.881	39.061	정도	[]
2	4	10	AH0002	39.141	39.241	한	[]
2	4	11	AH0002	39.341	40.222	다음부터는	[5]
2	4	12	AH0002	40.503	40.843	사실은	[]
2	4	13	AH0002	41.344	41.845	똑같은	[]
2	4	14	AH0002	41.945	42.285	리듬을	[]
2	4	15	AH0002	42.365	42.826	갖고	[]
2	4	16	AH0002	43.347	43.447	그	[]
2	4	17	AH0002	43.607	43.968	호흡을	[]
2	4	18	AH0002	44.268	44.428	하게	[]
2	4	19	AH0002	44.468	44.809	됩니다.	[]
2	4	20	AH0002	45.41	45.47	우리가	[]
2	4	21	AH0002	45.59	45.85	이제	[]
2	4	22	AH0002	46.451	46.692	마음을	[]
2	4	23	AH0002	46.832	47.112	편하게	[]
2	4	24	AH0002	47.132	47.172	하는	[]
2	4	25	AH0002	47.212	47.513	음악	[]
2	4	26	AH0002	48.073	48.694	대표적인	[]
2	4	27	AH0002	48.714	48.734	게	[]
2	4	28	AH0002	48.814	49.135	클래식	[]
