bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	35.681	36.161	CONTINUER	어.	[12]	[16]	[2]
2	AH0001	47.037	47.922	UNDERSTANDING	어.	[14]	[18]	[5]
3	AH0002	52.894	53.259	CONTINUER	네.	[15]	[19]	[1]
4	AH0001	69.516	70.301	CONTINUER	어.	[18]	[23]	[4]
5	AH0002	71.176	71.551	CONTINUER	네.	[19]	[24]	[2]
6	AH0001	92.554	92.964	CONTINUER	어.	[24]	[29]	[8]
7	AH0001	100.37	100.64	CONTINUER	음.	[24]	[30]	[9]
8	AH0001	111.076	111.741	CONTINUER	예예.	[24]	[32]	[7]
9	AH0001	114.385	114.87	CONTINUER	어.	[24]	[32]	[12]
10	AH0001	115.641	115.996	CONTINUER	어.	[24]	[33]	[1]
11	AH0001	126.145	126.85	CONTINUER	예예.	[24]	[33]	[13]
12	AH0001	138.942	139.671	CONTINUER	네.	[28]	[37]	[8]
13	AH0001	148.212	148.52	CONTINUER	응.	[28]	[38]	[8]
14	AH0001	158.363	158.888	CONTINUER	예.	[28]	[39]	[10]
15	AH0001	160.052	160.973	CONTINUER	예예.	[28]	[40]	[3]
16	AH0001	164.458	164.868	CONTINUER	어.	[28]	[41]	[4]
17	AH0001	165.688	166.013	CONTINUER	어.	[28]	[41]	[6]
18	AH0001	168.769	169.179	CONTINUER	어.	[28]	[42]	[4]
19	AH0001	174.583	174.938	CONTINUER	응.	[28]	[42]	[11]
20	AH0001	179.938	180.307	CONTINUER	네.	[28]	[43]	[8]
21	AH0001	186.644	187.079	CONTINUER	음.	[28]	[44]	[12]
22	AH0001	192.613	193.087	CONTINUER	음.	[28]	[45]	[6]
23	AH0001	194.487	195.022	CONTINUER	음.	[28]	[46]	[2]
24	AH0001	199.647	200.438	CONTINUER	음.	[28]	[47]	[10]
25	AH0001	217.328	217.648	CONTINUER	음.	[28]	[48]	[22]
26	AH0001	230.813	231.117	CONTINUER	음.	[32]	[53]	[12]
27	AH0001	239.032	239.662	CONTINUER	음.	[32]	[54]	[16]
28	AH0001	270.334	270.559	CONTINUER	음.	[38]	[62]	[4]
29	AH0001	272.819	273.244	CONTINUER	어.	[38]	[62]	[9]
30	AH0001	298.028	299.328	CONTINUER	음음.	[42]	[67]	[14]
31	AH0001	302.791	303.165	CONTINUER	응.	[42]	[68]	[6]
32	AH0001	320.885	321.22	CONTINUER	예.	[44]	[73]	[4]
33	AH0001	327.555	327.9	CONTINUER	음.	[44]	[74]	[8]
34	AH0001	328.819	329.434	CONTINUER	음.	[44]	[74]	[10]
35	AH0001	343.498	343.959	CONTINUER	예.	[46]	[79]	[1]
36	AH0001	352.222	352.602	CONTINUER	으흠.	[46]	[81]	[3]
37	AH0001	363.832	364.247	CONTINUER	예.	[46]	[81]	[19]
38	AH0001	365.153	365.532	CONTINUER	예.	[46]	[82]	[2]
39	AH0001	368.346	368.619	CONTINUER	음.	[46]	[83]	[6]
40	AH0001	375.684	376.144	CONTINUER	음.	[46]	[84]	[9]
41	AH0001	411.476	412.187	UNDERSTANDING	어.	[48]	[88]	[9]
42	AH0002	428.872	429.032	CONTINUER	예.	[53]	[94]	[6]
43	AH0002	432.712	433.077	CONTINUER	음.	[53]	[94]	[11]
44	AH0001	448.723	449.518	AFFIRMATIVE	그렇죠. 예.	[56]	[98]	[13]
45	AH0001	453.704	454.049	CONTINUER	음.	[56]	[98]	[20]
46	AH0001	465.377	465.674	CONTINUER	음.	[58]	[102]	[8]
47	AH0002	482.184	483.024	CONTINUER	예. 네.	[63]	[108]	[8]
48	AH0001	514.06	514.805	CONTINUER	음음.	[68]	[115]	[3]
