uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.886	안녕하십니까?	[]
1	2	1	DG0001	1.309	1.99	우리나라	[]
1	2	2	DG0001	2.031	2.532	사람들의	[]
1	2	3	DG0001	2.632	3.193	독서량이	[]
1	2	4	DG0001	3.273	3.935	선진국들에	[]
1	2	5	DG0001	4.015	4.155	비해서	[]
1	2	6	DG0001	4.275	4.375	참	[]
1	2	7	DG0001	4.656	4.917	많이	[]
1	2	8	DG0001	5.057	5.558	떨어진다는	[]
1	2	9	DG0001	5.658	5.999	사실	[]
1	2	10	DG0001	6.76	6.941	보도를	[]
1	2	11	DG0001	7.021	7.362	통해서	[]
1	2	12	DG0001	7.722	8.925	접하셨었죠?	[]
1	3	1	DG0001	8.925	9.608	그런데	[]
1	3	2	DG0001	9.649	10.031	특히	[]
1	3	3	DG0001	10.131	10.433	시집은	[]
1	3	4	DG0001	10.473	11.679	어떨까요?	[]
1	4	1	DG0001	11.679	12.282	학창	[]
1	4	2	DG0001	12.362	12.743	시절에	[]
1	4	3	DG0001	12.884	13.226	교과서를	[]
1	4	4	DG0001	13.326	13.667	통해서	[]
1	4	5	DG0001	13.687	13.928	시를	[]
1	4	6	DG0001	14.069	14.19	참	[]
1	4	7	DG0001	14.29	14.451	많이	[]
1	4	8	DG0001	14.491	15.113	접했었는데	[]
1	5	1	DG0001	15.475	16.116	하지만	[]
1	5	2	DG0001	16.196	16.437	어른이	[]
1	5	3	DG0001	16.497	16.897	되면서	[]
1	5	4	DG0001	17.278	17.639	그렇게	[]
1	5	5	DG0001	17.879	18.079	시를	[]
1	5	6	DG0001	18.179	18.38	많이	[]
1	5	7	DG0001	18.42	18.74	읽지는	[]
1	5	8	DG0001	18.801	18.941	않은	[]
1	5	9	DG0001	18.981	19.041	것	[]
1	5	10	DG0001	19.081	19.702	같습니다.	[]
1	6	1	DG0001	19.702	19.843	그	[]
1	6	2	DG0001	19.883	19.964	이유는	[]
1	6	3	DG0001	19.984	20.266	어디에	[]
1	6	4	DG0001	20.307	21.294	있을까요?	[]
1	7	1	DG0001	21.294	21.535	또	[]
1	7	2	DG0001	21.616	22.017	우리에게	[]
1	7	3	DG0001	22.178	22.339	시는	[]
1	7	4	DG0001	22.54	22.68	왜	[]
1	7	5	DG0001	22.801	23.263	중요하고	[]
1	7	6	DG0001	23.665	24.027	어떻게	[]
1	7	7	DG0001	24.107	24.348	교육을	[]
1	7	8	DG0001	24.368	24.469	해야	[]
1	7	9	DG0001	24.509	25.152	할까요?	[]
1	8	1	DG0001	25.152	25.774	이비에스	[]
1	8	2	DG0001	25.834	25.934	교육	[]
1	8	3	DG0001	25.994	26.255	초대석	[]
1	8	4	DG0001	26.676	26.916	오늘은	[]
1	8	5	DG0001	27.017	27.758	숭실대학교	[]
1	8	6	DG0001	27.879	28.741	문예창작학과	[]
1	8	7	DG0001	29.062	29.322	교수님	[]
1	8	8	DG0001	29.382	29.703	모시고	[]
1	8	9	DG0001	30.024	30.224	말씀	[]
1	8	10	DG0001	30.285	30.585	나눠보도록	[]
1	8	11	DG0001	30.646	31.247	하겠습니다.	[]
1	9	1	DG0001	31.247	31.492	교수님	[]
1	9	2	DG0001	31.513	31.983	안녕하십니까?	[]
1	10	1	DG0001	32.208	32.912	교수님은	[]
1	10	2	DG0001	33.334	33.595	인상	[]
1	10	3	DG0001	33.655	34.339	자체가	[]
1	10	4	DG0001	34.661	35.284	시인으로	[]
1	10	5	DG0001	35.485	35.545	딱	[]
1	10	6	DG0001	35.565	35.706	이렇게	[]
1	10	7	DG0001	35.806	35.887	써	[]
1	10	8	DG0001	35.927	36.168	있으신	[]
1	10	9	DG0001	36.188	36.208	것	[]
1	10	10	DG0001	36.229	36.912	같으세요.	[]
2	11	1	DG0002	36.912	39.402	그래요?	[]
3	12	1	DG0001	39.402	39.865	그런	[]
3	12	2	DG0001	39.926	40.107	말씀	[]
3	12	3	DG0001	40.147	40.309	많이	[]
3	12	4	DG0001	40.369	40.429	안	[]
3	12	5	DG0001	40.49	41.215	들으세요?	[]
4	13	1	DG0002	41.215	42.258	음	[]
4	13	2	DG0002	42.479	43.402	뭐	[]
4	13	3	DG0002	44.566	44.807	가끔	[]
5	14	1	DG0001	45.991	46.272	올	[]
5	14	2	DG0001	46.392	47.134	사월에	[]
5	14	3	DG0001	47.334	47.575	열세	[]
5	14	4	DG0001	47.635	47.816	번째	[]
5	14	5	DG0001	47.896	48.437	시집을	[]
5	14	6	DG0001	48.457	48.838	발간을	[]
5	14	7	DG0001	48.878	49.54	하셨죠?	[1]
5	15	1	DG0001	50.392	50.592	어	[]
5	15	2	DG0001	50.733	50.893	북극	[]
5	15	3	DG0001	50.993	51.333	얼음이	[]
5	15	4	DG0001	51.414	51.614	녹을	[]
5	15	5	DG0001	51.814	52.075	때	[]
5	15	6	DG0001	52.095	52.115	참	[]
5	15	7	DG0001	52.796	53.016	화제가	[]
5	15	8	DG0001	53.056	53.557	됐었는데	[]
5	15	9	DG0001	54.038	54.098	또	[]
5	15	10	DG0001	54.158	54.478	연작	[]
5	15	11	DG0001	54.578	55.119	동시집도	[]
5	15	12	DG0001	55.219	55.52	발간을	[]
5	15	13	DG0001	55.56	56.301	하셨어요?	[]
6	16	1	DG0002	56.441	56.521	네	[]
6	16	2	DG0002	56.681	57.202	올해	[]
6	16	3	DG0002	57.583	59.206	이렇게	[]
6	16	4	DG0002	59.326	59.667	동시집	[]
6	16	5	DG0002	59.747	59.787	오	[]
6	16	6	DG0002	59.887	60.047	권이	[]
6	16	7	DG0002	60.108	60.889	완간됐죠.	[]
7	17	1	DG0001	61.024	62.389	예	[]
7	17	2	DG0001	62.409	62.449	그런	[]
7	17	3	DG0001	62.73	63.011	연작	[]
7	17	4	DG0001	63.091	65.057	동시집을	[]
7	17	5	DG0001	65.318	65.579	마음을	[]
7	17	6	DG0001	65.619	65.94	먹으신	[]
7	17	7	DG0001	66.041	66.121	그	[]
7	17	8	DG0001	66.181	66.362	이유는	[]
7	17	9	DG0001	66.382	66.442	어디에	[]
7	17	10	DG0001	66.522	67.626	있었을까요?	[]
8	18	1	DG0002	67.627	68.488	음	[]
8	18	2	DG0002	68.788	68.889	제	[]
8	18	3	DG0002	69.049	69.93	딸아이가	[]
8	18	4	DG0002	70.01	70.29	지금	[]
8	18	5	DG0002	70.891	71.111	중학교	[]
8	18	6	DG0002	71.211	71.272	삼	[]
8	18	7	DG0002	71.332	71.892	학년인데	[]
8	18	8	DG0002	72.793	73.154	초등학교	[]
8	18	9	DG0002	73.234	73.334	삼	[]
8	18	10	DG0002	73.514	73.655	학년	[]
8	18	11	DG0002	73.815	73.955	때	[]
8	18	12	DG0002	74.636	75.237	언어교육	[]
8	19	1	DG0002	75.617	76.899	언어교육에	[]
8	19	2	DG0002	76.979	77.039	좀	[]
8	19	3	DG0002	77.219	77.5	문제가	[]
8	19	4	DG0002	77.54	78.681	있다고	[]
8	19	5	DG0002	78.821	79.042	저는	[]
8	19	6	DG0002	79.182	79.462	생각을	[]
8	19	7	DG0002	79.482	79.883	했어요	[]
8	19	8	DG0002	79.903	80.304	그래서	[]
8	19	9	DG0002	80.744	80.884	그	[]
8	19	10	DG0002	81.285	81.665	언어에	[]
8	19	11	DG0002	81.746	81.966	대한	[]
8	19	12	DG0002	82.086	82.386	감각	[]
8	20	1	DG0002	83.488	84.253	그걸	[]
8	20	2	DG0002	84.394	84.796	키워주는	[]
8	20	3	DG0002	84.897	85.279	텍스트가	[]
8	20	4	DG0002	85.34	85.883	없어요.	[2]
8	21	1	DG0002	86.407	86.607	그래서	[]
8	21	2	DG0002	87.108	87.428	언어에	[]
8	21	3	DG0002	87.488	87.668	대한	[]
8	21	4	DG0002	87.768	88.389	감각을	[]
8	21	5	DG0002	88.529	88.749	좀	[]
8	21	6	DG0002	89.23	89.851	일깨워주고	[]
8	21	7	DG0002	89.971	91.052	상상력을	[]
8	21	8	DG0002	92.133	92.573	키워주는	[]
8	21	9	DG0002	92.654	93.214	어떤	[]
8	21	10	DG0002	94.255	94.455	작업?	[]
8	22	1	DG0002	94.996	95.677	또	[]
8	22	2	DG0002	95.697	96.117	아이에게	[]
8	22	3	DG0002	96.217	97.058	어떤	[]
8	22	4	DG0002	97.819	98.519	즐거움을	[]
8	22	5	DG0002	98.86	99.32	선물하고	[]
8	22	6	DG0002	99.4	99.64	싶은	[]
8	22	7	DG0002	99.74	100.081	생각	[]
8	22	8	DG0002	100.781	100.941	그런	[]
8	22	9	DG0002	101.042	101.482	거에서	[]
8	22	10	DG0002	101.502	101.622	그냥	[]
8	22	11	DG0002	101.702	102.063	우연이	[]
8	22	12	DG0002	102.423	102.543	좀	[]
8	22	13	DG0002	102.883	103.304	시작을	[]
8	22	14	DG0002	103.404	103.544	한	[]
8	22	15	DG0002	103.564	103.604	게	[]
8	22	16	DG0002	103.664	103.984	말놀이	[]
8	22	17	DG0002	104.004	104.765	동시집입니다.	[]
9	23	1	DG0001	104.765	105.246	예	[]
9	23	2	DG0001	105.968	106.149	근데	[]
9	23	3	DG0001	106.229	106.329	그	[]
9	23	4	DG0001	106.389	106.891	어린이들을	[]
9	23	5	DG0001	106.971	107.332	위한	[]
9	23	6	DG0001	107.532	108.034	시집이라고	[]
9	23	7	DG0001	108.094	108.896	말씀하셨지만	[]
9	23	8	DG0001	109.518	109.618	그	[]
9	23	9	DG0001	109.718	110.059	책을	[]
9	23	10	DG0001	110.22	110.28	그	[]
9	23	11	DG0001	110.36	110.681	시집을	[]
9	23	12	DG0001	110.721	110.982	읽는	[]
9	23	13	DG0001	111.062	111.363	어른들도	[]
9	23	14	DG0001	111.383	111.403	참	[]
9	23	15	DG0001	111.463	112.185	즐거웠던	[]
9	23	16	DG0001	112.526	112.807	즐거운	[]
9	23	17	DG0001	112.887	113.107	기억이	[]
9	23	18	DG0001	113.147	113.729	나거든요.	[]
10	24	1	DG0002	113.729	113.769	글쎄	[]
10	24	2	DG0002	113.91	114.11	뭐	[]
10	24	3	DG0002	114.331	114.692	그런	[]
10	24	4	DG0002	114.993	115.214	말씀	[]
10	24	5	DG0002	115.234	115.555	하시는	[]
10	24	6	DG0002	115.615	115.796	분들이	[]
10	24	7	DG0002	115.876	116.338	있더라고요	[]
10	24	8	DG0002	116.438	116.819	우울할	[]
10	24	9	DG0002	116.94	117.02	때	[]
10	24	10	DG0002	117.08	117.341	말놀이	[]
10	24	11	DG0002	117.381	117.542	동시집을	[]
10	24	12	DG0002	117.582	118.525	본다고	[3]
11	25	1	DG0001	119.935	120.196	아마도	[]
11	25	2	DG0001	120.216	120.257	그	[]
11	25	3	DG0001	120.337	120.779	동심으로	[]
11	25	4	DG0001	120.84	121.141	돌아가고	[]
11	25	5	DG0001	121.201	121.402	싶은	[]
11	25	6	DG0001	121.463	121.925	마음도	[]
11	25	7	DG0001	122.146	122.267	많이	[]
11	25	8	DG0001	122.327	122.709	작용하지	[]
11	25	9	DG0001	122.729	123.191	않았을까	[]
11	25	10	DG0001	123.211	123.352	하는	[]
11	25	11	DG0001	123.432	123.633	생각을	[]
11	25	12	DG0001	123.834	124.136	하는데요.	[4]
11	26	1	DG0001	124.817	124.957	지금	[]
11	26	2	DG0001	125.037	125.578	대학에서	[]
11	26	3	DG0001	125.718	126.098	학생들도	[]
11	26	4	DG0001	126.178	126.559	가르치고	[]
11	26	5	DG0001	126.639	127.059	계시고	[]
11	26	6	DG0001	127.72	127.78	근데	[]
11	26	7	DG0001	127.84	128.18	요즘	[]
11	26	8	DG0001	128.28	128.541	시대를	[]
11	26	9	DG0001	128.641	128.781	참	[]
11	26	10	DG0001	129.141	129.361	시를	[]
11	26	11	DG0001	129.601	129.722	안	[]
11	26	12	DG0001	129.762	129.982	읽는	[]
11	26	13	DG0001	130.062	130.462	시대다	[]
11	26	14	DG0001	130.562	130.823	이렇게	[]
11	26	15	DG0001	130.883	131.263	말씀들	[]
11	26	16	DG0001	131.323	131.483	많이	[]
11	26	17	DG0001	131.523	131.884	하시는데	[]
11	27	1	DG0001	132.264	133.027	학생들을	[]
11	27	2	DG0001	133.108	133.308	직접	[]
11	27	3	DG0001	133.449	134.092	대하시기에	[]
11	27	4	DG0001	134.112	134.855	어떻던가요?	[]
12	28	1	DG0002	134.855	135.115	글쎄	[]
12	28	2	DG0002	135.215	135.456	인제	[]
12	28	3	DG0002	135.676	138.72	소설보다는	[]
12	28	4	DG0002	139.642	139.842	시를	[]
12	28	5	DG0002	139.982	140.142	덜	[]
12	28	6	DG0002	140.262	140.743	읽죠.	[]
12	29	1	DG0002	140.743	142.225	옛날에는	[]
12	29	2	DG0002	142.906	143.006	뭐	[]
12	29	3	DG0002	143.627	144.908	세계적으로	[]
12	29	4	DG0002	146.17	146.991	공통된	[]
12	29	5	DG0002	147.712	147.892	현상	[]
12	29	6	DG0002	147.952	148.713	같아요.	[]
12	30	1	DG0002	148.713	150.596	그니까	[]
12	30	2	DG0002	150.636	150.676	뭐	[]
12	30	3	DG0002	150.716	150.877	일본이나	[]
12	30	4	DG0002	150.917	150.997	뭐	[]
12	30	5	DG0002	151.137	151.878	중남미	[]
12	30	6	DG0002	152.68	152.8	그런	[]
12	30	7	DG0002	152.86	153.08	데서	[]
12	30	8	DG0002	153.261	153.781	시는	[]
12	30	9	DG0002	154.883	155.765	되게	[]
12	30	10	DG0002	155.785	155.805	잘	[]
12	30	11	DG0002	155.825	155.845	안	[]
12	30	12	DG0002	155.865	155.925	읽고	[]
12	31	1	DG0002	155.925	157.349	소설	[]
12	31	2	DG0002	157.71	157.89	뭐	[]
12	31	3	DG0002	158.231	158.592	재미난	[]
12	31	4	DG0002	158.632	158.692	게	[]
12	31	5	DG0002	158.752	158.993	많지	[]
12	31	6	DG0002	159.013	159.614	않습니까	[]
12	31	7	DG0002	159.875	160.096	뭐	[]
12	31	8	DG0002	160.537	160.657	영화도	[]
12	31	9	DG0002	160.677	160.737	있고	[]
12	31	10	DG0002	160.757	160.878	뭐	[]
12	31	11	DG0002	160.918	161.158	그러다	[]
12	31	12	DG0002	161.439	162.061	보니까	[]
12	31	13	DG0002	162.722	163.364	상대적으로	[]
12	32	1	DG0002	164.146	164.968	이	[]
12	32	2	DG0002	165.569	165.729	시에	[]
12	32	3	DG0002	165.789	166.03	대한	[]
12	32	4	DG0002	166.471	166.831	시를	[]
12	32	5	DG0002	166.851	167.012	읽을	[]
12	32	6	DG0002	167.052	167.813	어떤	[]
12	32	7	DG0002	168.374	168.615	여유	[]
12	32	8	DG0002	169.176	169.637	시간적인	[]
12	32	9	DG0002	169.777	170.278	여유가	[]
12	32	10	DG0002	170.298	170.498	없지	[]
12	32	11	DG0002	170.559	170.639	않나	[]
12	32	12	DG0002	170.699	170.839	하는	[]
12	32	13	DG0002	170.959	171.12	그런	[]
12	32	14	DG0002	171.28	171.821	생각이	[]
12	32	15	DG0002	171.881	172.282	들던데요?	[]
13	33	1	DG0001	172.282	173.49	그런가요?	[5]
13	34	1	DG0001	173.985	174.165	그런데	[]
13	34	2	DG0001	174.225	174.466	오히려	[]
13	34	3	DG0001	174.566	175.027	시간을	[]
13	34	4	DG0001	175.087	175.588	생각해보게	[]
13	34	5	DG0001	175.648	175.969	되면	[]
13	34	6	DG0001	176.269	176.67	소설을	[]
13	34	7	DG0001	176.71	177.151	읽는데	[]
13	34	8	DG0001	177.271	177.371	더	[]
13	34	9	DG0001	177.471	177.692	많은	[]
13	34	10	DG0001	177.732	177.972	시간이	[]
13	34	11	DG0001	178.032	178.353	들어가지	[]
13	34	12	DG0001	178.373	178.794	않습니까?	[]
13	35	1	DG0001	179.014	179.796	그런데	[]
13	35	2	DG0001	180.317	180.717	그런데	[]
13	35	3	DG0001	180.737	180.757	왜	[]
13	35	4	DG0001	181.058	181.399	시를	[]
13	35	5	DG0001	181.98	182.461	현대인들은	[]
13	35	6	DG0001	182.561	182.761	잘	[]
13	35	7	DG0001	182.922	183.062	보려	[]
13	35	8	DG0001	183.082	183.262	하지	[]
13	35	9	DG0001	183.282	183.463	않는	[]
13	35	10	DG0001	183.483	184.184	걸까요?	[]
14	36	1	DG0002	184.184	185.987	어	[]
14	36	2	DG0002	186.127	187.268	소설하고	[]
14	36	3	DG0002	187.288	187.308	뭐	[]
14	36	4	DG0002	187.929	188.47	소설이나	[]
14	36	5	DG0002	188.49	188.81	에세이는	[]
14	36	6	DG0002	189.091	189.451	시하고는	[]
14	36	7	DG0002	189.511	189.571	좀	[]
14	36	8	DG0002	189.672	190.012	다른	[]
14	36	9	DG0002	190.032	190.052	것	[]
14	36	10	DG0002	190.072	190.673	같애요.	[]
14	37	1	DG0002	190.923	191.645	시라고	[]
14	37	2	DG0002	191.705	191.885	하는	[]
14	37	3	DG0002	191.986	192.326	거는	[]
14	37	4	DG0002	193.188	193.449	자기가	[]
14	37	5	DG0002	193.529	194.492	적극적으로	[]
14	37	6	DG0002	194.532	194.933	이렇게	[]
14	37	7	DG0002	195.293	195.714	음미를	[]
14	37	8	DG0002	195.795	195.975	해야	[]
14	37	9	DG0002	196.055	196.176	되는	[]
14	37	10	DG0002	196.196	196.757	거거든요.	[6]
14	38	1	DG0002	197.61	197.891	그니까	[]
14	38	2	DG0002	198.351	198.492	그	[]
14	38	3	DG0002	198.592	199.474	@이름1라고	[]
14	38	4	DG0002	199.514	200.095	하는	[]
14	38	5	DG0002	200.195	200.315	그	[]
14	38	6	DG0002	200.396	201.297	철학자가	[]
14	38	7	DG0002	201.357	201.598	있었는데	[]
14	38	8	DG0002	201.778	202.179	그분이	[]
14	38	9	DG0002	202.46	202.64	이렇게	[]
14	38	10	DG0002	203.021	203.502	벽난로	[]
14	38	11	DG0002	203.562	204.103	앞에서	[]
14	38	12	DG0002	204.684	204.824	이렇게	[]
14	39	1	DG0002	205.125	205.766	벽난로	[]
14	39	2	DG0002	205.786	205.946	앞에	[]
14	39	3	DG0002	205.986	206.467	의자를	[]
14	39	4	DG0002	206.607	206.767	놓고	[]
14	39	5	DG0002	206.867	207.148	무릎에	[]
14	39	6	DG0002	207.308	207.869	담요를	[]
14	39	7	DG0002	208.009	208.209	놓고	[]
14	39	8	DG0002	209.091	209.211	그리고	[]
14	39	9	DG0002	209.331	209.571	시집을	[]
14	39	10	DG0002	209.691	210.753	읽었다	[]
14	39	11	DG0002	210.773	210.873	이러거든요.	[]
14	40	1	DG0002	210.873	211.534	시집을	[]
14	40	2	DG0002	211.574	212.175	읽다가	[]
14	40	3	DG0002	212.716	212.777	이제	[]
14	40	4	DG0002	213.117	213.418	어떤	[]
14	40	5	DG0002	213.478	215.081	이미지에서	[]
14	40	6	DG0002	215.181	215.682	멈춰가지고	[]
14	40	7	DG0002	215.702	216.083	이제	[]
14	40	8	DG0002	217.024	217.525	몽상을	[]
14	40	9	DG0002	217.565	218.427	시작하거든요.	[7]
14	41	1	DG0002	219.097	220.199	그니까	[]
14	41	2	DG0002	220.379	220.699	시라고	[]
14	41	3	DG0002	220.78	221.26	하는	[]
14	41	4	DG0002	221.461	222.362	거는	[]
14	41	5	DG0002	222.803	223.023	음	[]
14	41	6	DG0002	223.163	223.524	어떤	[]
14	41	7	DG0002	224.545	224.565	그	[]
14	41	8	DG0002	224.706	226.649	슬라이드	[]
14	41	9	DG0002	226.749	227.149	사진	[]
14	41	10	DG0002	227.169	227.41	같은	[]
14	41	11	DG0002	227.49	227.69	그런	[]
14	41	12	DG0002	227.891	228.131	효과가	[]
14	41	13	DG0002	228.191	228.351	있는	[]
14	41	14	DG0002	228.391	228.431	것	[]
14	41	15	DG0002	228.552	228.732	같애	[]
14	41	16	DG0002	228.852	229.273	정지	[8]
14	42	1	DG0002	230.3	230.541	그니까	[]
14	42	2	DG0002	230.942	231.544	현대인들이	[]
14	42	3	DG0002	231.564	231.764	되게	[]
14	42	4	DG0002	231.865	231.885	뭐	[]
14	42	5	DG0002	232.085	233.169	비행기나	[]
14	42	6	DG0002	233.189	233.209	뭐	[]
14	42	7	DG0002	233.309	233.45	열차나	[]
14	42	8	DG0002	233.47	233.971	인제	[]
14	42	9	DG0002	234.453	234.513	뭐	[]
14	42	10	DG0002	234.713	235.074	버스나	[]
14	42	11	DG0002	235.175	236.037	이렇게	[]
14	42	12	DG0002	236.077	236.238	빠른	[]
14	42	13	DG0002	236.318	236.378	것	[]
14	42	14	DG0002	236.479	236.659	속에	[]
