uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.91	1.412	@이름101가	[]
1	1	2	AH0001	1.472	1.793	부릅니다.	[]
1	1	3	AH0001	2.235	3.158	어젯밤이야기.	[]
1	2	1	AH0001	3.621	4.347	@이름4	[]
1	2	2	AH0001	4.428	4.791	변호사님	[]
1	2	3	AH0001	4.851	5.416	나오셨습니다	[]
1	2	4	AH0001	5.658	5.819	어서	[]
1	2	5	AH0001	5.88	6.182	오세요.	[]
2	3	1	AH0002	6.281	6.382	네.	[]
2	3	2	AH0002	6.442	7.007	안녕하세요.	[]
3	4	1	AH0001	7.816	7.836	김	[]
3	4	2	AH0001	7.977	8.459	변호사님은	[]
3	4	3	AH0001	8.479	8.499	늘	[]
3	4	4	AH0001	8.781	9.202	볼때마다	[]
3	4	5	AH0001	9.223	9.343	이렇게	[]
3	4	6	AH0001	9.444	9.765	표정이	[]
3	4	7	AH0001	9.846	10.107	굉장히	[]
3	4	8	AH0001	10.187	10.468	밝고	[]
3	4	9	AH0001	10.569	11.232	좋으세요.	[]
4	5	1	AH0002	11.389	11.897	반갑습니다	[]
4	5	2	AH0002	12.08	12.689	감사합니다.	[]
5	6	1	AH0001	12.953	13.382	비결이	[]
5	6	2	AH0001	13.525	13.873	뭐죠?	[]
5	7	1	AH0001	14.76	14.82	자	[]
5	7	2	AH0001	15.021	15.202	오늘	[]
5	7	3	AH0001	15.303	16.067	변호사님께서	[]
5	7	4	AH0001	16.268	16.349	첫	[]
5	7	5	AH0001	16.51	16.892	주제를	[]
5	7	6	AH0001	17.234	17.716	말씀해주실	[]
5	7	7	AH0001	17.797	18.42	텐데요.	[]
5	8	1	AH0001	18.864	18.965	그	[]
5	8	2	AH0001	19.005	19.186	전에	[]
5	8	3	AH0001	19.267	19.669	오늘의	[]
5	8	4	AH0001	19.992	20.455	청취자	[]
5	8	5	AH0001	20.616	20.998	퀴즈를	[]
5	8	6	AH0001	21.179	21.361	소개해	[]
5	8	7	AH0001	21.421	22.005	드리겠습니다.	[]
5	9	1	AH0001	22.947	23.327	@이름4	[]
5	9	2	AH0001	23.427	23.868	변호사님의	[]
5	9	3	AH0001	23.928	24.408	이야기를	[]
5	9	4	AH0001	24.508	24.809	재밌게	[]
5	9	5	AH0001	24.889	25.309	들으시고	[]
5	9	6	AH0001	25.369	25.65	나면	[]
5	9	7	AH0001	26.03	26.37	저희가	[]
5	9	8	AH0001	26.59	27.071	관련된	[]
5	9	9	AH0001	27.191	27.471	법률	[]
5	9	10	AH0001	27.551	28.032	상식을	[]
5	9	11	AH0001	28.152	28.452	퀴즈로	[]
5	9	12	AH0001	28.512	28.733	내드릴	[]
5	9	13	AH0001	28.813	29.253	텐데요.	[]
5	10	1	AH0001	29.836	30.157	정답을	[]
5	10	2	AH0001	30.197	30.438	아시는	[]
5	10	3	AH0001	30.498	30.678	분은	[]
5	10	4	AH0001	31.12	31.22	샵	[]
5	10	5	AH0001	31.22	31.42	@전화번호1	[]
5	10	6	AH0001	31.42	32.022	@전화번호1로	[]
5	10	7	AH0001	32.102	32.443	보내주시면	[]
5	10	8	AH0001	32.524	33.025	되구요.	[]
5	11	1	AH0001	33.294	33.334	긴	[]
5	11	2	AH0001	33.576	33.697	건	[]
5	11	3	AH0001	33.858	34.059	백	[]
5	11	4	AH0001	34.119	34.22	원	[]
5	11	5	AH0001	34.341	34.462	짧은	[]
5	11	6	AH0001	34.542	34.844	건	[]
5	11	7	AH0001	34.904	35.146	오십	[]
5	11	8	AH0001	35.226	35.347	원	[]
5	11	9	AH0001	35.448	35.81	반디는	[]
5	11	10	AH0001	35.83	36.394	무료입니다.	[]
5	12	1	AH0001	37.033	37.554	정답은	[]
