uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.55	0.83	@상호명91	[]
1	1	2	AH0001	0.891	1.532	공감시대	[]
1	1	3	AH0001	1.752	2.173	금요일은	[]
1	1	4	AH0001	2.453	2.814	시대와	[]
1	1	5	AH0001	2.974	3.956	통하다라는	[]
1	1	6	AH0001	4.056	4.417	주제로	[]
1	1	7	AH0001	4.938	5.038	우리	[]
1	1	8	AH0001	5.098	5.298	시대	[]
1	1	9	AH0001	5.358	5.759	다양한	[]
1	1	10	AH0001	5.859	6.18	분야의	[]
1	1	11	AH0001	6.28	6.761	명사	[]
1	1	12	AH0001	6.961	7.362	모시고	[]
1	1	13	AH0001	7.883	8.163	이야기	[]
1	1	14	AH0001	8.223	8.524	나누는	[]
1	1	15	AH0001	8.684	8.904	금요	[]
1	1	16	AH0001	9.005	9.465	초대석으로	[]
1	1	17	AH0001	9.566	10.107	꾸려갑니다	[]
1	1	18	AH0001	10.928	11.008	오늘	[]
1	1	19	AH0001	11.088	11.188	첫	[]
1	1	20	AH0001	11.269	12.13	손님으로는요.	[]
1	2	1	AH0001	12.482	12.502	어	[]
1	2	2	AH0001	12.742	13.003	마침	[]
1	2	3	AH0001	13.123	13.884	식목일이기도	[]
1	2	4	AH0001	13.944	14.384	해서	[]
1	2	5	AH0001	15.045	15.326	경기도	[]
1	2	6	AH0001	15.426	15.686	포천	[]
1	2	7	AH0001	15.806	16.467	광릉숲에	[]
1	2	8	AH0001	16.527	16.787	있는	[]
1	2	9	AH0001	16.968	18.129	국립수목원을	[]
1	2	10	AH0001	18.309	18.83	이끌고	[]
1	2	11	AH0001	18.91	19.09	계신	[]
1	2	12	AH0001	19.21	19.711	분이지요	[]
1	2	13	AH0001	20.272	20.772	@이름2	[]
1	2	14	AH0001	20.993	21.874	국립수목원장	[]
1	2	15	AH0001	21.934	22.454	모셨습니다	[]
1	2	16	AH0001	22.815	22.895	네	[]
1	2	17	AH0001	23.095	23.115	이	[]
1	2	18	AH0001	23.175	23.576	자리에	[]
1	2	19	AH0001	23.716	24.096	@이름2	[]
1	2	20	AH0001	24.197	25.258	국립수목원장	[]
1	2	21	AH0001	25.398	26.099	나와계십니다	[]
1	2	22	AH0001	26.219	26.76	안녕하십니까?	[]
2	3	1	AH0002	27.0	27.755	안녕하세요?	[]
3	4	1	AH0001	28.586	29.247	이천십사	[]
3	4	2	AH0001	29.307	29.448	년에	[]
3	4	3	AH0001	29.528	30.61	국립수목원장으로	[]
3	4	4	AH0001	30.69	31.512	취임하시고	[]
3	4	5	AH0001	31.932	32.253	어	[]
3	4	6	AH0001	32.754	33.115	연임하고	[]
3	4	7	AH0001	33.175	33.375	계신	[]
3	4	8	AH0001	33.415	33.796	거지요?	[1]
3	5	1	AH0001	35.143	35.344	이것도	[]
3	5	2	AH0001	35.445	35.868	최초예요.	[]
4	6	1	AH0002	37.458	37.538	그	[]
4	6	2	AH0002	37.739	38.08	벌써	[]
4	6	3	AH0002	38.241	38.803	수목원장	[]
4	6	4	AH0002	38.924	39.245	시작한	[]
4	6	5	AH0002	39.325	39.386	지	[]
4	6	6	AH0002	39.446	39.807	햇수로	[]
4	6	7	AH0002	39.868	39.948	육	[]
4	6	8	AH0002	40.028	40.37	년째가	[]
4	6	9	AH0002	40.45	40.992	되는데요.	[2]
4	7	1	AH0002	41.504	42.127	생각보다	[]
4	7	2	AH0002	42.891	43.072	오래	[]
4	7	3	AH0002	43.233	43.896	따라다니네요	[]
4	7	4	AH0002	43.976	44.157	그	[]
4	7	5	AH0002	44.258	44.579	수식어가	[]
5	8	1	AH0001	45.076	45.857	다행입니다	[]
5	8	2	AH0001	46.158	46.358	저희들	[]
5	8	3	AH0001	46.398	47.34	입장에서는	[]
5	8	4	AH0001	47.76	48.061	@이름2	[]
5	8	5	AH0001	48.101	48.561	원장님이	[]
5	8	6	AH0001	48.642	48.862	좀	[]
5	8	7	AH0001	48.962	49.062	더	[]
5	8	8	AH0001	49.142	49.283	길게	[]
5	8	9	AH0001	49.623	50.024	하셔서	[]
5	8	10	AH0001	50.585	50.825	자리를	[]
5	8	11	AH0001	50.825	51.286	꽉	[]
5	8	12	AH0001	51.286	51.646	잡았으면	[]
5	8	13	AH0001	51.706	52.167	좋겠어요.	[]
6	9	1	AH0002	52.169	52.53	그런데	[]
6	9	2	AH0002	52.55	52.57	이	[]
6	9	3	AH0002	52.671	53.072	후배들이	[]
6	9	4	AH0002	53.152	53.253	좀	[]
6	9	5	AH0002	53.373	53.554	빨리	[]
6	9	6	AH0002	53.674	53.855	많이	[]
6	9	7	AH0002	53.895	54.296	나왔으면	[]
6	9	8	AH0002	54.417	55.019	좋겠습니다.	[]
7	10	1	AH0001	55.229	55.529	그거는	[]
7	10	2	AH0001	55.589	55.669	좀	[]
7	10	3	AH0001	55.729	56.15	안타까운	[]
7	10	4	AH0001	56.23	56.37	면이	[3]
7	10	5	AH0001	56.39	57.071	있으시죠.	[]
7	10	6	AH0001	57.351	57.571	예.	[]
7	10	7	AH0001	57.832	57.972	좀	[]
7	10	8	AH0001	58.072	58.192	더	[]
7	10	9	AH0001	58.292	58.712	많이	[]
7	10	10	AH0001	59.093	59.393	그	[]
7	10	11	AH0001	59.914	60.414	후배들이	[]
7	10	12	AH0001	60.835	60.995	더	[]
7	10	13	AH0001	61.075	61.275	많은	[]
7	10	14	AH0001	61.335	61.595	일들을	[]
7	10	15	AH0001	61.655	62.096	해주셨으면	[]
7	10	16	AH0001	62.176	62.596	좋겠어요.	[]
7	10	17	AH0001	63.237	63.377	근데	[]
7	10	18	AH0001	63.417	63.597	오늘	[]
7	10	19	AH0001	63.697	63.938	그	[]
7	10	20	AH0001	64.078	64.478	소개한	[]
7	10	21	AH0001	64.578	64.818	저서	[]
7	10	22	AH0001	64.859	65.339	가운데	[]
7	10	23	AH0001	65.519	65.759	우리가	[]
7	10	24	AH0001	65.819	66.08	정말	[]
7	10	25	AH0001	66.14	66.46	알아야	[]
7	10	26	AH0001	66.52	66.66	할	[]
7	10	27	AH0001	66.78	66.921	우리	[]
7	10	28	AH0001	66.981	67.141	나무	[]
7	10	29	AH0001	67.241	67.341	백	[]
7	10	30	AH0001	67.421	67.741	가지	[]
7	10	31	AH0001	68.442	68.762	아마도	[]
7	10	32	AH0001	68.822	69.343	@이름2	[]
7	10	33	AH0001	69.463	70.144	원장님을	[]
7	11	1	AH0001	70.549	71.25	일반인들에게	[]
7	11	2	AH0001	71.31	71.671	알린	[]
7	11	3	AH0001	72.192	72.332	그	[]
7	11	4	AH0001	72.472	72.552	첫	[]
7	11	5	AH0001	72.672	72.853	책이	[]
7	11	6	AH0001	72.893	73.414	아닌가.	[]
7	11	7	AH0001	73.634	73.794	그렇게	[4]
7	11	8	AH0001	73.874	74.115	생각을	[]
7	11	9	AH0001	74.155	74.595	하는데	[]
7	11	10	AH0001	75.196	75.297	이	[]
7	11	11	AH0001	75.477	75.958	책이요.	[]
7	11	12	AH0001	76.158	76.699	지금은	[]
7	11	13	AH0001	77.38	77.56	어	[]
7	11	14	AH0001	77.721	77.981	제목을	[]
7	11	15	AH0001	78.041	78.141	좀	[]
7	11	16	AH0001	78.221	78.842	바꿨지요.	[]
7	11	17	AH0001	79.443	79.704	최근	[]
7	11	18	AH0001	80.104	80.425	그	[]
7	11	19	AH0001	81.106	81.547	개정판을	[]
7	11	20	AH0001	81.587	82.047	내시면서.	[]
8	12	1	AH0002	82.389	82.61	예	[]
8	12	2	AH0002	82.73	83.051	우리가	[]
8	12	3	AH0002	83.071	83.372	그니깐	[]
8	12	4	AH0002	83.733	83.934	거의	[]
8	12	5	AH0002	84.014	84.295	같은	[]
8	12	6	AH0002	84.375	84.736	맥락의	[]
8	12	7	AH0002	84.837	85.539	책들이고요.	[5]
8	13	1	AH0002	86.012	86.292	사실은	[]
8	13	2	AH0002	86.392	86.673	제가	[]
8	13	3	AH0002	86.833	87.073	그	[]
8	13	4	AH0002	87.473	87.714	제목이	[]
8	13	5	AH0002	87.814	88.034	약간	[]
8	13	6	AH0002	88.094	88.695	바뀌었지만	[]
8	13	7	AH0002	89.415	89.575	그	[]
8	13	8	AH0002	90.917	91.137	새로	[]
8	13	9	AH0002	91.257	91.397	쓰고	[]
8	13	10	AH0002	91.437	91.637	싶은	[]
8	13	11	AH0002	91.697	92.038	생각이	[]
8	13	12	AH0002	92.098	92.158	막	[]
8	13	13	AH0002	92.238	92.498	간절	[]
8	13	14	AH0002	92.538	92.899	했어요	[]
8	13	15	AH0002	93.139	93.419	이십	[]
8	13	16	AH0002	93.519	93.639	몇	[]
8	13	17	AH0002	93.739	94.04	년을	[]
8	13	18	AH0002	94.12	94.841	지났으니까.	[]
8	13	19	AH0002	95.341	95.541	그	[]
8	13	20	AH0002	97.083	97.283	그때	[]
8	13	21	AH0002	97.303	97.503	이십	[]
8	13	22	AH0002	97.563	97.803	몇년	[]
8	13	23	AH0002	97.924	98.064	지나	[]
8	13	24	AH0002	98.164	98.424	이제	[]
8	13	25	AH0002	98.664	98.784	좀	[]
8	13	26	AH0002	99.125	99.425	지나간	[]
8	13	27	AH0002	99.485	99.965	학자들	[]
8	13	28	AH0002	100.126	100.866	학자로서의	[]
8	13	29	AH0002	100.986	101.367	생각은	[]
8	14	1	AH0002	101.957	102.217	어떨까.	[]
8	14	2	AH0002	102.297	102.457	하고	[]
8	14	3	AH0002	102.498	102.978	했는데	[6]
8	14	4	AH0002	103.599	104.179	생각해보면	[]
8	14	5	AH0002	104.259	104.62	그렇게	[]
8	14	6	AH0002	104.72	104.86	쓰는	[]
8	14	7	AH0002	104.94	105.14	책은	[]
8	14	8	AH0002	105.22	105.3	또	[]
8	14	9	AH0002	105.36	105.601	새로운	[]
8	14	10	AH0002	105.701	106.041	책인것	[]
8	14	11	AH0002	106.081	106.722	같더라고요.	[7]
8	14	12	AH0002	106.862	107.322	그래서	[]
8	14	13	AH0002	107.783	108.303	그때	[]
8	14	14	AH0002	108.403	108.724	썼던	[]
8	14	15	AH0002	108.824	108.884	그	[]
8	14	16	AH0002	109.004	109.264	책은	[]
8	14	17	AH0002	109.344	109.765	그대로	[]
8	14	18	AH0002	110.105	110.445	하지만	[]
8	14	19	AH0002	110.525	110.786	바뀐	[]
8	14	20	AH0002	110.866	111.386	정보들은	[]
8	14	21	AH0002	111.486	112.127	수정해서	[8]
8	14	22	AH0002	112.347	112.647	리뉴얼을	[]
8	14	23	AH0002	112.687	113.208	했고요.	[9]
8	15	1	AH0002	113.739	113.76	예	[]
9	16	1	AH0001	114.295	114.556	오늘	[]
9	16	2	AH0001	114.716	114.897	에	[]
9	16	3	AH0001	115.057	115.859	식목일인데요	[]
9	16	4	AH0001	116.982	117.042	사	[]
9	16	5	AH0001	117.142	117.283	월	[]
9	16	6	AH0001	117.303	117.323	오	[]
9	16	7	AH0001	117.363	117.503	일이	[]
9	16	8	AH0001	117.583	118.185	식목일로	[]
9	16	9	AH0001	118.265	119.127	정해진	[]
9	16	10	AH0001	119.288	119.388	게	[]
9	16	11	AH0001	119.428	120.391	언제부터였습니까?	[]
10	17	1	AH0002	120.947	121.347	그	[]
10	17	2	AH0002	121.548	121.968	유래가	[]
10	17	3	AH0002	122.108	122.288	좀	[]
10	17	4	AH0002	122.308	122.729	이렇게	[]
10	17	5	AH0002	123.329	123.789	여러가지	[]
10	17	6	AH0002	123.829	124.25	이야기들이	[]
10	17	7	AH0002	124.27	124.85	있습니다	[]
10	17	8	AH0002	124.95	125.331	그래서	[]
10	17	9	AH0002	125.851	126.091	사실은	[]
10	17	10	AH0002	126.111	126.332	인제	[]
10	17	11	AH0002	126.412	126.752	처음에	[]
10	17	12	AH0002	126.832	127.232	식목일을	[]
10	17	13	AH0002	127.312	127.373	왜	[]
10	17	14	AH0002	127.493	127.593	사	[]
10	17	15	AH0002	127.613	127.673	월	[]
10	17	16	AH0002	127.753	127.793	오	[]
10	17	17	AH0002	127.853	128.013	일로	[]
10	17	18	AH0002	128.073	128.574	정했을까	[]
10	17	19	AH0002	128.634	128.774	하는	[]
10	17	20	AH0002	128.854	129.294	얘기는	[]
10	17	21	AH0002	129.374	129.554	이십사	[]
10	17	22	AH0002	129.574	129.594	이	[]
10	17	23	AH0002	129.735	129.855	사	[]
10	17	24	AH0002	130.575	130.635	사	[]
10	17	25	AH0002	130.735	131.056	절기의	[]
10	17	26	AH0002	131.116	131.576	하나인	[]
10	17	27	AH0002	131.876	132.237	청명	[]
10	17	28	AH0002	132.337	132.877	무렵이기도	[]
10	17	29	AH0002	132.937	133.238	한데	[]
10	17	30	AH0002	133.298	133.518	그때가	[]
10	18	1	AH0002	134.128	134.588	가장	[]
10	18	2	AH0002	134.868	135.449	나무심기도	[]
10	18	3	AH0002	135.509	136.249	적당하고	[]
10	18	4	AH0002	136.689	136.769	또	[]
10	18	5	AH0002	136.869	137.329	신라가	[]
10	18	6	AH0002	137.449	138.29	삼국통일의	[]
10	18	7	AH0002	138.39	138.71	위업을	[]
10	18	8	AH0002	138.79	139.31	달성한	[]
10	18	9	AH0002	139.39	139.65	날이	[]
10	18	10	AH0002	140.031	140.671	음력으로	[]
10	18	11	AH0002	141.111	141.171	이	[]
10	18	12	AH0002	141.211	141.291	월	[]
10	18	13	AH0002	141.331	141.651	이십오	[]
10	18	14	AH0002	141.691	141.931	일인데	[]
10	18	15	AH0002	141.992	142.172	그때	[]
10	18	16	AH0002	142.312	142.672	쯤이기도	[]
10	18	17	AH0002	142.732	143.032	한데	[10]
10	18	18	AH0002	143.412	143.692	마침	[]
10	18	19	AH0002	143.752	143.972	그때	[]
10	18	20	AH0002	144.052	144.433	조선의	[]
10	18	21	AH0002	144.533	145.053	성종이	[]
10	18	22	AH0002	145.433	145.893	동대문	[]
10	18	23	AH0002	146.013	146.093	밖	[]
10	18	24	AH0002	146.213	147.034	선농단에서	[11]
10	18	25	AH0002	147.554	147.934	직접	[]
10	18	26	AH0002	147.954	148.134	이제	[]
10	18	27	AH0002	148.214	148.735	밭갈이를	[]
10	18	28	AH0002	148.795	149.015	하면서	[]
10	18	29	AH0002	149.075	149.315	일군	[]
10	18	30	AH0002	149.395	149.575	날이	[]
10	19	1	AH0002	150.119	150.42	바로	[]
10	19	2	AH0002	150.44	150.46	그	[]
10	19	3	AH0002	150.72	151.061	날이다	[]
10	19	4	AH0002	151.101	151.401	해서	[]
10	19	5	AH0002	151.421	151.842	이제	[]
10	19	6	AH0002	151.922	152.523	식목일이라	[]
10	19	7	AH0002	152.583	152.763	이런	[]
10	19	8	AH0002	152.864	153.084	설이	[]
10	19	9	AH0002	153.164	153.705	많구요.	[12]
10	20	1	AH0002	154.121	154.942	공식적으로	[]
10	20	2	AH0002	155.042	155.182	지금	[]
10	20	3	AH0002	155.282	155.802	대한민국	[]
10	20	4	AH0002	155.902	156.502	정부에서	[]
10	20	5	AH0002	156.583	157.583	대통령령으로	[]
10	20	6	AH0002	158.043	158.684	관공서와	[]
10	20	7	AH0002	158.804	159.244	공휴일에	[]
10	20	8	AH0002	159.324	159.604	관한	[]
10	20	9	AH0002	159.765	159.885	건에	[]
10	20	10	AH0002	160.185	160.885	제정하면서	[]
10	20	11	AH0002	161.225	161.726	식목일로	[]
10	20	12	AH0002	161.786	162.046	정한	[]
10	20	13	AH0002	162.126	162.226	건	[]
10	20	14	AH0002	162.286	163.127	천구백사십구	[]
10	20	15	AH0002	163.207	163.767	년이고요.	[13]
10	21	1	AH0002	164.356	164.496	예.	[]
10	21	2	AH0002	164.836	165.036	사실	[]
10	21	3	AH0002	165.116	165.577	그전	[]
10	21	4	AH0002	165.797	166.137	그것보다	[]
10	21	5	AH0002	166.217	166.657	이전에	[]
10	21	6	AH0002	166.797	167.537	천구백십일	[]
10	21	7	AH0002	167.617	167.777	년	[]
10	21	8	AH0002	168.278	169.298	조선총독부	[]
10	21	9	AH0002	169.418	169.658	산하	[]
10	21	10	AH0002	169.718	170.238	있을때	[]
10	21	11	AH0002	170.679	170.739	그	[]
10	21	12	AH0002	170.839	170.919	사	[]
10	21	13	AH0002	170.959	171.059	월	[]
10	21	14	AH0002	171.139	171.259	삼	[]
10	21	15	AH0002	171.299	171.499	일을	[]
10	21	16	AH0002	171.579	171.979	식목일로	[]
10	21	17	AH0002	172.039	172.84	정한다라는	[14]
10	21	18	AH0002	173.36	173.9	근거들도	[]
10	21	19	AH0002	173.92	174.38	있었고	[]
10	21	20	AH0002	174.44	174.52	그래서	[]
10	21	21	AH0002	174.6	174.74	여러	[]
10	21	22	AH0002	174.8	174.88	가지	[]
10	21	23	AH0002	175.001	175.081	좀	[]
10	21	24	AH0002	175.161	175.601	스토리들이	[]
10	21	25	AH0002	175.621	176.141	있습니다.	[15]
10	22	1	AH0002	176.49	176.55	그런데	[]
10	22	2	AH0002	176.57	176.831	요즘은	[]
10	22	3	AH0002	176.871	177.012	이제	[]
10	22	4	AH0002	177.132	177.192	사	[]
