uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.175	0.437	아	[]
1	1	2	DG0001	0.558	0.799	오늘	[]
1	1	3	DG0001	1.001	1.282	나눌	[]
1	1	4	DG0001	1.383	1.645	주제는	[]
1	1	5	DG0001	1.705	2.269	뭔가요?	[]
2	2	1	DG0002	2.279	2.8	어	[]
2	2	2	DG0002	2.98	3.241	우리가	[]
2	2	3	DG0002	3.361	3.742	그	[]
2	2	4	DG0002	4.263	4.403	소비	[]
2	2	5	DG0002	4.564	4.904	트렌드에	[]
2	2	6	DG0002	4.945	5.065	대한	[]
2	2	7	DG0002	5.125	5.325	얘기를	[]
2	2	8	DG0002	5.385	5.486	자	[]
2	2	9	DG0002	5.666	5.907	종종	[]
2	2	10	DG0002	5.927	6.347	했어요.	[1]
2	2	11	DG0002	6.708	6.869	그래서	[]
2	2	12	DG0002	6.929	7.129	지금	[]
2	2	13	DG0002	7.249	7.55	들으시는	[]
2	2	14	DG0002	7.61	7.891	분들은	[]
2	2	15	DG0002	7.971	8.151	거의	[]
2	2	16	DG0002	8.291	8.452	반	[]
2	2	17	DG0002	8.532	8.752	트렌드	[]
2	2	18	DG0002	8.793	9.153	전문가라고	[]
2	2	19	DG0002	9.213	9.374	보시면	[]
2	2	20	DG0002	9.414	9.694	되는데	[]
2	3	1	DG0002	10.508	10.849	오늘은	[]
2	3	2	DG0002	10.969	11.069	또	[]
2	3	3	DG0002	11.129	11.149	그	[]
2	3	4	DG0002	11.289	11.43	소비	[]
2	3	5	DG0002	11.59	12.211	트렌드에	[]
2	3	6	DG0002	12.291	12.591	따라서	[]
2	3	7	DG0002	12.692	13.253	변화하는	[]
2	3	8	DG0002	13.313	13.793	오프라인	[]
2	3	9	DG0002	13.954	14.374	매장들에	[]
2	3	10	DG0002	14.435	14.715	대해서	[]
2	3	11	DG0002	14.815	14.855	한번	[]
2	3	12	DG0002	14.915	15.096	이야기	[]
2	3	13	DG0002	15.136	15.496	나눠보도록	[]
2	3	14	DG0002	15.556	15.937	할게요.	[]
3	4	1	DG0001	15.996	16.056	어	[]
3	4	2	DG0001	16.217	16.579	오프라인	[]
3	4	3	DG0001	16.679	17.322	매장이요.	[2]
3	4	4	DG0001	17.503	17.704	사실	[]
3	4	5	DG0001	17.764	17.985	요새는	[]
3	4	6	DG0001	18.086	18.447	온라인이	[]
3	4	7	DG0001	18.508	19.01	대세죠.	[]
4	5	1	DG0002	19.038	19.519	그렇죠	[]
4	5	2	DG0002	20.22	20.541	근데	[]
4	5	3	DG0002	20.621	20.922	그럼에도	[]
4	5	4	DG0002	20.962	21.262	불구하고	[]
4	5	5	DG0002	21.323	21.703	백화점	[]
4	5	6	DG0002	21.763	22.024	종종	[]
4	5	7	DG0002	22.104	23.407	가시죠.	[3]
4	5	8	DG0002	23.527	23.587	그쵸.	[]
4	5	9	DG0002	23.647	23.868	많이들	[]
4	5	10	DG0002	23.928	24.028	가실	[]
4	5	11	DG0002	24.108	24.349	텐데	[]
4	5	12	DG0002	24.469	24.769	특히나	[]
4	5	13	DG0002	24.789	25.23	요즘처럼	[]
4	5	14	DG0002	25.391	25.551	추운	[]
4	5	15	DG0002	25.651	25.952	겨울에	[]
4	5	16	DG0002	25.992	26.152	많이	[]
4	5	17	DG0002	26.212	26.733	가시는데	[]
4	5	18	DG0002	27.214	27.515	백화점	[]
4	5	19	DG0002	27.575	27.876	가면	[]
4	5	20	DG0002	27.976	28.036	그	[]
4	5	21	DG0002	28.096	28.336	일종의	[]
4	5	22	DG0002	28.397	28.737	법칙이	[]
4	5	23	DG0002	28.757	29.118	있어요.	[]
4	6	1	DG0002	29.402	29.522	일	[]
4	6	2	DG0002	29.702	30.143	층에는	[]
4	6	3	DG0002	30.243	30.543	유명한	[]
4	6	4	DG0002	30.603	30.884	화장품	[]
4	6	5	DG0002	30.944	31.084	코너가	[4]
4	6	6	DG0002	31.204	31.304	있고	[]
4	6	7	DG0002	31.685	31.925	그리고	[]
4	6	8	DG0002	32.005	32.486	위층에는	[]
4	6	9	DG0002	32.506	32.526	뭐	[]
4	6	10	DG0002	32.566	32.766	이렇게	[]
4	6	11	DG0002	32.826	32.906	뭐	[]
4	6	12	DG0002	33.006	33.307	마담	[]
4	6	13	DG0002	33.487	33.727	그리고	[]
4	6	14	DG0002	34.088	34.188	위에	[]
4	6	15	DG0002	34.248	34.889	올라가면은	[]
4	6	16	DG0002	35.309	35.369	어	[]
4	6	17	DG0002	35.409	35.91	음식점	[5]
4	6	18	DG0002	36.17	36.29	이런	[]
4	6	19	DG0002	36.31	36.591	것들이	[]
4	6	20	DG0002	36.611	36.651	있는	[]
4	6	21	DG0002	36.711	36.751	게	[]
4	6	22	DG0002	36.811	37.111	백화점의	[]
4	6	23	DG0002	37.171	37.772	법칙인데	[]
4	6	24	DG0002	38.413	38.593	수십	[]
4	6	25	DG0002	38.673	39.174	년간	[]
4	6	26	DG0002	39.274	40.315	이어지었던	[]
4	6	27	DG0002	40.475	41.136	백화점의	[]
4	6	28	DG0002	41.316	41.697	법칙이	[]
4	7	1	DG0002	42.686	42.926	깨지고	[]
4	7	2	DG0002	42.967	43.888	있어요.	[]
4	7	3	DG0002	44.069	44.129	까	[]
4	7	4	DG0002	44.189	44.329	일	[]
4	7	5	DG0002	44.449	44.61	층에	[]
4	7	6	DG0002	44.67	44.89	보면	[]
4	7	7	DG0002	44.93	45.211	화장품	[]
4	7	8	DG0002	45.291	45.552	코너가	[]
4	7	9	DG0002	45.612	45.772	많이	[]
4	7	10	DG0002	45.792	46.233	있는데	[]
4	7	11	DG0002	46.373	46.654	화장품	[6]
4	7	12	DG0002	46.754	47.115	코너가	[]
4	7	13	DG0002	47.616	47.836	많은	[]
4	7	14	DG0002	47.896	48.517	백화점에서	[]
4	7	15	DG0002	48.537	48.618	일	[]
4	7	16	DG0002	48.698	48.918	층에서	[]
4	7	17	DG0002	48.998	49.279	사라지고	[]
4	7	18	DG0002	49.319	49.62	있더라고	[]
4	7	19	DG0002	49.66	50.341	하더라구요	[]
4	7	20	DG0002	50.361	50.381	네.	[]
5	8	1	DG0001	43.466	43.708	어.	[]
5	8	2	DG0001	43.829	44.07	그래요?	[]
6	9	1	DG0002	51.54	51.64	그	[]
6	9	2	DG0002	51.68	51.921	이유는	[]
6	9	3	DG0002	51.961	52.321	말씀하신	[]
6	9	4	DG0002	52.361	52.802	것처럼	[]
6	9	5	DG0002	52.942	53.262	화장품	[]
6	9	6	DG0002	53.323	53.783	판매가	[]
6	9	7	DG0002	53.803	53.843	인제	[]
6	9	8	DG0002	54.124	54.404	직접	[]
6	9	9	DG0002	54.504	54.825	구매해서	[]
6	9	10	DG0002	54.905	55.366	온라인으로	[]
6	9	11	DG0002	55.406	55.566	많이	[]
6	9	12	DG0002	55.626	55.966	넘어갔기	[]
6	9	13	DG0002	56.047	56.567	때문인데	[]
6	9	14	DG0002	56.587	57.609	어쨌든	[7]
6	9	15	DG0002	57.709	58.37	백화점도	[]
6	9	16	DG0002	58.45	59.011	변화하면서	[]
6	9	17	DG0002	59.071	59.371	오프라인	[]
6	9	18	DG0002	59.431	59.812	매장들이	[]
6	9	19	DG0002	59.872	60.173	굉장히	[]
6	9	20	DG0002	60.233	60.413	많이	[]
6	10	1	DG0002	61.072	61.254	그	[]
6	10	2	DG0002	61.375	61.841	살아남기	[]
6	10	3	DG0002	61.861	62.043	위해서	[]
6	10	4	DG0002	62.124	62.407	변화하고	[]
6	10	5	DG0002	62.427	62.852	있습니다.	[]
7	11	1	DG0001	62.902	63.202	네.	[]
7	11	2	DG0001	63.383	63.763	확실히	[]
7	11	3	DG0001	64.123	64.504	온라인이	[]
7	11	4	DG0001	64.644	65.185	저렴하긴	[]
7	11	5	DG0001	65.225	65.385	하다	[]
7	11	6	DG0001	65.445	66.326	보니까.	[8]
7	11	7	DG0001	66.686	66.766	네.	[]
7	11	8	DG0001	66.846	66.926	좀	[]
7	11	9	DG0001	67.047	67.727	밀려나는	[]
7	11	10	DG0001	68.088	68.228	그런	[]
7	11	11	DG0001	68.248	69.209	건가요?	[]
8	12	1	DG0002	69.316	69.636	유통	[]
8	12	2	DG0002	69.716	70.017	방법	[]
8	12	3	DG0002	70.117	70.297	소비	[]
8	12	4	DG0002	70.377	70.657	패턴	[]
8	12	5	DG0002	70.717	70.857	이런	[]
8	12	6	DG0002	70.937	71.058	거에	[]
8	12	7	DG0002	71.138	71.318	따른	[]
8	12	8	DG0002	71.378	71.718	변화라고	[]
8	12	9	DG0002	71.778	71.998	보시면	[]
8	12	10	DG0002	72.038	72.459	되는데	[]
8	12	11	DG0002	73.079	73.36	어	[]
8	12	12	DG0002	73.48	74.04	온라인으로	[]
8	12	13	DG0002	74.14	74.621	대체된	[]
8	12	14	DG0002	74.701	74.761	게	[]
8	12	15	DG0002	74.841	75.061	가장	[]
8	12	16	DG0002	75.221	75.322	큰	[]
8	12	17	DG0002	75.402	75.702	이유죠	[]
8	12	18	DG0002	76.102	76.403	그리고	[]
8	12	19	DG0002	76.423	76.443	그	[]
8	12	20	DG0002	76.603	76.823	대신	[]
8	12	21	DG0002	76.903	76.983	일	[]
8	12	22	DG0002	77.203	77.704	층해고	[]
8	12	23	DG0002	77.764	77.784	이	[]
8	12	24	DG0002	77.984	78.184	층에	[]
8	12	25	DG0002	78.244	78.605	내려오는	[]
8	12	26	DG0002	78.645	78.905	것들이	[]
8	13	1	DG0002	79.5	79.881	어	[]
8	13	2	DG0002	80.061	80.462	프리미엄	[]
8	13	3	DG0002	80.542	80.763	리빙	[]
8	13	4	DG0002	80.843	81.123	시장이	[]
8	13	5	DG0002	81.183	81.644	커지면서	[]
8	13	6	DG0002	81.664	81.684	뭐	[9]
8	13	7	DG0002	82.125	82.546	인테리어	[]
8	13	8	DG0002	82.586	83.107	제품이라든지	[]
8	13	9	DG0002	83.248	83.488	가구	[]
8	13	10	DG0002	83.949	84.109	이런	[]
8	13	11	DG0002	84.149	84.49	것들이	[]
8	13	12	DG0002	84.51	84.67	이제	[]
8	13	13	DG0002	84.711	84.891	우리가	[]
8	13	14	DG0002	84.931	85.352	상상하지	[]
8	13	15	DG0002	85.392	85.693	못했던	[]
8	13	16	DG0002	85.733	85.973	것들이	[]
