bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	2.335	3.05	CONTINUER	어.	[1]	[1]	[4]
2	AH0002	4.365	4.58	CONTINUER	예.	[1]	[1]	[8]
3	AH0002	6.5	6.865	CONTINUER	네헤.	[1]	[1]	[15]
4	AH0002	9.912	10.272	CONTINUER	어.	[1]	[2]	[2]
5	AH0001	21.205	21.465	CONTINUER	네.	[6]	[7]	[5]
6	AH0001	27.498	27.783	UNDERSTANDING	아.	[8]	[10]	[5]
7	AH0001	35.255	35.545	CONTINUER	네.	[10]	[13]	[3]
8	AH0002	50.828	51.053	CONTINUER	음.	[11]	[16]	[15]
9	AH0002	62.504	62.869	CONTINUER	어.	[11]	[19]	[5]
10	AH0002	67.709	67.834	CONTINUER	어.	[13]	[22]	[2]
11	AH0002	76.704	77.119	UNDERSTANDING	아.	[15]	[26]	[2]
12	AH0001	79.301	79.711	CONTINUER	에.	[18]	[29]	[3]
13	AH0001	84.471	84.661	CONTINUER	음.	[18]	[29]	[12]
14	AH0001	85.586	85.801	CONTINUER	어.	[18]	[29]	[14]
15	AH0002	88.61	88.765	CONTINUER	예.	[19]	[31]	[2]
16	AH0002	91.14	91.625	UNDERSTANDING	음.	[21]	[33]	[3]
17	AH0002	95.195	95.435	CONTINUER	네.	[21]	[33]	[12]
18	AH0002	101.914	102.019	CONTINUER	네.	[21]	[34]	[15]
19	AH0002	104.68	104.915	CONTINUER	예.	[21]	[35]	[5]
20	AH0001	117.677	118.092	CONTINUER	예.	[28]	[42]	[12]
21	AH0001	123.093	124.003	CONTINUER	에. 에.	[28]	[44]	[2]
