bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	15.411	15.951	CONTINUER	네.	[2]	[3]	[8]
2	AH0001	27.98	28.67	CONTINUER	네.	[2]	[4]	[19]
3	AH0001	44.405	45.311	UNDERSTANDING	어.	[2]	[6]	[17]
4	AH0001	87.659	88.214	CONTINUER	네.	[6]	[13]	[16]
5	AH0001	120.407	120.802	CONTINUER	네.네.	[10]	[19]	[6]
6	AH0001	122.027	122.887	REQUEST_CONFIRMATION	아. 그래요?	[10]	[19]	[10]
7	AH0001	131.345	132.11	UNDERSTANDING	음.	[10]	[21]	[6]
8	AH0001	151.393	151.873	CONTINUER	네.	[10]	[22]	[13]
9	AH0001	166.529	167.574	NEGATIVE_SURPRISE	아.	[10]	[24]	[9]
10	AH0002	175.451	176.645	CONTINUER	어. 네.	[11]	[25]	[16]
11	AH0001	194.145	194.87	UNDERSTANDING	네.	[12]	[28]	[17]
12	AH0001	233.038	233.428	CONTINUER	네.	[14]	[32]	[10]
13	AH0001	238.278	238.718	CONTINUER	음.	[14]	[33]	[11]
14	AH0001	247.526	248.311	UNDERSTANDING	네.	[14]	[34]	[15]
15	AH0001	251.742	252.232	CONTINUER	네.	[14]	[34]	[24]
16	AH0001	254.816	255.761	AFFIRMATIVE	네. 그렇죠.	[14]	[35]	[5]
17	AH0002	268.628	268.778	CONTINUER	응.	[15]	[37]	[9]
18	AH0001	345.562	346.072	CONTINUER	네.	[18]	[47]	[28]
19	AH0002	366.154	366.274	CONTINUER	응.	[19]	[50]	[12]
20	AH0002	370.473	370.563	CONTINUER	네.	[19]	[50]	[24]
21	AH0002	382.902	383.127	CONTINUER	네.	[19]	[52]	[17]
22	AH0001	397.799	398.23	CONTINUER	네.	[20]	[54]	[9]
23	AH0001	416.509	416.899	CONTINUER	네.	[20]	[57]	[11]
24	AH0001	442.036	442.426	CONTINUER	네.	[20]	[60]	[18]
25	AH0001	488.096	488.446	CONTINUER	네.	[22]	[67]	[16]
26	AH0001	494.56	495.035	CONTINUER	네.	[22]	[68]	[16]
27	AH0002	508.954	509.125	CONTINUER	네.	[23]	[70]	[7]
28	AH0002	518.465	518.718	CONTINUER	아.	[23]	[71]	[9]
29	AH0001	533.997	534.262	CONTINUER	네.	[24]	[72]	[12]
30	AH0001	540.062	540.517	CONTINUER	네.	[24]	[73]	[9]
31	AH0001	544.498	545.073	CONTINUER	음.	[24]	[73]	[16]
32	AH0001	559.968	560.368	CONTINUER	네.	[24]	[75]	[5]
33	AH0001	572.952	573.257	CONTINUER	네.	[24]	[76]	[10]
34	AH0001	590.291	590.636	CONTINUER	네.	[24]	[78]	[7]
35	AH0001	618.444	619.254	UNDERSTANDING	네.	[24]	[81]	[11]
36	AH0001	626.463	626.953	CONTINUER	음.	[24]	[83]	[5]
37	AH0002	654.02	654.145	CONTINUER	네.	[25]	[85]	[11]
38	AH0001	693.863	694.268	CONTINUER	네.	[28]	[89]	[11]
39	AH0001	754.77	755.34	CONTINUER	네.	[30]	[95]	[22]
40	AH0001	785.496	785.861	CONTINUER	네.	[30]	[100]	[1]
41	AH0001	806.422	806.867	CONTINUER	네.	[32]	[102]	[10]
42	AH0002	817.411	817.891	CONTINUER	네.	[33]	[104]	[5]
43	AH0002	818.831	819.161	CONTINUER	네.	[33]	[104]	[8]
44	AH0001	829.565	830.135	CONTINUER	네.	[34]	[105]	[19]
45	AH0001	835.979	836.929	NEGATIVE_SURPRISE	어.	[34]	[106]	[9]
46	AH0001	877.127	877.957	CONTINUER	음.	[36]	[111]	[13]
47	AH0001	892.699	892.994	CONTINUER	네.	[38]	[114]	[6]
48	AH0001	896.069	896.269	CONTINUER	네.	[38]	[114]	[10]
49	AH0001	899.989	900.619	CONTINUER	음.	[38]	[114]	[17]
50	AH0001	908.616	909.211	CONTINUER	음.	[38]	[115]	[11]
51	AH0001	922.32	923.21	UNDERSTANDING	음.	[40]	[117]	[23]
52	AH0001	932.724	933.469	CONTINUER	네.	[40]	[118]	[15]
53	AH0002	938.581	938.781	CONTINUER	네.	[41]	[120]	[7]
54	AH0001	955.882	956.242	CONTINUER	네.	[42]	[121]	[14]
55	AH0001	966.726	967.486	CONTINUER	네.	[42]	[121]	[26]
56	AH0001	991.149	991.679	AFFIRMATIVE	그렇죠.	[42]	[124]	[16]
57	AH0001	1022.316	1022.686	CONTINUER	네.	[44]	[129]	[6]
58	AH0001	1028.212	1028.537	CONTINUER	네.	[44]	[130]	[10]
59	AH0001	1040.244	1040.639	CONTINUER	네.	[44]	[131]	[7]
60	AH0001	1048.751	1049.451	CONTINUER	음.	[44]	[131]	[21]
61	AH0001	1093.317	1093.942	CONTINUER	네.	[44]	[138]	[7]
62	AH0001	1097.746	1098.261	CONTINUER	어.	[44]	[139]	[8]
63	AH0002	1151.088	1151.284	CONTINUER	네.	[49]	[146]	[10]
