bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	3.949	4.659	CONTINUER	네.	[]	[]	[]
2	AH0001	14.883	15.703	CONTINUER	어.	[2]	[2]	[22]
3	AH0001	31.014	31.374	CONTINUER	예.	[2]	[4]	[8]
4	AH0001	38.113	38.513	CONTINUER	네.	[]	[]	[]
5	AH0001	69.172	69.992	CONTINUER	아.	[4]	[8]	[17]
6	AH0001	73.553	74.383	CONTINUER	어허.	[4]	[9]	[7]
7	AH0001	87.303	87.773	CONTINUER	예.	[6]	[11]	[14]
8	AH0001	92.147	92.739	AFFIRMATIVE	그렇죠.	[6]	[11]	[23]
9	AH0001	97.934	98.359	CONTINUER	음흠.	[6]	[12]	[9]
10	AH0001	106.424	106.969	CONTINUER	예.	[6]	[12]	[20]
11	AH0002	109.275	109.55	CONTINUER	네.	[7]	[13]	[1]
12	AH0001	124.155	124.64	CONTINUER	에.	[8]	[14]	[12]
13	AH0001	128.772	129.122	CONTINUER	음.	[8]	[15]	[8]
14	AH0001	136.639	137.238	CONTINUER	예.예.	[10]	[18]	[5]
15	AH0001	147.891	148.406	CONTINUER	아하.	[12]	[21]	[4]
16	AH0002	163.88	164.242	CONTINUER	네.	[13]	[22]	[5]
17	AH0001	171.706	172.451	ASSESSMENT	아.	[14]	[26]	[1]
18	AH0001	176.526	177.491	AFFIRMATIVE	그렇죠. 그렇죠.	[14]	[26]	[13]
19	AH0001	181.806	182.396	CONTINUER	음.	[14]	[26]	[22]
20	AH0001	202.524	203.014	ASSESSMENT	이야.	[16]	[30]	[9]
21	AH0002	208.289	208.822	AFFIRMATIVE	그렇습니다.	[17]	[31]	[9]
22	AH0001	215.602	216.087	CONTINUER	음.	[18]	[32]	[16]
23	AH0001	223.638	223.923	CONTINUER	예.	[18]	[33]	[3]
24	AH0001	232.597	232.972	CONTINUER	아.	[18]	[34]	[15]
25	AH0001	233.657	234.392	CONTINUER	아하.	[18]	[34]	[18]
26	AH0001	236.682	237.117	CONTINUER	음.	[18]	[36]	[1]
27	AH0001	247.118	247.678	CONTINUER	예.	[18]	[37]	[20]
28	AH0001	261.057	261.467	CONTINUER	음흠.	[22]	[41]	[5]
29	AH0001	261.892	262.452	CONTINUER	음.	[22]	[41]	[8]
30	AH0001	269.573	270.255	CONTINUER	네.	[]	[]	[]
31	AH0002	286.181	286.641	CONTINUER	네.	[25]	[46]	[1]
32	AH0001	309.941	310.646	CONTINUER	예.예.	[26]	[49]	[10]
33	AH0001	351.99	352.669	CONTINUER	예예.	[26]	[52]	[19]
34	AH0001	361.464	361.909	AFFIRMATIVE	그렇죠.	[26]	[53]	[15]
35	AH0001	363.329	363.604	CONTINUER	음.	[26]	[53]	[23]
36	AH0001	372.094	372.394	CONTINUER	예.	[26]	[55]	[10]
37	AH0001	386.474	386.889	CONTINUER	예.	[26]	[56]	[15]
38	AH0001	391.761	392.321	CONTINUER	네.	[26]	[57]	[4]
39	AH0002	400.587	401.022	CONTINUER	네.	[29]	[60]	[2]
40	AH0001	418.982	419.542	CONTINUER	어.	[32]	[65]	[13]
41	AH0001	423.498	423.928	CONTINUER	예.	[32]	[65]	[25]
42	AH0001	431.303	431.538	CONTINUER	음.	[32]	[66]	[18]
43	AH0001	432.708	433.118	CONTINUER	음.	[32]	[66]	[22]
44	AH0001	439.603	440.458	CONTINUER	네.네.	[32]	[67]	[12]
45	AH0001	443.663	443.983	CONTINUER	음.	[32]	[67]	[19]
46	AH0002	468.556	469.091	AFFIRMATIVE	그렇습니다.	[33]	[70]	[5]
47	AH0001	475.829	476.609	CONTINUER	네.네.	[34]	[71]	[16]
48	AH0001	505.532	505.877	CONTINUER	어.	[38]	[79]	[1]
49	AH0001	507.752	508.437	CONTINUER	음.	[38]	[79]	[5]
50	AH0001	532.712	533.452	CONTINUER	예.예.	[40]	[81]	[22]
51	AH0001	536.869	537.409	CONTINUER	음.	[40]	[82]	[4]
52	AH0001	553.476	554.586	CONTINUER	예.예.	[40]	[84]	[9]
53	AH0001	561.232	561.767	CONTINUER	음.	[40]	[85]	[16]
54	AH0001	574.513	575.286	CONTINUER	어.	[40]	[86]	[16]
55	AH0001	582.684	583.093	CONTINUER	네.	[40]	[88]	[5]
56	AH0001	595.135	596.375	CONTINUER	네. 그렇습니다. 네.	[40]	[89]	[21]
57	AH0001	596.895	597.135	CONTINUER	음.	[40]	[89]	[27]
58	AH0002	614.108	614.867	AFFIRMATIVE	그렇습니다.	[]	[]	[]
59	AH0001	626.482	627.197	CONTINUER	네.네.	[42]	[93]	[11]
60	AH0001	636.349	636.544	CONTINUER	음.	[42]	[94]	[10]
61	AH0001	639.588	640.313	CONTINUER	네.네.	[42]	[95]	[1]
62	AH0001	645.318	645.773	CONTINUER	음.	[42]	[95]	[13]
63	AH0001	649.811	650.206	AFFIRMATIVE	그렇죠.	[42]	[96]	[7]
64	AH0001	656.396	657.196	CONTINUER	예.예.	[42]	[96]	[23]
65	AH0001	658.524	659.019	CONTINUER	예.	[42]	[96]	[28]
66	AH0001	666.654	667.304	AFFIRMATIVE	맞습니다.	[42]	[97]	[15]
67	AH0002	671.719	672.024	CONTINUER	네.	[43]	[98]	[2]
68	AH0001	676.309	676.698	CONTINUER	음.	[44]	[99]	[8]
69	AH0001	710.185	710.425	CONTINUER	음.	[46]	[104]	[17]
70	AH0001	721.96	722.595	ASSESSMENT	아이고.	[46]	[105]	[17]
71	AH0001	729.281	729.741	CONTINUER	어.	[46]	[106]	[16]
72	AH0001	747.366	747.771	CONTINUER	음.	[46]	[108]	[12]
73	AH0001	752.191	752.481	CONTINUER	아.	[46]	[108]	[22]
74	AH0001	754.806	754.951	CONTINUER	어.	[46]	[108]	[29]
75	AH0001	759.209	759.604	AFFIRMATIVE	그렇죠.	[46]	[109]	[16]
76	AH0001	775.372	775.927	CONTINUER	어.	[46]	[110]	[29]
77	AH0001	779.981	780.626	CONTINUER	예.	[46]	[111]	[6]
78	AH0001	781.708	782.408	CONTINUER	아.	[46]	[112]	[5]
79	AH0001	790.147	790.957	AFFIRMATIVE	그렇죠.	[46]	[113]	[21]
80	AH0001	803.727	804.002	CONTINUER	음.	[46]	[115]	[3]
81	AH0002	808.798	808.963	CONTINUER	음.	[47]	[116]	[3]
82	AH0002	823.546	823.846	AFFIRMATIVE	그렇죠.	[47]	[116]	[25]
83	AH0002	828.895	829.752	AFFIRMATIVE	그렇습니다.	[47]	[117]	[15]
84	AH0001	850.412	850.762	CONTINUER	예.	[48]	[120]	[8]
85	AH0001	866.676	867.206	CONTINUER	음.	[48]	[121]	[13]
86	AH0001	892.062	892.729	UNDERSTANDING	아.	[48]	[123]	[19]
87	AH0001	893.764	894.229	CONTINUER	예.	[48]	[124]	[5]
88	AH0001	895.079	895.649	CONTINUER	예.	[48]	[124]	[8]
89	AH0001	900.329	900.934	UNDERSTANDING	아.	[48]	[124]	[15]
90	AH0002	905.335	906.365	CONTINUER	네.네.	[49]	[126]	[1]
91	AH0001	906.574	906.894	CONTINUER	어.	[50]	[127]	[1]
92	AH0001	921.133	921.528	CONTINUER	네.	[50]	[129]	[1]
93	AH0001	931.788	932.473	CONTINUER	음.	[50]	[129]	[24]
94	AH0001	946.411	947.028	CONTINUER	예.예.	[54]	[134]	[13]
95	AH0001	964.659	965.439	CONTINUER	예.	[54]	[136]	[15]
96	AH0001	972.33	972.835	CONTINUER	음.	[54]	[136]	[35]
97	AH0001	1010.158	1010.618	CONTINUER	어.	[56]	[141]	[1]
98	AH0001	1016.218	1016.683	CONTINUER	음.	[56]	[141]	[15]
99	AH0001	1026.94	1027.405	AFFIRMATIVE	그렇죠.	[56]	[142]	[12]
100	AH0001	1036.94	1037.765	CONTINUER	음.	[56]	[143]	[10]
101	AH0001	1075.403	1075.793	CONTINUER	네.	[58]	[148]	[21]
102	AH0001	1091.115	1091.395	CONTINUER	음.	[58]	[150]	[12]
103	AH0001	1100.068	1101.046	CONTINUER	예.예.예.	[58]	[151]	[19]
104	AH0001	1120.762	1121.377	CONTINUER	음.	[60]	[154]	[9]
105	AH0001	1138.601	1138.951	CONTINUER	네.	[60]	[155]	[17]
106	AH0002	1148.127	1148.867	CONTINUER	네.네.	[61]	[157]	[2]
107	AH0001	1149.799	1150.124	CONTINUER	어.	[62]	[158]	[1]
108	AH0001	1160.884	1161.404	CONTINUER	음.	[62]	[158]	[21]
109	AH0001	1166.515	1166.985	CONTINUER	예.	[62]	[159]	[8]
110	AH0001	1175.05	1175.455	NEGATIVE_SURPRISE	아이고.	[62]	[159]	[27]
111	AH0001	1179.609	1180.169	CONTINUER	어.	[62]	[160]	[9]
112	AH0001	1185.92	1186.525	AFFIRMATIVE	그렇죠.	[62]	[161]	[5]
113	AH0001	1202.175	1202.575	CONTINUER	음.	[62]	[162]	[9]
114	AH0001	1219.238	1220.031	CONTINUER	예.	[62]	[163]	[21]
115	AH0002	1220.031	1220.416	CONTINUER	네.	[]	[]	[]
116	AH0001	1239.306	1239.851	NEGATIVE_SURPRISE	아이구.	[64]	[166]	[8]
117	AH0001	1240.487	1241.092	CONTINUER	예.	[64]	[166]	[11]
118	AH0001	1248.492	1248.882	CONTINUER	음.	[64]	[167]	[16]
119	AH0001	1269.62	1271.09	CONTINUER	음.	[64]	[170]	[17]
120	AH0001	1278.419	1278.989	CONTINUER	음.네.	[64]	[172]	[1]
121	AH0001	1286.886	1287.871	CONTINUER	예.예.	[64]	[173]	[14]
122	AH0001	1289.075	1289.535	CONTINUER	예.	[64]	[173]	[16]
123	AH0001	1295.944	1296.654	CONTINUER	음.	[64]	[174]	[16]
124	AH0002	1307.497	1308.142	CONTINUER	음.	[65]	[175]	[21]
125	AH0002	1331.977	1332.844	AFFIRMATIVE	그렇습니다 네.	[65]	[178]	[13]
126	AH0002	1341.364	1341.559	CONTINUER	네.	[65]	[179]	[12]
127	AH0001	1364.67	1364.885	CONTINUER	음.	[68]	[185]	[9]
128	AH0001	1369.495	1369.72	CONTINUER	아.	[68]	[185]	[18]
129	AH0001	1390.957	1391.292	CONTINUER	음.	[68]	[188]	[5]
130	AH0001	1455.711	1456.276	CONTINUER	예.	[72]	[196]	[2]
131	AH0001	1459.145	1460.147	CONTINUER	네.	[72]	[196]	[7]
132	AH0002	1468.043	1469.433	CONTINUER	네.	[73]	[198]	[9]
133	AH0001	1469.433	1470.056	CONTINUER	어.	[]	[]	[]
134	AH0001	1503.843	1504.562	CONTINUER	네.네.	[76]	[203]	[13]
135	AH0001	1522.874	1523.514	AFFIRMATIVE	맞습니다.	[76]	[206]	[3]
136	AH0001	1527.929	1529.347	CONTINUER	예.예.	[]	[]	[]
137	AH0001	1542.588	1543.207	CONTINUER	으흠	[80]	[211]	[7]
138	AH0001	1549.404	1549.879	CONTINUER	네.	[80]	[213]	[8]
139	AH0001	1556.114	1556.579	CONTINUER	음.	[80]	[213]	[20]
140	AH0001	1575.578	1576.088	CONTINUER	음.	[82]	[216]	[10]
141	AH0001	1593.958	1594.661	CONTINUER	네.	[82]	[218]	[27]
142	AH0001	1607.131	1607.666	CONTINUER	음.	[82]	[219]	[23]
143	AH0001	1614.307	1614.776	CONTINUER	네.	[82]	[220]	[11]
144	AH0001	1614.776	1615.152	CONTINUER	네.	[82]	[220]	[11]
145	AH0001	1622.593	1623.393	CONTINUER	어.	[82]	[221]	[11]
146	AH0001	1626.828	1627.383	CONTINUER	예.	[82]	[222]	[9]
147	AH0001	1630.213	1630.738	CONTINUER	음.	[82]	[222]	[16]
148	AH0001	1637.527	1638.042	CONTINUER	네.	[82]	[224]	[10]
149	AH0002	1650.463	1650.781	CONTINUER	네.	[]	[]	[]
150	AH0001	1650.781	1651.409	CONTINUER	어.	[82]	[225]	[33]
151	AH0001	1659.634	1660.704	CONTINUER	음.음.	[82]	[226]	[20]
152	AH0001	1663.404	1664.634	AFFIRMATIVE	그렇죠. 그렇죠.	[82]	[226]	[25]
153	AH0001	1672.064	1672.704	AFFIRMATIVE	그렇겠죠.	[82]	[227]	[17]
154	AH0001	1673.0	1673.802	AFFIRMATIVE	그렇겠죠.	[82]	[227]	[18]
155	AH0001	1675.672	1676.531	CONTINUER	네.네.	[82]	[228]	[4]
156	AH0001	1676.532	1676.999	CONTINUER	네.	[82]	[228]	[5]
157	AH0001	1682.259	1682.734	CONTINUER	음.	[82]	[229]	[11]
158	AH0002	1698.692	1698.868	CONTINUER	네.	[83]	[231]	[9]
159	AH0001	1713.068	1713.593	CONTINUER	예.	[84]	[233]	[11]
160	AH0002	1718.532	1719.031	CONTINUER	에.	[85]	[234]	[3]
161	AH0001	1727.697	1728.207	CONTINUER	어.	[86]	[237]	[1]
162	AH0001	1729.017	1729.407	CONTINUER	어.	[86]	[237]	[2]
163	AH0001	1744.108	1744.503	CONTINUER	네.	[86]	[239]	[7]
164	AH0001	1746.693	1747.078	CONTINUER	음.	[86]	[239]	[11]
165	AH0001	1763.519	1764.259	CONTINUER	네.네.	[86]	[240]	[19]
166	AH0001	1765.379	1765.744	CONTINUER	어.	[86]	[240]	[23]
167	AH0001	1773.025	1773.375	CONTINUER	음.	[86]	[241]	[20]
168	AH0001	1786.556	1787.237	AFFIRMATIVE	그렇죠.	[86]	[242]	[17]
169	AH0001	1791.357	1791.732	CONTINUER	음.	[86]	[243]	[10]
170	AH0001	1792.662	1792.997	CONTINUER	음.	[86]	[243]	[13]
171	AH0001	1802.145	1802.927	CONTINUER	네.	[86]	[244]	[17]
172	AH0002	1811.528	1811.683	CONTINUER	네.	[87]	[246]	[8]
