uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.982	노동관료로	[]
1	1	2	AH0001	1.183	1.483	쭉	[]
1	1	3	AH0001	1.724	1.904	모든	[]
1	1	4	AH0001	1.924	2.105	나라에	[]
1	1	5	AH0001	2.225	2.666	중요한	[]
1	1	6	AH0001	2.686	2.987	자리는	[]
1	1	7	AH0001	3.067	3.187	다	[]
1	1	8	AH0001	3.268	3.909	거치셨는데	[]
1	1	9	AH0001	4.791	5.032	고때	[]
1	1	10	AH0001	5.172	5.573	차관도	[]
1	1	11	AH0001	5.633	6.054	지내시고	[]
1	1	12	AH0001	6.074	6.094	짐	[]
1	1	13	AH0001	6.435	6.675	이제	[]
1	1	14	AH0001	6.756	7.237	장관급인	[]
1	1	15	AH0001	7.277	7.758	위원장을	[]
1	1	16	AH0001	7.818	7.978	하고	[]
1	1	17	AH0001	8.038	8.7	계십니다.	[]
1	2	1	AH0001	8.7	9.002	이제	[]
1	2	2	AH0001	9.042	9.123	이	[]
1	2	3	AH0001	9.183	9.526	년쯤	[]
1	2	4	AH0001	9.566	10.11	되셨습니다	[]
1	2	5	AH0001	10.13	10.17	그렇	[]
2	3	1	AH0002	10.229	10.737	그렇습니다.	[]
3	4	1	AH0001	10.738	10.999	네	[]
3	4	2	AH0001	11.099	11.682	돌아오시니까	[]
3	4	3	AH0001	11.762	12.043	소회가	[]
3	4	4	AH0001	12.063	12.806	어떠십니까.	[]
4	5	1	AH0002	12.806	13.747	어	[]
4	5	2	AH0002	14.228	14.528	제가	[]
4	5	3	AH0002	15.189	15.389	맨	[]
4	5	4	AH0002	15.509	15.689	처음	[]
4	5	5	AH0002	16.67	17.091	그	[]
4	5	6	AH0002	17.932	18.372	노동부에	[]
4	5	7	AH0002	18.453	18.873	들어와서	[]
4	5	8	AH0002	18.933	19.334	맡은	[]
4	5	9	AH0002	19.614	19.934	일이	[]
4	5	10	AH0002	20.575	21.937	강원도지방노동위원회	[]
4	5	11	AH0002	22.057	23.158	사무국장이었습니다.	[1]
4	6	1	AH0002	23.996	24.236	그래서	[]
4	6	2	AH0002	24.437	24.537	그	[]
4	6	3	AH0002	24.617	24.958	이후	[]
4	6	4	AH0002	25.458	26.14	노동위원회에	[]
4	6	5	AH0002	26.3	26.44	네	[]
4	6	6	AH0002	26.58	26.961	번째로	[]
4	6	7	AH0002	27.041	27.281	제가	[]
4	6	8	AH0002	27.301	27.322	예	[]
4	6	9	AH0002	27.722	28.063	근무를	[]
4	6	10	AH0002	28.103	28.263	지금	[]
4	6	11	AH0002	28.323	28.503	하게	[]
4	6	12	AH0002	28.544	28.844	돼서	[]
4	6	13	AH0002	28.864	28.884	어	[]
4	6	14	AH0002	29.485	30.266	노동위원회와는	[]
4	6	15	AH0002	30.347	30.747	남다른	[]
4	6	16	AH0002	30.787	31.068	인연이	[]
4	6	17	AH0002	31.108	31.348	있다고	[]
4	6	18	AH0002	31.408	31.569	저는	[]
4	6	19	AH0002	31.629	31.889	생각을	[]
4	6	20	AH0002	31.929	32.41	합니다.	[]
5	7	1	AH0001	32.413	33.174	취임과	[]
5	7	2	AH0001	33.274	33.674	동시에	[]
5	7	3	AH0001	33.694	33.734	이제	[]
5	7	4	AH0001	33.754	34.015	하신	[]
5	7	5	AH0001	34.095	34.655	말씀이	[]
5	7	6	AH0001	35.116	35.536	공정한	[]
5	7	7	AH0001	35.636	36.017	심판	[]
5	7	8	AH0001	36.457	36.697	또	[]
5	7	9	AH0001	36.937	37.178	조정	[]
5	7	10	AH0001	37.498	37.638	이런	[]
5	7	11	AH0001	37.698	38.179	말씀을	[]
5	7	12	AH0001	38.379	39.52	하셨습니다.	[]
5	8	1	AH0001	39.52	40.342	남다른	[]
5	8	2	AH0001	40.402	40.702	어떤	[]
5	8	3	AH0001	40.883	41.043	그	[]
5	8	4	AH0001	41.203	42.225	이	[]
5	8	5	AH0001	42.305	42.606	담겨	[]
5	8	6	AH0001	42.646	42.906	있는	[]
5	8	7	AH0001	43.307	43.427	그	[]
5	8	8	AH0001	43.568	43.908	공직의	[]
5	8	9	AH0001	43.988	44.369	철학이	[]
5	8	10	AH0001	44.409	44.65	어떤	[]
5	8	11	AH0001	44.71	45.311	것인지요.	[]
6	9	1	AH0002	45.311	45.772	예	[]
