uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.805	1.106	로고송	[]
1	1	2	AH0001	1.186	1.306	듣고	[]
1	1	3	AH0001	1.366	1.547	와서	[]
1	1	4	AH0001	1.788	1.988	서울	[]
1	1	5	AH0001	2.128	2.249	시립	[]
1	1	6	AH0001	2.469	2.971	과학관의	[]
1	1	7	AH0001	3.191	3.532	@이름1	[]
1	1	8	AH0001	3.592	3.973	관장님	[]
1	1	9	AH0001	4.214	5.096	모셔볼게요.	[]
1	2	1	AH0001	5.849	6.251	귀만	[]
1	2	2	AH0001	6.291	6.853	열어두시면	[]
1	2	3	AH0001	6.853	7.677	쏙쏙	[]
1	2	4	AH0001	7.677	8.079	넣어드리는	[]
1	2	5	AH0001	8.38	9.083	교양배달	[]
1	2	6	AH0001	9.244	9.605	프로젝트	[]
2	3	1	AH0002	10.027	10.674	@이름1의	[]
2	3	2	AH0002	10.836	11.099	교양	[]
2	3	3	AH0002	11.119	11.382	있는	[]
2	3	4	AH0002	11.543	11.746	오후	[]
3	4	1	AH0001	12.069	12.81	서울	[]
3	4	2	AH0001	12.91	13.03	시립	[]
3	4	3	AH0001	13.13	13.491	과학관의	[]
3	4	4	AH0001	13.671	13.932	털보	[]
3	4	5	AH0001	14.012	14.532	관장님.	[]
3	4	6	AH0001	14.813	15.253	@이름1	[]
3	4	7	AH0001	15.313	15.714	관장님과	[]
3	4	8	AH0001	15.774	16.094	함께하는	[]
3	4	9	AH0001	16.215	16.275	두	[]
3	4	10	AH0001	16.315	16.555	번째	[]
3	4	11	AH0001	16.615	17.256	시간입니다.	[]
3	5	1	AH0001	17.257	17.358	어서	[]
3	5	2	AH0001	17.419	17.642	오세요.	[]
3	5	3	AH0001	17.682	18.128	안녕하세요.	[]
4	6	1	AH0002	18.128	18.548	안녕하세요.	[]
4	6	2	AH0002	18.669	19.209	대한민국	[]
4	6	3	AH0002	19.309	19.73	백삼십	[]
4	6	4	AH0002	19.83	19.93	개	[]
4	6	5	AH0002	20.03	20.39	과학관	[]
4	6	6	AH0002	20.45	20.811	가운데	[1]
4	6	7	AH0002	21.051	21.492	유일하게	[]
4	6	8	AH0002	21.892	22.433	청소년을	[]
4	6	9	AH0002	22.513	22.833	대상으로	[]
4	6	10	AH0002	22.853	22.993	하고	[]
4	6	11	AH0002	23.013	23.153	있는	[]
4	6	12	AH0002	23.213	23.794	과학관입니다.	[]
4	7	1	AH0002	23.794	24.176	서울	[2]
4	7	2	AH0002	24.377	24.537	시립	[]
4	7	3	AH0002	24.618	24.979	과학관의	[]
4	7	4	AH0002	25.06	25.321	@이름1	[]
4	7	5	AH0002	25.361	25.562	입니다.	[]
5	8	1	AH0001	25.563	26.286	멋있습니다.	[]
5	8	2	AH0001	27.01	27.15	자.	[]
5	8	3	AH0001	27.17	27.19	오	[]
5	8	4	AH0001	27.251	27.411	월의	[]
5	8	5	AH0001	27.472	27.833	마지막	[]
5	8	6	AH0001	27.914	28.316	달입니다	[]
5	8	7	AH0001	28.396	29.079	날입니다.	[]
5	9	1	AH0001	29.461	29.521	오	[]
5	9	2	AH0001	29.622	29.702	월	[]
5	9	3	AH0001	29.823	30.064	특히	[]
5	9	4	AH0001	30.184	30.345	또	[]
5	9	5	AH0001	30.606	30.686	왠지	[]
5	9	6	AH0001	30.767	31.028	가정의	[]
5	9	7	AH0001	31.068	31.249	달이다	[]
5	9	8	AH0001	31.309	31.61	보니까	[]
5	9	9	AH0001	31.771	32.213	과학관도	[]
5	9	10	AH0001	32.293	32.855	북적북적	[]
5	9	11	AH0001	32.875	33.056	했을	[]
5	9	12	AH0001	33.096	33.157	것	[]
5	9	13	AH0001	33.177	33.599	같은데요.	[]
5	9	14	AH0001	33.759	34.181	어떠세요?	[]
6	10	1	AH0002	34.18	34.662	그렇습니다.	[]
6	10	2	AH0002	35.183	35.324	오	[]
6	10	3	AH0002	35.344	35.364	월	[]
6	10	4	AH0002	35.484	35.565	오	[]
6	10	5	AH0002	35.625	36.006	일부터	[]
6	10	6	AH0002	36.066	36.688	시작해서요.	[3]
