uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	1.383	한국전쟁의	[]
1	1	2	AH0001	1.404	1.424	이	[]
1	1	3	AH0001	2.165	2.506	가장	[]
1	1	4	AH0001	3.148	3.99	정점에서	[]
1	1	5	AH0001	4.551	5.313	청춘으로	[]
1	1	6	AH0001	5.534	5.794	조국을	[]
1	1	7	AH0001	5.875	6.356	지켰던	[]
1	1	8	AH0001	6.857	7.398	학도의용군	[]
1	1	9	AH0001	7.479	8.06	이야기를	[]
1	1	10	AH0001	8.08	8.762	해보도록	[]
1	1	11	AH0001	8.862	9.624	하겠습니다.	[]
1	2	1	AH0001	9.624	9.805	조	[]
1	2	2	AH0001	9.825	10.489	회장님을	[]
1	2	3	AH0001	10.891	11.112	여러분	[]
1	2	4	AH0001	11.172	11.534	함께	[]
1	2	5	AH0001	11.615	11.695	맞아	[]
1	2	6	AH0001	11.796	12.017	주시기	[]
1	2	7	AH0001	12.037	12.781	바랍니다.	[]
1	3	1	AH0001	12.781	13.704	어서오십시오.	[]
2	4	1	AH0002	13.704	13.724	네	[]
3	5	1	AH0001	14.551	15.311	건강하시죠?	[]
4	6	1	AH0002	15.311	15.372	네	[]
4	6	2	AH0002	15.452	16.261	건강합니다.	[]
5	7	1	AH0001	16.305	17.026	그러시면	[]
5	7	2	AH0001	17.707	18.268	그러니까	[]
5	7	3	AH0001	18.509	19.25	한국전쟁	[]
5	7	4	AH0001	19.471	20.012	천구백오십	[]
5	7	5	AH0001	20.132	20.272	년에	[]
5	7	6	AH0001	20.332	20.613	발발을	[]
5	7	7	AH0001	20.633	21.334	했습니다마는	[1]
5	7	8	AH0001	21.434	21.915	회장님은	[]
5	7	9	AH0001	22.316	22.436	몇	[]
5	7	10	AH0001	22.596	23.357	년도에	[]
5	7	11	AH0001	23.558	24.019	참전하신	[]
5	7	12	AH0001	24.079	24.259	겁니까	[]
5	7	13	AH0001	24.439	24.54	그럼?	[]
6	8	1	AH0002	25.08	26.192	천구백오십	[]
6	8	2	AH0002	26.273	26.718	년입니다.	[]
7	9	1	AH0001	26.718	26.902	바로	[]
7	9	2	AH0001	26.984	27.086	그해	[]
8	10	1	AH0002	27.311	27.534	그럼	[]
9	11	1	AH0001	27.878	28.219	아	[]
9	11	2	AH0001	28.239	28.26	몇	[]
9	11	3	AH0001	28.521	28.601	월	[]
9	11	4	AH0001	28.701	28.902	달에	[]
9	11	5	AH0001	28.962	29.243	그러면	[]
9	11	6	AH0001	29.304	29.605	전쟁에	[]
9	11	7	AH0001	29.645	29.926	가셨습	[]
10	12	1	AH0002	30.368	31.357	저는	[]
10	12	2	AH0002	31.377	31.397	에	[]
10	12	3	AH0002	31.559	31.64	시	[]
10	12	4	AH0002	31.68	32.326	월달부터	[]
10	12	5	AH0002	32.386	32.891	갔습니다.	[]
11	13	1	AH0001	32.891	33.152	그럼	[]
11	13	2	AH0001	33.192	33.212	뭐	[]
11	13	3	AH0001	33.312	33.593	불과	[]
11	13	4	AH0001	33.613	33.633	한	[]
11	13	5	AH0001	33.754	34.295	삼사	[]
11	13	6	AH0001	34.315	34.717	개월만에	[]
