uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	1.422	그걸	[]
1	1	2	DG0001	1.503	1.603	잠깐	[]
1	1	3	DG0001	1.663	1.944	상기를	[]
1	1	4	DG0001	2.004	2.585	시켜드리면	[]
1	1	5	DG0001	3.066	3.247	에이	[]
1	1	6	DG0001	3.307	3.708	형이라고	[]
1	1	7	DG0001	3.748	3.909	하는	[]
1	1	8	DG0001	3.989	4.109	건	[]
1	1	9	DG0001	4.47	4.991	혈액형	[]
1	1	10	DG0001	5.292	5.472	아니고요.	[]
2	2	1	DG0002	6.019	6.199	우리가	[]
2	2	2	DG0002	6.259	6.479	알고	[]
2	2	3	DG0002	6.519	6.7	있는	[]
2	2	4	DG0002	6.8	7.0	아주	[]
2	2	5	DG0002	7.04	7.4	화끈한	[]
2	2	6	DG0002	7.48	8.081	성격	[1]
2	2	7	DG0002	8.101	8.161	그리고	[]
2	2	8	DG0002	8.481	8.781	굉장히	[]
2	2	9	DG0002	8.901	9.181	급한	[]
2	2	10	DG0002	9.282	9.582	성격	[2]
2	2	11	DG0002	9.862	10.302	불같은	[]
2	2	12	DG0002	10.402	10.663	성격	[]
2	2	13	DG0002	11.083	11.203	요	[]
2	2	14	DG0002	11.263	11.764	성격들	[]
2	2	15	DG0002	12.024	12.524	여러분	[]
2	2	16	DG0002	12.624	13.205	이런분들은	[]
2	2	17	DG0002	13.445	14.406	심근경색으로	[]
2	2	18	DG0002	14.726	15.246	조기사망할	[]
2	2	19	DG0002	15.306	15.907	가능성이있는	[]
2	3	1	DG0002	16.544	16.864	그러나	[]
2	3	2	DG0002	16.944	17.285	인생	[]
2	3	3	DG0002	17.365	17.565	역시	[]
2	3	4	DG0002	17.625	17.985	화끈하게	[]
2	3	5	DG0002	18.025	18.246	사는	[3]
2	3	6	DG0002	18.386	18.526	이런	[]
2	3	7	DG0002	18.566	18.826	특징이	[]
2	3	8	DG0002	18.846	19.167	있죠	[]
2	3	9	DG0002	19.607	19.787	이런	[]
2	3	10	DG0002	19.847	20.067	특징	[]
2	3	11	DG0002	20.087	20.248	있는	[]
2	3	12	DG0002	20.328	20.528	분이	[]
2	3	13	DG0002	20.668	20.848	에이	[]
2	3	14	DG0002	21.088	21.289	라면	[]
