bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	23.323	23.579	CONTINUER	네.	[5]	[6]	[9]
2	AH0002	26.429	26.904	AFFIRMATIVE	그렇죠.	[5]	[6]	[17]
3	AH0002	32.833	33.003	CONTINUER	네.	[5]	[7]	[15]
4	AH0001	39.784	40.404	CONTINUER	아.	[6]	[9]	[7]
5	AH0001	43.829	44.589	CONTINUER	음.	[6]	[9]	[19]
6	AH0001	47.308	47.648	CONTINUER	네.	[6]	[9]	[29]
7	AH0001	50.563	51.058	CONTINUER	아.	[6]	[11]	[1]
8	AH0002	62.676	62.977	CONTINUER	네.	[7]	[13]	[3]
9	AH0001	70.504	71.794	AFFIRMATIVE	음. 그렇죠.	[8]	[14]	[10]
10	AH0001	73.055	73.439	CONTINUER	네.	[8]	[14]	[16]
11	AH0001	77.119	77.319	CONTINUER	네.	[8]	[15]	[7]
12	AH0001	82.139	82.614	CONTINUER	음.	[8]	[15]	[17]
13	AH0001	98.32	98.835	CONTINUER	아.	[10]	[18]	[5]
14	AH0002	104.742	104.992	CONTINUER	네.	[11]	[19]	[12]
15	AH0001	119.708	120.243	AFFIRMATIVE	그렇지.	[12]	[22]	[11]
16	AH0001	126.707	127.012	CONTINUER	네.	[12]	[23]	[6]
17	AH0001	130.546	132.146	AFFIRMATIVE	그렇지. 네.	[12]	[23]	[14]
18	AH0002	143.603	143.943	CONTINUER	네.	[13]	[25]	[15]
19	AH0002	150.468	150.848	CONTINUER	네.	[13]	[26]	[11]
20	AH0002	159.38	159.55	CONTINUER	네.	[13]	[27]	[9]
21	AH0002	165.545	166.035	CONTINUER	네.	[13]	[27]	[24]
22	AH0001	175.592	175.977	CONTINUER	음.	[14]	[30]	[3]
23	AH0001	179.517	180.277	AFFIRMATIVE	그렇지.	[14]	[30]	[12]
24	AH0001	186.168	186.673	CONTINUER	네.	[16]	[32]	[8]
25	AH0001	191.56	192.08	AFFIRMATIVE	그렇지.	[16]	[33]	[5]
26	AH0001	193.024	193.44	AFFIRMATIVE	맞아요.	[16]	[33]	[8]
27	AH0002	200.83	201.1	CONTINUER	네.	[17]	[34]	[14]
28	AH0001	209.385	210.67	AFFIRMATIVE	아. 그렇죠.	[18]	[36]	[7]
29	AH0002	217.49	217.955	CONTINUER	네.	[19]	[37]	[9]
30	AH0001	224.11	224.365	CONTINUER	네.	[20]	[38]	[8]
31	AH0001	226.944	227.35	CONTINUER	음.	[20]	[38]	[13]
32	AH0001	229.623	229.763	CONTINUER	네.	[20]	[39]	[1]
33	AH0001	233.813	234.063	CONTINUER	네.	[20]	[39]	[6]
34	AH0001	241.339	241.919	AFFIRMATIVE	그렇죠.	[20]	[40]	[4]
35	AH0001	248.597	248.902	CONTINUER	음.	[20]	[41]	[1]
36	AH0002	253.712	254.022	CONTINUER	네.	[21]	[42]	[6]
37	AH0002	257.618	258.328	AFFIRMATIVE	그렇죠.	[21]	[42]	[16]
38	AH0001	264.968	265.293	CONTINUER	네.	[22]	[44]	[11]
39	AH0001	269.28	270.42	CONTINUER	음. 음.	[22]	[45]	[5]
40	AH0001	273.082	273.712	CONTINUER	음.	[22]	[46]	[4]
41	AH0001	277.394	277.799	CONTINUER	음.	[22]	[46]	[13]
