uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.929	2.371	이분	[]
1	1	2	AH0001	2.471	2.993	손	[]
1	1	3	AH0001	3.013	3.033	꼭	[]
1	1	4	AH0001	3.194	3.716	붙들고	[]
1	1	5	AH0001	3.796	4.679	갈랍니더.	[]
1	1	6	AH0001	4.86	5.422	친절한	[]
1	1	7	AH0001	5.522	5.984	안내자	[]
1	1	8	AH0001	6.165	6.647	박사님	[]
1	1	9	AH0001	6.787	7.008	어서	[]
1	1	10	AH0001	7.048	7.53	오세요.	[]
2	2	1	AH0002	7.554	7.756	네	[]
2	2	2	AH0002	7.796	8.864	안녕하세요.	[]
3	3	1	AH0001	8.864	9.005	아	[]
3	3	2	AH0001	9.105	9.346	요즘에	[]
3	3	3	AH0001	9.407	9.588	정말	[]
3	3	4	AH0001	9.648	9.989	여행을	[]
3	3	5	AH0001	10.01	10.03	못	[]
3	3	6	AH0001	10.432	10.613	가서	[1]
3	4	1	AH0001	11.229	11.489	많은	[]
3	4	2	AH0001	11.549	11.849	분들이	[]
3	4	3	AH0001	12.33	12.59	아	[]
3	4	4	AH0001	12.79	12.91	여행	[]
3	4	5	AH0001	13.03	13.25	떠나고	[]
3	4	6	AH0001	13.33	13.53	싶다.	[]
3	4	7	AH0001	14.051	14.471	코로노만	[]
3	4	8	AH0001	14.571	15.031	끝나봐라.	[]
3	4	9	AH0001	15.091	15.171	나	[]
3	4	10	AH0001	15.231	15.452	여행	[]
3	4	11	AH0001	15.492	15.572	갈	[]
3	4	12	AH0001	15.692	15.872	거야.	[]
3	4	13	AH0001	16.372	16.612	벼를	[]
3	4	14	AH0001	16.772	17.093	동안	[]
3	4	15	AH0001	17.673	18.574	경제로	[]
3	4	16	AH0001	18.734	18.834	또	[]
3	4	17	AH0001	18.934	19.134	세계	[]
3	4	18	AH0001	19.194	19.434	여행을	[]
3	4	19	AH0001	19.514	19.734	떠나는	[]
3	4	20	AH0001	19.834	20.895	시간이잖아요.	[2]
3	5	1	AH0001	21.172	21.635	오늘은	[]
3	5	2	AH0001	21.816	22.199	어디로	[]
3	5	3	AH0001	22.259	22.541	여행을	[]
3	5	4	AH0001	22.621	23.326	떠나볼까요?	[]
4	6	1	AH0002	23.326	23.406	일단	[]
4	6	2	AH0002	23.627	23.908	오늘은	[]
4	6	3	AH0002	24.369	24.489	돈	[]
4	6	4	AH0002	24.569	24.75	내고	[]
4	6	5	AH0002	24.77	25.031	다니는	[]
