uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.942	기술의	[]
1	1	2	DG0001	1.002	1.142	융합	[]
1	1	3	DG0001	1.242	1.482	시대를	[]
1	1	4	DG0001	1.543	1.903	맞아	[]
1	1	5	DG0001	2.083	2.644	제이의	[]
1	1	6	DG0001	2.885	3.245	벤처	[]
1	1	7	DG0001	3.326	3.486	붐이	[]
1	1	8	DG0001	3.506	3.626	일고	[]
1	1	9	DG0001	3.646	4.227	있습니다.	[]
1	2	1	DG0001	4.227	4.913	그래서	[]
1	2	2	DG0001	4.973	5.276	정부도	[]
1	2	3	DG0001	5.356	5.558	새로운	[]
1	2	4	DG0001	5.639	6.143	정책들을	[]
1	2	5	DG0001	6.224	6.486	내놓고	[]
1	2	6	DG0001	6.506	7.111	있는데요.	[]
1	3	1	DG0001	7.111	8.192	젊은이들의	[]
1	3	2	DG0001	8.272	8.812	특권이라고도	[]
1	3	3	DG0001	8.853	8.913	할	[]
1	3	4	DG0001	8.973	9.033	수	[]
1	3	5	DG0001	9.053	9.173	있을	[]
1	3	6	DG0001	9.193	9.213	것	[]
1	3	7	DG0001	9.293	9.773	같습니다	[]
1	3	8	DG0001	10.094	10.974	도전정신과	[]
1	3	9	DG0001	11.515	12.155	창의적인	[]
1	3	10	DG0001	12.275	12.656	아이디어로	[]
1	3	11	DG0001	12.736	13.076	대변되는	[]
1	3	12	DG0001	13.156	13.637	벤처정신	[]
1	4	1	DG0001	14.017	14.638	과연	[]
1	4	2	DG0001	14.658	14.678	이	[]
1	4	3	DG0001	14.718	15.198	정신이	[]
1	4	4	DG0001	15.619	15.699	우리	[]
1	4	5	DG0001	15.739	16.099	시대가	[]
1	4	6	DG0001	16.24	16.36	안고	[]
1	4	7	DG0001	16.42	16.6	있는	[]
1	4	8	DG0001	16.68	17.341	경제문제에	[]
1	4	9	DG0001	17.521	17.681	새로운	[]
1	4	10	DG0001	17.781	17.962	대안이	[]
1	4	11	DG0001	18.062	18.082	될	[]
1	4	12	DG0001	18.202	18.242	수	[]
1	4	13	DG0001	18.262	18.682	있을지	[]
1	4	14	DG0001	19.223	19.543	이비에스	[]
1	4	15	DG0001	19.603	19.703	교육	[]
1	4	16	DG0001	19.764	20.004	초대석	[]
1	4	17	DG0001	20.444	20.705	오늘은	[]
1	4	18	DG0001	20.825	21.285	벤처문제	[]
1	4	19	DG0001	21.305	21.826	전문가이신	[]
