bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	8.385	8.699	CONTINUER	예.	[2]	[3]	[10]
2	AH0001	12.253	12.512	CONTINUER	네.	[2]	[4]	[8]
3	AH0001	16.847	17.067	CONTINUER	예.	[2]	[5]	[15]
4	AH0002	21.501	21.916	CONTINUER	예.	[3]	[7]	[2]
5	AH0002	30.776	31.121	CONTINUER	음음.	[3]	[7]	[17]
6	AH0002	35.39	35.79	CONTINUER	어어.	[3]	[7]	[28]
7	AH0002	46.973	47.438	CONTINUER	으음.	[3]	[8]	[21]
8	AH0002	73.579	74.004	CONTINUER	으흠.	[7]	[14]	[15]
9	AH0002	80.819	81.224	CONTINUER	네.	[]	[]	[]
10	AH0002	85.709	86.034	CONTINUER	으음.	[9]	[17]	[1]
11	AH0002	99.425	99.91	CONTINUER	예.	[9]	[17]	[28]
12	AH0002	104.403	104.638	CONTINUER	어.	[11]	[21]	[1]
13	AH0002	111.893	112.288	CONTINUER	음.	[11]	[21]	[16]
14	AH0001	124.678	124.968	CONTINUER	예.	[12]	[22]	[14]
15	AH0001	127.189	127.394	CONTINUER	네.	[12]	[23]	[3]
16	AH0001	130.988	131.203	CONTINUER	네.	[12]	[24]	[6]
17	AH0001	132.897	133.382	AFFIRMATIVE	맞습니다.	[12]	[25]	[3]
18	AH0001	135.357	135.617	CONTINUER	네.	[12]	[26]	[7]
