uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.524	0.544	일	[]
1	1	2	AH0001	0.704	0.825	번	[]
1	1	3	AH0001	0.925	1.326	갱스터	[]
1	1	4	AH0001	1.346	1.366	이	[]
1	1	5	AH0001	1.567	1.647	번	[]
1	1	6	AH0001	1.847	2.108	힙스터	[]
1	1	7	AH0001	2.168	2.248	삼	[]
1	1	8	AH0001	2.328	2.429	번	[]
1	1	9	AH0001	2.509	2.97	랍스터	[]
1	1	10	AH0001	3.351	3.692	이렇게	[]
1	1	11	AH0001	3.992	4.313	문제를	[]
1	1	12	AH0001	4.393	5.075	드렸는데요.	[]
1	2	1	AH0001	5.469	5.529	요	[]
1	2	2	AH0001	5.61	6.073	책에서는	[]
1	2	3	AH0001	6.133	6.516	어떤	[]
1	2	4	AH0001	7.18	7.362	얘기를	[]
1	2	5	AH0001	7.442	7.503	좀	[]
1	2	6	AH0001	7.543	7.563	해	[]
1	2	7	AH0001	7.643	8.469	주실까요?	[]
2	3	1	AH0002	8.932	9.132	인문학	[]
2	3	2	AH0002	9.373	9.673	라이프	[]
2	3	3	AH0002	9.713	10.034	스타일을	[]
2	3	4	AH0002	10.094	10.615	제안하다	[]
2	3	5	AH0002	10.776	11.056	요거를	[]
2	3	6	AH0002	11.136	11.537	소개하기	[]
2	3	7	AH0002	11.677	11.858	바로	[]
2	3	8	AH0002	11.958	12.499	직전에	[]
2	3	9	AH0002	13.04	13.22	제가	[]
2	3	10	AH0002	13.3	13.38	한	[]
2	3	11	AH0002	13.501	13.601	부에	[]
2	3	12	AH0002	13.661	13.921	소개했던	[]
2	3	13	AH0002	14.002	14.242	여름의	[]
2	3	14	AH0002	14.342	14.703	빌라	[1]
2	3	15	AH0002	15.244	15.264	그	[]
3	4	1	AH0001	16.387	16.588	아직	[]
3	4	2	AH0001	16.708	16.929	여운이	[]
3	4	3	AH0001	16.969	17.47	있으시구나.	[]
4	5	1	AH0002	18.555	18.695	그	[]
4	5	2	AH0002	18.816	19.617	소설	[2]
4	5	3	AH0002	20.119	20.52	흑설탕	[]
4	5	4	AH0002	20.6	20.86	캔디의	[]
4	5	5	AH0002	20.941	21.181	마지막	[]
4	5	6	AH0002	21.281	21.522	보물을	[]
4	5	7	AH0002	21.602	21.682	좀	[]
4	5	8	AH0002	21.763	21.983	소개를	[]
4	5	9	AH0002	22.043	22.103	더	[3]
4	5	10	AH0002	22.404	22.524	해드려야	[]
