bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	20.615	20.815	CONTINUER	네.	[3]	[5]	[10]
2	AH0001	37.594	38.289	CONTINUER	네.	[4]	[7]	[14]
3	AH0002	43.611	44.061	CONTINUER	네.	[5]	[9]	[7]
4	AH0002	46.997	48.292	CONTINUER	네네. 네네.	[5]	[10]	[6]
5	AH0002	49.697	49.947	CONTINUER	네.	[5]	[10]	[11]
6	AH0001	70.596	70.846	CONTINUER	네.	[6]	[12]	[14]
7	AH0001	82.658	83.043	CONTINUER	네.	[6]	[14]	[10]
8	AH0001	104.078	104.398	CONTINUER	네.	[6]	[16]	[9]
9	AH0001	121.827	122.152	CONTINUER	네.	[8]	[21]	[1]
10	AH0001	150.718	150.962	CONTINUER	네.	[8]	[24]	[15]
11	AH0001	180.687	181.822	CONTINUER	아. 네.	[10]	[29]	[8]
12	AH0001	183.438	183.733	CONTINUER	네.	[10]	[29]	[13]
13	AH0001	208.346	208.781	CONTINUER	네.	[10]	[32]	[14]
14	AH0001	220.06	220.78	CONTINUER	네.	[10]	[34]	[10]
15	AH0001	246.891	247.3	CONTINUER	음.	[12]	[38]	[19]
16	AH0001	247.977	248.283	CONTINUER	네.	[12]	[39]	[1]
17	AH0001	267.7	267.94	CONTINUER	네.	[12]	[43]	[1]
18	AH0001	303.57	303.86	CONTINUER	네.	[12]	[49]	[1]
19	AH0001	330.215	330.625	CONTINUER	네.	[12]	[53]	[3]
20	AH0001	341.827	342.602	CONTINUER	네.	[12]	[54]	[8]
21	AH0001	363.225	363.434	CONTINUER	네.	[14]	[58]	[17]
22	AH0001	389.299	389.714	CONTINUER	네.	[14]	[63]	[1]
23	AH0001	419.531	419.98	CONTINUER	네.	[14]	[67]	[12]
24	AH0001	427.315	427.505	CONTINUER	음.	[14]	[69]	[3]
25	AH0001	428.335	428.595	CONTINUER	네.	[14]	[69]	[5]
26	AH0001	445.304	445.644	CONTINUER	네.	[14]	[71]	[14]
27	AH0001	456.097	456.202	CONTINUER	네.	[14]	[74]	[1]
