bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	21.631	21.881	CONTINUER	네.	[3]	[5]	[5]
2	DG0001	30.766	31.332	CONTINUER	음.	[4]	[7]	[6]
3	DG0001	34.261	35.027	CONTINUER	음.	[4]	[8]	[8]
4	DG0001	37.917	39.447	CONTINUER	어. 네. 네.	[4]	[9]	[6]
5	DG0001	47.105	47.415	CONTINUER	음.	[6]	[12]	[5]
6	DG0001	50.79	51.295	CONTINUER	어. 네.	[6]	[12]	[13]
7	DG0001	62.715	63.5	CONTINUER	음.	[6]	[13]	[14]
8	DG0002	67.592	67.967	CONTINUER	네.	[7]	[15]	[3]
9	DG0002	75.313	75.543	CONTINUER	네.	[9]	[17]	[4]
10	DG0002	78.078	78.303	CONTINUER	네.	[9]	[17]	[12]
11	DG0001	85.371	85.941	CONTINUER	음.	[10]	[18]	[7]
12	DG0002	92.994	93.259	CONTINUER	네.	[11]	[20]	[4]
