uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.1	주관식으로	[]
1	1	2	AH0001	1.18	1.521	보내주시면	[]
1	1	3	AH0001	1.541	2.741	됩니다.	[]
1	1	4	AH0001	2.821	3.181	정답	[]
1	1	5	AH0001	3.381	3.622	단문	[]
1	1	6	AH0001	3.662	3.862	오십	[]
1	1	7	AH0001	3.902	4.042	원	[]
1	1	8	AH0001	4.182	4.502	장문	[]
1	1	9	AH0001	4.582	4.642	백	[]
1	1	10	AH0001	4.702	4.822	원의	[]
1	1	11	AH0001	4.902	5.002	샵	[]
1	1	12	AH0001	5.162	5.903	@전화번호1	[]
1	1	13	AH0001	6.043	6.443	유료문자	[]
1	1	14	AH0001	6.503	6.943	주시거나	[]
1	1	15	AH0001	7.284	7.664	반디	[]
1	1	16	AH0001	7.764	8.504	@상호명92으로	[]
1	1	17	AH0001	8.964	9.345	무료로	[]
1	1	18	AH0001	9.425	9.945	보내주시면	[]
1	1	19	AH0001	10.025	10.525	되겠습니다.	[]
1	1	20	AH0001	10.605	10.845	추첨을	[]
1	1	21	AH0001	10.925	11.206	통해서	[]
1	1	22	AH0001	11.286	11.486	바로	[]
1	1	23	AH0001	11.526	11.586	이	[]
1	1	24	AH0001	11.726	11.846	책	[]
1	1	25	AH0001	12.266	12.946	@상호명3	[]
1	1	26	AH0001	12.966	13.107	에서	[]
1	1	27	AH0001	13.207	14.027	출간됐네요.	[]
1	2	1	AH0001	14.147	14.548	말이	[]
1	2	2	AH0001	14.688	15.149	무기다	[]
1	2	3	AH0001	15.69	15.73	이	[]
1	2	4	AH0001	15.79	15.87	책	[]
1	2	5	AH0001	15.951	16.271	선물로	[]
1	2	6	AH0001	16.451	17.393	보내드리겠습니다.	[]
1	2	7	AH0001	17.894	18.836	나풀거리듯	[]
1	2	8	AH0001	19.177	19.638	들을까요?	[]
1	2	9	AH0001	19.938	20.059	네.	[]
1	2	10	AH0001	20.139	20.199	또	[]
1	2	11	AH0001	20.259	20.539	추천해	[]
1	2	12	AH0001	20.62	20.98	주시는	[]
1	2	13	AH0001	21.121	21.201	또	[]
1	2	14	AH0001	21.241	21.341	한	[]
1	2	15	AH0001	21.421	21.602	권의	[]
1	2	16	AH0001	21.722	21.902	책을	[]
1	2	17	AH0001	21.922	22.143	한번	[]
1	2	18	AH0001	22.203	22.744	살펴보려고	[]
1	2	19	AH0001	22.784	23.145	합니다.	[]
1	2	20	AH0001	23.525	23.946	우리가	[]
1	2	21	AH0001	24.086	24.487	사랑한	[]
1	2	22	AH0001	24.627	25.629	비린내라는	[]
1	2	23	AH0001	25.81	26.451	책이네요?	[]
2	3	1	AH0002	26.451	26.916	제목이	[]
2	3	2	AH0002	27.017	27.038	참	[]
3	4	1	AH0001	27.624	28.07	무슨	[]
3	4	2	AH0001	28.09	28.395	책이지	[]
3	4	3	AH0001	28.496	28.922	싶어요	[]
3	5	1	AH0001	31.005	31.346	우리가	[]
3	5	2	AH0001	31.427	31.748	사랑한	[]
3	5	3	AH0001	31.868	32.27	비린내	[1]
3	6	1	AH0001	33.255	33.48	뭐죠?	[]
4	7	1	AH0002	34.236	34.796	그	[]
4	7	2	AH0002	34.936	35.017	이	[]
