bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	3.38	3.82	CONTINUER	네.	[1]	[1]	[9]
2	DG0002	6.055	7.185	AFFIRMATIVE	맞아요.	[1]	[1]	[12]
3	DG0001	24.916	25.131	CONTINUER	네.	[2]	[4]	[9]
4	DG0001	27.747	27.987	CONTINUER	응.	[2]	[5]	[5]
5	DG0001	31.986	34.812	POSITIVE_SURPRISE	오. 이야.	[2]	[5]	[16]
6	DG0002	52.501	52.911	ASSESSMENT	우.	[3]	[9]	[2]
7	DG0002	68.733	69.093	ASSESSMENT	어.	[3]	[11]	[4]
8	DG0001	73.199	73.804	ASSESSMENT	이야.	[4]	[12]	[2]
9	DG0001	76.295	76.56	CONTINUER	네.	[4]	[12]	[5]
10	DG0001	80.249	80.789	CONTINUER	응.	[4]	[13]	[5]
11	DG0001	82.473	83.734	ASSESSMENT	야.	[4]	[13]	[10]
12	DG0002	90.77	91.16	CONTINUER	네.	[5]	[14]	[12]
13	DG0002	146.235	146.94	UNDERSTANDING	음.	[9]	[21]	[16]
14	DG0001	156.109	156.254	CONTINUER	응.	[10]	[23]	[2]
15	DG0001	158.938	161.151	AFFIRMATIVE	네. 맞아요. 맞아요.	[10]	[23]	[10]
16	DG0001	163.448	165.033	CONTINUER	네. 네.	[10]	[24]	[9]
17	DG0001	166.255	168.585	AFFIRMATIVE	오. 그럼요. 그럼요. 그럼요.	[10]	[25]	[1]
18	DG0001	169.673	171.544	CONTINUER	네네네. 아.	[10]	[26]	[3]
19	DG0001	173.074	173.594	AFFIRMATIVE	맞아요.	[10]	[26]	[8]
20	DG0002	188.149	188.474	CONTINUER	네.	[11]	[28]	[2]
21	DG0001	197.505	197.64	CONTINUER	응.	[12]	[29]	[7]
22	DG0001	198.949	199.145	CONTINUER	네.	[12]	[29]	[9]
23	DG0001	200.264	200.783	AFFIRMATIVE	아. 맞아요.	[12]	[30]	[2]
24	DG0001	202.169	202.404	CONTINUER	예.	[12]	[31]	[4]
25	DG0001	203.356	204.317	AFFIRMATIVE	예. 맞어.	[12]	[31]	[8]
26	DG0001	206.573	206.768	CONTINUER	어.	[12]	[32]	[5]
27	DG0002	218.231	218.546	CONTINUER	음.	[13]	[33]	[14]
28	DG0002	234.14	234.86	UNDERSTANDING	음.	[13]	[35]	[8]
29	DG0001	240.77	242.589	CONTINUER	아. 에.	[14]	[36]	[4]
30	DG0001	244.841	245.421	CONTINUER	네네네.	[14]	[37]	[6]
31	DG0001	247.947	248.917	UNDERSTANDING	오.	[14]	[38]	[7]
32	DG0001	255.283	255.593	CONTINUER	응.	[16]	[40]	[4]
33	DG0002	263.614	263.974	CONTINUER	아.	[17]	[42]	[5]
34	DG0001	270.502	270.647	CONTINUER	응.	[18]	[43]	[2]
35	DG0001	275.691	275.955	CONTINUER	네.	[18]	[43]	[15]
36	DG0001	280.042	280.842	POSITIVE_SURPRISE	우와.	[18]	[44]	[7]
