bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	8.913	9.138	CONTINUER	네.	[2]	[3]	[2]
2	AH0001	12.523	14.098	CONTINUER	흠. 네.	[2]	[3]	[11]
3	AH0002	19.586	20.096	AFFIRMATIVE	그럼요.	[3]	[5]	[6]
4	AH0002	30.794	31.489	CONTINUER	네.	[3]	[6]	[16]
5	AH0002	35.534	36.29	AFFIRMATIVE	그럼요.	[3]	[7]	[11]
6	AH0002	40.199	40.359	CONTINUER	음.	[3]	[8]	[7]
7	AH0001	47.941	48.326	CONTINUER	예.	[4]	[10]	[1]
8	AH0001	52.211	52.396	CONTINUER	네.	[4]	[10]	[10]
9	AH0001	56.706	56.971	CONTINUER	예.	[4]	[10]	[19]
10	AH0001	63.284	63.634	CONTINUER	으흠.	[4]	[11]	[6]
11	AH0001	74.498	74.703	CONTINUER	네.	[4]	[12]	[20]
12	AH0001	81.649	82.134	UNDERSTANDING	아.	[4]	[13]	[16]
13	AH0001	85.262	85.542	CONTINUER	으흠.	[4]	[14]	[7]
14	AH0001	92.7	93.26	CONTINUER	어.	[6]	[16]	[11]
15	AH0001	98.889	99.359	CONTINUER	어.	[6]	[17]	[8]
16	AH0001	100.219	100.404	CONTINUER	네.	[6]	[17]	[10]
17	AH0001	102.824	103.239	UNDERSTANDING	아.	[6]	[17]	[15]
18	AH0001	108.54	109.035	CONTINUER	음.	[6]	[18]	[12]
19	AH0002	114.192	114.672	CONTINUER	네네.	[7]	[20]	[7]
20	AH0002	120.043	120.553	AFFIRMATIVE	맞아요. 네.	[9]	[22]	[10]
21	AH0001	128.554	129.054	CONTINUER	네. 음.	[10]	[24]	[4]
22	AH0001	130.494	130.784	CONTINUER	음.	[10]	[24]	[9]
23	AH0001	135.202	135.422	CONTINUER	네.	[10]	[25]	[7]
24	AH0001	145.16	146.87	CONTINUER	어. 음. 네.	[10]	[26]	[21]
25	AH0002	148.55	148.735	CONTINUER	네.	[11]	[28]	[6]
26	AH0002	150.921	151.501	AFFIRMATIVE	맞습니다.	[11]	[28]	[10]
27	AH0002	164.602	165.262	CONTINUER	어.	[11]	[31]	[7]
28	AH0002	167.152	167.342	CONTINUER	네.	[11]	[32]	[6]
29	AH0001	180.041	180.546	CONTINUER	네.	[12]	[34]	[4]
30	AH0001	182.456	182.811	UNDERSTANDING	음.	[12]	[34]	[12]
31	AH0001	195.179	195.534	UNDERSTANDING	음.	[12]	[36]	[8]
32	AH0001	197.654	197.999	CONTINUER	네.	[12]	[36]	[15]
33	AH0002	202.705	203.175	AFFIRMATIVE	그럼요.	[13]	[37]	[6]
34	AH0002	221.85	222.595	UNDERSTANDING	음.	[13]	[41]	[6]
35	AH0002	228.656	229.036	CONTINUER	응.	[13]	[42]	[10]
36	AH0001	242.092	243.152	UNDERSTANDING	아. 네.	[14]	[44]	[17]
37	AH0001	253.15	253.36	CONTINUER	예예.	[]	[]	[]
38	AH0001	257.033	257.768	UNDERSTANDING	음.	[16]	[47]	[7]
39	AH0001	266.024	266.664	UNDERSTANDING	아.	[16]	[49]	[1]
40	AH0001	268.164	268.569	CONTINUER	네.	[16]	[49]	[6]
41	AH0001	277.534	277.939	ASSESSMENT	하.	[16]	[50]	[12]
42	AH0001	280.215	280.49	CONTINUER	네.	[16]	[51]	[4]
43	AH0002	288.629	288.874	CONTINUER	네.	[17]	[52]	[20]
44	AH0001	297.248	297.608	CONTINUER	네.	[18]	[55]	[4]
45	AH0002	315.843	316.278	AFFIRMATIVE	맞습니다.	[19]	[57]	[13]
