uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	1.181	대표적으로	[]
1	1	2	DG0001	1.201	1.221	이	[]
1	1	3	DG0001	1.381	1.721	아이들	[]
1	1	4	DG0001	1.801	2.101	학교에	[]
1	1	5	DG0001	2.201	2.482	보내고	[]
1	1	6	DG0001	2.622	3.062	출근하는	[]
1	1	7	DG0001	3.202	3.362	그런	[]
1	1	8	DG0001	3.423	3.923	경우인데요	[]
1	1	9	DG0001	4.363	4.584	아직	[]
1	1	10	DG0001	4.744	5.004	모르는	[]
1	1	11	DG0001	5.084	5.404	분들이	[]
1	1	12	DG0001	5.604	6.065	많아서	[]
1	1	13	DG0001	6.085	6.105	이	[]
1	1	14	DG0001	6.345	6.966	신청률이	[]
1	1	15	DG0001	7.186	7.406	낮은	[]
1	1	16	DG0001	7.526	7.906	편이라고	[]
1	1	17	DG0001	7.986	8.607	하네요.	[]
1	2	1	DG0001	8.607	9.329	경희대학교	[]
1	2	2	DG0001	9.41	9.811	@이름6	[]
1	2	3	DG0001	9.871	10.272	교수와	[]
1	2	4	DG0001	10.453	10.794	자세한	[]
1	2	5	DG0001	10.854	11.175	이야기	[]
1	2	6	DG0001	11.376	11.998	나눠보겠습니다	[]
1	2	7	DG0001	12.399	12.479	김	[]
1	2	8	DG0001	12.52	12.74	교수님	[]
1	2	9	DG0001	12.8	12.961	어서	[]
1	2	10	DG0001	12.981	13.282	오세요.	[]
2	3	1	DG0002	13.283	13.506	네	[]
2	3	2	DG0002	13.546	14.134	안녕하세요?	[]
3	4	1	DG0001	14.133	14.613	네	[]
3	4	2	DG0001	14.633	14.693	자	[]
3	4	3	DG0001	14.774	14.934	올해	[]
3	4	4	DG0001	14.994	15.194	일월	[]
3	4	5	DG0001	15.254	15.314	일	[]
3	4	6	DG0001	15.374	15.894	일부터	[]
3	4	7	DG0001	16.395	17.135	출퇴근길	[]
3	4	8	DG0001	17.276	17.436	산업	[]
3	4	9	DG0001	17.696	17.996	재해	[]
3	4	10	DG0001	18.056	18.357	인정	[]
3	4	11	DG0001	18.437	18.797	범위가	[]
3	4	12	DG0001	18.877	20.158	넓어졌다	[]
3	5	1	DG0001	20.158	20.318	자.	[]
3	5	2	DG0001	20.378	20.699	기존과	[]
3	5	3	DG0001	20.739	21.019	어떻게	[]
3	5	4	DG0001	21.059	21.38	달라진	[]
3	5	5	DG0001	21.44	21.861	건지	[]
3	5	6	DG0001	21.881	21.901	이	[1]
3	5	7	DG0001	22.462	22.882	바뀐	[]
3	5	8	DG0001	23.023	24.705	산업재해보상보험법의	[]
3	5	9	DG0001	25.106	25.387	핵심	[]
3	5	10	DG0001	25.667	26.308	짚어주시죠.	[]
4	6	1	DG0002	26.308	26.468	네.	[]
4	6	2	DG0002	26.629	26.989	매년	[]
4	6	3	DG0002	27.17	27.45	새해	[]
4	6	4	DG0002	27.551	27.711	일월	[]
4	6	5	DG0002	27.771	27.811	일	[]
4	6	6	DG0002	27.871	27.991	일이	[]
4	6	7	DG0002	28.052	28.412	되면은	[]
4	6	8	DG0002	28.533	28.733	올해	[]
4	6	9	DG0002	28.793	29.194	바뀌는	[]
4	6	10	DG0002	29.294	30.136	것들이라고	[2]
4	6	11	DG0002	30.196	30.376	이제	[]
4	6	12	DG0002	30.417	30.617	얘기가	[]
4	6	13	DG0002	30.657	31.118	나오는데요.	[]
4	7	1	DG0002	31.158	31.418	그중에	[]
4	7	2	DG0002	31.479	32.1	하나로써	[]
4	7	3	DG0002	32.22	32.601	사실은	[]
4	7	4	DG0002	33.001	33.061	이	[]
4	7	5	DG0002	33.161	33.602	출퇴근	[]
4	7	6	DG0002	33.742	33.883	시에	[]
4	7	7	DG0002	34.003	34.384	사고를	[]
4	7	8	DG0002	34.404	34.424	응	[]
4	7	9	DG0002	34.764	34.945	당하게	[]
4	7	10	DG0002	35.005	35.165	됐을	[]
4	7	11	DG0002	35.245	35.526	경우에	[]
4	7	12	DG0002	35.946	36.427	산재로	[]
4	7	13	DG0002	36.868	37.209	보호를	[]
4	7	14	DG0002	37.309	37.549	받을	[]
4	7	15	DG0002	37.709	37.79	수	[]
4	7	16	DG0002	37.89	38.05	있는	[]
4	7	17	DG0002	38.11	38.471	내용들이	[]
4	7	18	DG0002	38.491	38.511	좀	[]
4	7	19	DG0002	38.591	38.932	바뀌게	[]
4	7	20	DG0002	38.972	39.793	됩니다.	[3]
4	8	1	DG0002	39.854	39.954	까	[]
4	8	2	DG0002	40.095	40.315	과거	[]
4	8	3	DG0002	40.335	40.616	같은	[]
4	8	4	DG0002	40.676	41.278	경우에는	[]
4	8	5	DG0002	41.498	41.739	우리가	[]
4	8	6	DG0002	41.759	41.919	이제	[]
4	8	7	DG0002	42.3	42.942	통상적인	[]
4	8	8	DG0002	43.042	43.965	출퇴근이라고	[]
4	8	9	DG0002	43.985	44.085	하는	[]
4	8	10	DG0002	44.225	44.566	범주를	[]
4	8	11	DG0002	44.646	44.967	어떻게	[]
4	8	12	DG0002	45.027	45.228	규정	[]
4	8	13	DG0002	45.248	45.529	했냐면	[4]
4	9	1	DG0002	46.09	46.43	통근	[]
4	9	2	DG0002	46.551	46.891	버스를	[]
4	9	3	DG0002	46.971	47.332	타고	[]
4	9	4	DG0002	47.632	47.912	회사로	[]
4	9	5	DG0002	48.033	48.253	가는	[]
4	9	6	DG0002	48.333	48.593	경우에	[]
4	9	7	DG0002	48.673	49.014	한해서	[]
4	9	8	DG0002	49.094	49.515	일어나는	[]
4	9	9	DG0002	49.675	50.155	사고를	[]
4	9	10	DG0002	50.656	51.157	출퇴근의	[]
