bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	21.015	21.14	CONTINUER	네.	[5]	[7]	[7]
2	AH0001	36.603	36.843	CONTINUER	네.	[12]	[14]	[3]
3	AH0002	41.394	42.089	AFFIRMATIVE	네. 맞습니다.	[13]	[15]	[5]
4	AH0002	44.478	45.226	AFFIRMATIVE	그렇습니다.	[13]	[15]	[11]
5	AH0001	59.194	59.529	CONTINUER	예.	[16]	[19]	[5]
6	AH0001	73.291	73.616	CONTINUER	네.	[16]	[21]	[1]
7	AH0001	75.846	76.286	CONTINUER	네.	[16]	[21]	[6]
8	AH0001	81.604	82.474	UNDERSTANDING	네.	[16]	[23]	[1]
9	AH0001	101.263	101.923	CONTINUER	예예.	[16]	[24]	[13]
10	AH0001	126.714	127.099	CONTINUER	네.	[18]	[27]	[13]
11	AH0001	129.194	129.634	CONTINUER	네.	[18]	[28]	[1]
12	AH0002	136.891	137.406	AFFIRMATIVE	아 그럼요.	[19]	[29]	[8]
13	AH0002	138.711	139.406	CONTINUER	네네.	[19]	[29]	[11]
14	AH0002	142.086	142.251	CONTINUER	네.	[19]	[30]	[4]
15	AH0002	144.826	145.061	CONTINUER	네.	[19]	[30]	[10]
16	AH0001	152.746	153.055	CONTINUER	예.	[22]	[34]	[7]
17	AH0002	158.914	159.184	CONTINUER	네.	[23]	[35]	[4]
18	AH0002	162.349	162.634	CONTINUER	네.	[23]	[35]	[11]
19	AH0001	181.848	182.293	CONTINUER	예.	[26]	[38]	[5]
20	AH0001	197.465	197.835	CONTINUER	예.	[26]	[39]	[3]
21	AH0001	199.405	199.75	CONTINUER	네.	[26]	[39]	[7]
22	AH0001	217.757	218.511	CONTINUER	예.	[30]	[43]	[4]
23	AH0001	219.46	219.905	CONTINUER	네.	[30]	[44]	[1]
24	AH0002	242.585	242.98	CONTINUER	예.	[31]	[48]	[6]
25	AH0002	245.085	245.3	CONTINUER	네.	[31]	[48]	[11]
26	AH0001	299.149	299.479	CONTINUER	예.	[40]	[59]	[10]
27	AH0001	377.858	378.473	UNDERSTANDING	아.	[52]	[76]	[1]
28	AH0001	383.138	384.023	UNDERSTANDING	아.	[52]	[76]	[13]
29	AH0002	387.821	388.641	CONTINUER	예예예.	[53]	[77]	[5]
30	AH0002	401.381	401.741	CONTINUER	예.	[57]	[81]	[11]
31	AH0001	411.547	411.872	CONTINUER	네.	[58]	[83]	[8]
32	AH0001	415.506	416.123	CONTINUER	네.	[58]	[83]	[11]
33	AH0001	422.802	423.282	CONTINUER	예.	[58]	[84]	[12]
34	AH0001	427.593	428.193	CONTINUER	네.	[58]	[85]	[1]
35	AH0001	463.468	464.108	CONTINUER	네.	[64]	[94]	[1]
36	AH0001	481.53	482.09	CONTINUER	네.	[64]	[95]	[8]
37	AH0002	491.634	491.884	CONTINUER	네.	[65]	[97]	[5]
38	AH0001	507.013	508.033	UNDERSTANDING	아하	[68]	[102]	[10]
39	AH0001	510.104	510.808	CONTINUER	네.	[68]	[103]	[4]
40	AH0001	518.883	519.617	CONTINUER	네.	[68]	[104]	[12]
41	AH0002	530.414	530.709	CONTINUER	네.	[69]	[107]	[2]
42	AH0002	538.347	538.787	CONTINUER	네네네.	[69]	[107]	[12]
43	AH0002	541.234	541.634	CONTINUER	네네.	[69]	[108]	[9]
44	AH0002	544.269	544.624	CONTINUER	네네.	[69]	[108]	[15]
45	AH0001	552.031	552.441	CONTINUER	예.	[70]	[111]	[1]
46	AH0001	555.564	556.278	CONTINUER	네.	[70]	[111]	[6]
47	AH0001	559.497	559.952	CONTINUER	네.	[70]	[112]	[6]
48	AH0001	566.91	567.24	CONTINUER	네.	[70]	[113]	[7]
49	AH0002	573.927	574.367	AFFIRMATIVE	맞습니다.	[71]	[114]	[8]
50	AH0002	577.042	577.362	CONTINUER	네.	[71]	[115]	[5]
51	AH0002	647.636	647.796	CONTINUER	네.	[91]	[139]	[15]
52	AH0001	669.488	669.898	CONTINUER	예.	[92]	[142]	[1]
53	AH0002	706.236	706.676	CONTINUER	네.	[99]	[149]	[14]
54	AH0002	708.846	709.506	CONTINUER	예예예.	[99]	[149]	[20]
55	AH0001	720.048	720.438	CONTINUER	네.	[100]	[151]	[14]
56	AH0001	727.07	727.38	CONTINUER	네.	[100]	[152]	[4]
57	AH0001	744.083	744.791	CONTINUER	네.	[102]	[154]	[10]
58	AH0001	746.231	746.551	CONTINUER	네.	[102]	[155]	[2]
59	AH0001	760.534	761.179	CONTINUER	네.	[102]	[155]	[16]
60	AH0001	784.388	784.773	CONTINUER	네.	[104]	[158]	[3]
61	AH0001	789.308	789.678	CONTINUER	네.	[104]	[158]	[6]
62	AH0001	797.58	798.02	CONTINUER	네.	[104]	[159]	[5]
63	AH0001	799.795	800.345	UNDERSTANDING	아.	[104]	[159]	[10]
64	AH0001	812.933	813.398	CONTINUER	네.	[108]	[164]	[1]
65	AH0002	815.384	815.744	CONTINUER	예예.	[109]	[165]	[2]
66	AH0001	822.108	822.528	CONTINUER	예.	[110]	[166]	[7]
67	AH0001	837.715	838.08	CONTINUER	네.	[112]	[170]	[7]
68	AH0001	874.927	875.232	CONTINUER	예.	[116]	[176]	[4]
69	AH0001	876.593	877.273	CONTINUER	네.	[116]	[176]	[6]
70	AH0002	926.72	926.94	CONTINUER	네.	[125]	[186]	[8]
71	AH0001	947.325	947.645	CONTINUER	네.	[128]	[190]	[12]
72	AH0001	974.668	975.278	CONTINUER	예예.	[134]	[198]	[3]
73	AH0002	997.393	997.768	AFFIRMATIVE	그럼요.	[139]	[204]	[7]
74	AH0001	1003.225	1003.845	UNDERSTANDING	아.	[140]	[205]	[6]
75	AH0002	1018.736	1018.981	CONTINUER	네.	[143]	[208]	[10]
76	AH0002	1021.601	1021.846	CONTINUER	예.	[143]	[208]	[17]
77	AH0001	1029.066	1029.416	CONTINUER	네.	[144]	[209]	[5]
78	AH0001	1036.186	1036.601	CONTINUER	예.	[144]	[209]	[13]
79	AH0001	1040.949	1041.38	CONTINUER	네.	[144]	[209]	[20]
80	AH0002	1060.427	1060.907	AFFIRMATIVE	그렇죠.	[147]	[213]	[5]
81	AH0001	1060.998	1061.572	CONTINUER	네.	[]	[]	[]
82	AH0002	1081.03	1081.26	CONTINUER	네.	[151]	[217]	[8]
83	AH0002	1084.04	1084.345	CONTINUER	예.	[151]	[217]	[14]
84	AH0002	1087.114	1087.364	CONTINUER	예.	[151]	[217]	[18]
85	AH0002	1096.494	1096.899	CONTINUER	네네.	[153]	[220]	[9]
86	AH0001	1105.823	1107.238	CONTINUER	음.	[156]	[224]	[4]
87	AH0001	1124.772	1125.117	CONTINUER	네.	[156]	[226]	[11]
88	AH0001	1170.873	1171.688	UNDERSTANDING	아.	[172]	[244]	[4]
89	AH0001	1175.236	1175.646	CONTINUER	네.	[172]	[246]	[4]
90	AH0001	1188.58	1188.825	CONTINUER	네.	[174]	[248]	[6]
91	AH0001	1205.397	1205.757	CONTINUER	네.	[176]	[250]	[18]
92	AH0002	1214.627	1214.897	CONTINUER	네.	[177]	[252]	[4]
93	AH0002	1248.661	1248.976	CONTINUER	예예.	[181]	[260]	[2]
94	AH0002	1252.831	1253.041	CONTINUER	네.	[181]	[261]	[8]
95	AH0002	1254.88	1255.13	CONTINUER	네.	[181]	[262]	[1]
96	AH0001	1272.857	1273.847	UNDERSTANDING	네.	[182]	[265]	[12]
