uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.52	자	[]
1	1	2	AH0001	0.661	1.305	강수량	[]
1	1	3	AH0001	1.446	2.109	감소에	[]
1	1	4	AH0001	2.23	3.417	이상기온입니다.	[]
1	2	1	AH0001	3.417	4.181	기온상승	[]
1	2	2	AH0001	4.282	4.643	속도	[]
1	2	3	AH0001	5.106	5.407	늦추지	[]
1	2	4	AH0001	5.448	5.809	않으면	[]
1	2	5	AH0001	6.614	6.795	여기서	[]
1	2	6	AH0001	6.855	7.237	끝나질	[]
1	2	7	AH0001	7.297	7.639	않아요.	[]
2	3	1	AH0002	7.638	7.899	아	[]
2	3	2	AH0002	8.059	8.38	그래서	[]
2	3	3	AH0002	8.4	8.52	인제	[]
2	3	4	AH0002	8.58	9.682	세계기상기구에	[]
2	3	5	AH0002	9.763	10.043	따르면	[]
2	3	6	AH0002	10.224	10.985	기온상승으로	[]
2	3	7	AH0002	11.025	11.286	인해서	[]
2	3	8	AH0002	11.366	11.526	여러	[]
2	3	9	AH0002	11.566	11.727	가지	[]
2	3	10	AH0002	11.787	12.548	문제들이	[]
2	3	11	AH0002	12.569	12.589	이	[]
2	3	12	AH0002	12.729	13.35	나온다라고	[]
2	3	13	AH0002	13.39	13.711	인제	[1]
2	3	14	AH0002	13.791	14.012	경고를	[]
2	3	15	AH0002	14.072	14.212	하고	[]
2	3	16	AH0002	14.252	14.673	있는데요.	[]
2	4	1	AH0002	15.458	15.538	이	[]
2	4	2	AH0002	15.679	15.92	지구가	[]
2	4	3	AH0002	16.001	16.624	따뜻해지면	[]
2	4	4	AH0002	16.724	17.146	결국	[]
2	4	5	AH0002	17.166	17.186	또	[]
2	4	6	AH0002	17.347	17.629	어떤	[]
2	4	7	AH0002	17.689	17.729	게	[]
2	4	8	AH0002	17.81	18.051	문제가	[]
2	4	9	AH0002	18.111	18.513	될까요?	[]
2	5	1	AH0002	18.513	18.634	이제	[]
2	5	2	AH0002	19.035	19.457	남극과	[]
2	5	3	AH0002	19.578	19.9	북극에	[]
2	5	4	AH0002	19.94	20.121	있는	[]
2	5	5	AH0002	20.261	20.884	얼음들이	[]
2	5	6	AH0002	20.904	21.085	그러면	[]
2	5	7	AH0002	21.105	21.206	인제	[]
2	5	8	AH0002	21.266	21.688	해수면이	[]
2	5	9	AH0002	21.748	22.19	상승이	[2]
2	5	10	AH0002	22.271	22.331	되겠죠?	[]
2	6	1	AH0002	23.017	23.177	그래서	[]
2	6	2	AH0002	23.237	23.658	이천백	[]
2	6	3	AH0002	23.738	24.119	년까지	[]
2	6	4	AH0002	24.179	24.68	해수면의	[]
2	6	5	AH0002	24.781	25.141	수위가	[]
2	6	6	AH0002	25.262	25.923	이십육에서	[]
