bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	3.78	4.195	CONTINUER	네.	[1]	[1]	[8]
2	AH0002	7.724	8.444	CONTINUER	네.	[1]	[2]	[11]
3	AH0002	10.114	10.744	CONTINUER	네.	[1]	[2]	[13]
4	AH0001	15.795	16.04	CONTINUER	네.	[2]	[3]	[4]
5	AH0001	21.338	21.968	CONTINUER	어.	[2]	[4]	[12]
6	AH0001	26.05	26.335	CONTINUER	네.	[2]	[5]	[7]
7	AH0001	29.965	30.53	AFFIRMATIVE	그렇죠.	[2]	[5]	[12]
8	AH0001	33.043	33.213	CONTINUER	아.	[2]	[6]	[6]
9	AH0001	38.529	38.794	CONTINUER	네.	[2]	[7]	[12]
10	AH0001	39.789	40.014	CONTINUER	어.	[2]	[7]	[14]
11	AH0002	53.672	54.092	CONTINUER	네.	[5]	[10]	[10]
12	AH0001	64.362	64.727	CONTINUER	네.	[6]	[12]	[9]
13	AH0001	66.847	67.137	CONTINUER	네.	[6]	[12]	[13]
14	AH0001	75.855	76.099	CONTINUER	네.	[8]	[15]	[6]
15	AH0001	80.083	80.473	ASSESSMENT	야.	[]	[]	[]
16	AH0001	83.221	83.496	CONTINUER	네.	[10]	[17]	[7]
17	AH0001	88.201	89.261	CONTINUER	어.	[12]	[19]	[4]
