bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0001	25.478	25.648	CONTINUER	으흠.	[4]	[6]	[8]
2	SL0001	31.459	31.879	CONTINUER	네.	[4]	[7]	[12]
3	SL0001	36.786	37.391	CONTINUER	오.	[4]	[8]	[6]
4	SL0001	45.988	46.288	CONTINUER	음.	[6]	[10]	[11]
5	SL0001	51.958	52.388	CONTINUER	네.	[6]	[10]	[17]
6	SL0001	60.016	60.301	CONTINUER	아.	[6]	[11]	[13]
7	SL0001	61.069	61.583	CONTINUER	네. 네.	[6]	[11]	[15]
8	SL0001	63.839	64.414	CONTINUER	어.	[6]	[12]	[6]
9	SL0002	67.466	67.741	CONTINUER	네.	[7]	[14]	[2]
10	SL0001	82.196	82.406	CONTINUER	네.	[10]	[18]	[2]
11	SL0001	90.126	90.876	CONTINUER	네. 네.	[10]	[18]	[20]
12	SL0001	94.611	95.101	CONTINUER	음.	[10]	[19]	[7]
13	SL0001	99.934	100.299	CONTINUER	네.	[10]	[20]	[7]
14	SL0001	107.181	107.581	CONTINUER	네.	[10]	[21]	[15]
15	SL0001	109.436	109.711	CONTINUER	어.	[10]	[21]	[23]
16	SL0001	115.073	115.908	CONTINUER	네. 네. 네.	[10]	[22]	[13]
17	SL0001	124.63	125.985	CONTINUER	음. 네.	[10]	[23]	[19]
18	SL0001	134.502	134.977	CONTINUER	음.	[10]	[24]	[14]
19	SL0001	135.057	135.717	CONTINUER	네. 네.	[10]	[25]	[1]
20	SL0001	139.752	140.187	CONTINUER	네.	[10]	[25]	[10]
21	SL0001	142.617	143.022	CONTINUER	어.	[10]	[25]	[15]
22	SL0001	153.333	154.818	CONTINUER	음. 네네.	[10]	[26]	[20]
23	SL0001	160.747	161.002	CONTINUER	음.	[10]	[27]	[6]
24	SL0001	165.776	165.971	CONTINUER	네.	[10]	[28]	[8]
25	SL0002	174.759	174.934	CONTINUER	네.	[11]	[30]	[2]
26	SL0001	180.372	180.657	CONTINUER	네.	[12]	[31]	[1]
27	SL0001	184.906	186.001	AFFIRMATIVE	아. 맞아요. 네.	[12]	[31]	[9]
28	SL0001	190.908	191.323	CONTINUER	음.	[12]	[32]	[1]
29	SL0001	194.858	195.543	AFFIRMATIVE	맞습니다.	[12]	[32]	[9]
30	SL0001	202.222	202.487	CONTINUER	아.	[12]	[33]	[13]
31	SL0001	212.565	212.99	CONTINUER	네.	[14]	[36]	[11]
32	SL0001	214.992	215.377	CONTINUER	아하.	[14]	[37]	[6]
33	SL0001	219.582	220.612	CONTINUER	네. 네. 음.	[14]	[37]	[12]
34	SL0001	223.127	223.627	CONTINUER	음.	[14]	[39]	[1]
35	SL0001	227.282	227.717	CONTINUER	음.	[14]	[39]	[7]
36	SL0001	234.062	234.447	CONTINUER	네.	[14]	[39]	[17]
37	SL0001	237.469	237.659	CONTINUER	어.	[14]	[40]	[5]
38	SL0001	252.754	253.159	CONTINUER	어.	[14]	[42]	[6]
39	SL0001	261.629	262.294	CONTINUER	아.	[14]	[43]	[6]
40	SL0001	263.559	264.249	CONTINUER	예. 예.	[14]	[43]	[9]
41	SL0001	269.054	269.434	CONTINUER	음.	[14]	[43]	[17]
42	SL0001	272.04	272.36	CONTINUER	음.	[14]	[44]	[5]
43	SL0001	279.245	279.825	CONTINUER	네. 네.	[14]	[45]	[14]
44	SL0001	281.87	283.625	CONTINUER	어. 예.	[14]	[45]	[21]
45	SL0001	298.559	298.844	CONTINUER	음.	[16]	[48]	[8]
46	SL0001	304.405	304.81	CONTINUER	네.	[16]	[49]	[7]
47	SL0001	310.616	310.901	CONTINUER	네.	[16]	[50]	[1]
48	SL0001	312.486	312.936	CONTINUER	어.	[16]	[50]	[4]
49	SL0001	317.628	317.973	CONTINUER	음.	[18]	[52]	[5]
50	SL0001	322.213	322.473	CONTINUER	음.	[]	[]	[]
51	SL0001	332.623	333.158	CONTINUER	음.	[22]	[56]	[4]
52	SL0001	337.703	338.263	CONTINUER	아하.	[22]	[56]	[11]
53	SL0002	341.206	341.466	CONTINUER	예.	[23]	[57]	[3]
54	SL0001	343.224	343.544	CONTINUER	네.	[24]	[58]	[2]
55	SL0001	346.144	346.593	CONTINUER	아.	[24]	[58]	[7]
56	SL0001	350.219	350.909	CONTINUER	네. 네.	[24]	[58]	[13]
57	SL0001	352.569	352.889	CONTINUER	네.	[24]	[58]	[16]
58	SL0001	353.788	354.248	CONTINUER	어.	[24]	[59]	[1]
59	SL0001	362.639	363.274	CONTINUER	으흠.	[24]	[60]	[1]
60	SL0001	368.139	368.569	CONTINUER	네.	[24]	[60]	[12]
61	SL0001	371.781	372.166	CONTINUER	아.	[24]	[61]	[1]
62	SL0001	379.791	380.241	CONTINUER	음.	[24]	[61]	[17]
63	SL0001	382.588	382.958	CONTINUER	아.	[24]	[62]	[5]
64	SL0001	385.119	385.304	CONTINUER	네.	[26]	[64]	[2]
