uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.474	1.095	그래서	[]
1	1	2	AH0001	1.195	1.455	포럼	[]
1	1	3	AH0001	1.595	2.236	님께서는	[]
1	1	4	AH0001	2.296	2.516	이런	[]
1	1	5	AH0001	2.576	2.796	질문	[]
1	1	6	AH0001	2.856	3.657	주시더라고요	[]
1	1	7	AH0001	3.677	4.037	이제	[]
1	1	8	AH0001	4.137	4.798	누구보다	[]
1	1	9	AH0001	4.958	5.218	그동안	[]
1	1	10	AH0001	5.298	5.398	숨	[]
1	1	11	AH0001	5.438	5.839	가쁘게	[]
1	1	12	AH0001	5.919	6.319	달려온	[]
1	1	13	AH0001	6.419	6.98	샌디	[]
1	1	14	AH0001	7.46	7.8	정말	[]
1	1	15	AH0001	7.981	8.221	많은	[]
1	1	16	AH0001	8.301	8.461	일을	[]
1	1	17	AH0001	8.521	9.282	하면서	[]
1	1	18	AH0001	9.522	9.582	좀	[]
1	1	19	AH0001	9.682	10.103	일에	[]
1	1	20	AH0001	10.643	11.083	치인다	[]
1	1	21	AH0001	11.103	11.143	라는	[]
1	1	22	AH0001	11.304	11.724	생각을	[]
1	1	23	AH0001	11.804	11.884	할	[]
1	1	24	AH0001	11.944	12.024	때도	[]
1	1	25	AH0001	12.044	12.264	있을	[]
1	1	26	AH0001	12.304	12.365	것	[]
1	1	27	AH0001	12.445	12.905	같다.	[2]
1	2	1	AH0001	13.067	13.287	그리고	[]
1	2	2	AH0001	13.388	13.608	많은	[]
1	2	3	AH0001	13.668	13.808	일이	[]
1	2	4	AH0001	13.888	14.449	동시에	[]
1	2	5	AH0001	14.549	14.87	찾아올	[]
1	2	6	AH0001	14.97	15.11	때가	[]
1	2	7	AH0001	15.15	15.311	있을	[]
1	2	8	AH0001	15.391	15.751	텐데	[]
1	2	9	AH0001	16.272	16.433	그럴	[]
1	2	10	AH0001	16.533	16.593	때	[]
1	2	11	AH0001	16.693	17.054	샌디는	[]
1	2	12	AH0001	17.354	17.735	어떤	[]
1	2	13	AH0001	17.835	18.015	것을	[]
1	2	14	AH0001	18.095	18.175	좀	[]
1	2	15	AH0001	18.236	18.997	우선순위로	[]
1	2	16	AH0001	19.117	19.858	생각하는지	[]
1	2	17	AH0001	19.998	20.419	궁금하다	[3]
1	2	18	AH0001	20.74	20.94	라는	[]
1	2	19	AH0001	21.04	21.341	질문을	[]
1	2	20	AH0001	21.421	22.162	주셨더라고요.	[]
2	3	1	AH0002	22.263	22.544	네	[]
2	3	2	AH0002	23.446	23.546	어	[]
2	3	3	AH0002	23.566	23.866	일단	[]
2	3	4	AH0002	24.247	24.628	있죠	[]
2	3	5	AH0002	25.009	25.229	일이	[]
