bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	6.4	6.675	CONTINUER	네.	[2]	[2]	[10]
2	DG0002	17.117	17.506	CONTINUER	네네.	[3]	[4]	[3]
3	DG0001	22.943	24.068	AFFIRMATIVE	아. 그쵸. 네.	[4]	[5]	[7]
4	DG0001	31.007	31.697	AFFIRMATIVE	음. 맞아요.	[4]	[6]	[5]
5	DG0001	36.162	36.812	CONTINUER	음.	[4]	[6]	[17]
6	DG0001	46.386	46.711	CONTINUER	네.	[4]	[7]	[11]
7	DG0001	56.805	57.669	UNDERSTANDING	음.	[6]	[9]	[14]
8	DG0002	66.007	66.422	AFFIRMATIVE	그렇죠.	[7]	[11]	[6]
9	DG0001	81.973	82.643	ASSESSMENT	어.	[8]	[13]	[6]
10	DG0001	88.094	88.534	CONTINUER	네.	[8]	[13]	[23]
11	DG0001	91.432	91.767	CONTINUER	네네.	[8]	[14]	[1]
12	DG0001	96.79	97.105	CONTINUER	네.	[8]	[14]	[12]
13	DG0001	98.485	99.395	CONTINUER	음.	[8]	[14]	[16]
14	DG0001	124.27	124.79	ASSESSMENT	허.	[10]	[17]	[9]
15	DG0001	127.717	128.107	CONTINUER	네.	[10]	[18]	[6]
16	DG0001	141.684	142.304	UNDERSTANDING	음.	[12]	[20]	[11]
17	DG0002	151.694	151.879	CONTINUER	네.	[13]	[21]	[5]
18	DG0002	154.464	154.964	CONTINUER	네네.	[13]	[21]	[13]
19	DG0001	163.518	163.823	CONTINUER	네.	[14]	[22]	[9]
20	DG0001	172.003	172.923	AFFIRMATIVE	아. 맞아요.	[14]	[22]	[33]
21	DG0001	177.623	177.973	CONTINUER	네.	[14]	[23]	[12]
22	DG0002	188.575	188.98	AFFIRMATIVE	그렇죠.	[15]	[24]	[17]
23	DG0002	191.7	192.36	CONTINUER	네네.	[15]	[24]	[23]
24	DG0002	195.693	196.133	AFFIRMATIVE	맞아요.	[15]	[25]	[5]
25	DG0001	205.899	206.11	CONTINUER	네.	[16]	[26]	[19]
26	DG0001	216.669	217.749	UNDERSTANDING	음. 네네.	[16]	[27]	[16]
27	DG0001	234.228	234.478	AFFIRMATIVE	그렇죠.	[18]	[30]	[12]
28	DG0001	235.753	236.178	CONTINUER	네.	[18]	[30]	[15]
29	DG0001	240.548	240.818	CONTINUER	네.	[18]	[30]	[28]
30	DG0001	247.396	247.681	CONTINUER	음.	[18]	[31]	[10]
31	DG0002	256.873	257.288	AFFIRMATIVE	그렇죠.	[19]	[33]	[4]
32	DG0001	269.407	269.667	CONTINUER	네.	[20]	[34]	[22]
33	DG0001	278.071	278.376	CONTINUER	네네.	[20]	[36]	[4]
34	DG0001	321.896	322.311	CONTINUER	네.	[22]	[40]	[17]
35	DG0001	328.24	328.425	CONTINUER	네.	[22]	[41]	[6]
36	DG0001	337.49	338.09	CONTINUER	음.	[22]	[42]	[10]
37	DG0001	349.066	349.531	CONTINUER	음.	[22]	[43]	[10]
38	DG0001	352.441	352.631	CONTINUER	음.	[22]	[43]	[15]
39	DG0002	363.249	363.644	CONTINUER	네네.	[23]	[45]	[12]
40	DG0001	383.42	383.695	CONTINUER	네.	[24]	[48]	[11]
41	DG0001	388.077	388.322	CONTINUER	네.	[24]	[49]	[6]
42	DG0001	393.437	393.857	CONTINUER	네.	[26]	[51]	[4]
43	DG0001	396.137	396.602	CONTINUER	음.	[26]	[51]	[11]
44	DG0001	404.781	405.066	CONTINUER	음.	[26]	[52]	[7]
45	DG0001	410.471	411.026	CONTINUER	네.	[26]	[52]	[18]
46	DG0001	416.846	416.956	CONTINUER	네.	[26]	[53]	[12]
47	DG0002	438.929	439.354	CONTINUER	네네.	[27]	[55]	[14]
48	DG0001	465.516	466.101	CONTINUER	어. 네.	[28]	[58]	[24]
49	DG0001	471.576	471.956	CONTINUER	네.	[28]	[59]	[13]
50	DG0001	475.825	476.346	UNDERSTANDING	음.	[28]	[59]	[24]
51	DG0002	482.731	482.996	CONTINUER	네.	[29]	[61]	[2]
52	DG0002	485.276	485.666	AFFIRMATIVE	그렇죠.	[29]	[61]	[7]
53	DG0001	495.332	495.907	CONTINUER	음.	[30]	[62]	[12]
