uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.141	책에	[]
1	1	2	AH0001	1.201	1.481	나오는	[]
1	1	3	AH0001	1.561	2.422	위인들만큼	[]
1	1	4	AH0001	2.642	2.923	그분도	[]
1	1	5	AH0001	3.003	3.183	배울	[]
1	1	6	AH0001	3.263	3.363	점	[]
1	1	7	AH0001	3.443	3.663	많은	[]
1	1	8	AH0001	3.824	4.144	훌륭한	[]
1	1	9	AH0001	4.244	5.145	분이라구요.	[]
1	2	1	AH0001	5.145	5.546	너도	[]
1	2	2	AH0001	5.646	5.846	그런	[]
1	2	3	AH0001	5.906	6.267	사람으로	[]
1	2	4	AH0001	6.327	6.987	성장했으면	[]
1	2	5	AH0001	7.148	7.628	좋겠다고	[]
1	2	6	AH0001	7.688	15.579	말이죠.	[]
1	3	1	AH0001	39.033	39.694	@이름301의	[]
1	3	2	AH0001	39.814	40.135	그대가	[]
1	3	3	AH0001	40.175	40.796	있음에	[]
1	3	4	AH0001	40.956	41.717	들으셨습니다	[]
1	3	5	AH0001	41.818	41.998	오늘	[]
1	3	6	AH0001	42.058	42.078	참	[]
1	3	7	AH0001	42.238	42.419	좋은	[]
1	3	8	AH0001	42.479	42.959	당신은	[]
1	3	9	AH0001	43.16	43.941	관악구에서	[]
1	3	10	AH0001	44.101	44.482	@이름8	[]
1	3	11	AH0001	44.582	44.782	씨가	[]
1	3	12	AH0001	44.883	45.303	보내주신	[]
1	3	13	AH0001	45.363	46.024	사연이었어요	[]
1	3	14	AH0001	46.145	46.525	수선집	[]
1	3	15	AH0001	46.565	46.906	아저씨.	[]
1	4	1	AH0001	46.988	47.937	역을	[]
1	4	2	AH0001	47.957	48.159	해주신	[1]
1	5	1	AH0001	49.208	50.312	예	[]
1	5	2	AH0001	50.393	50.734	성우계	[]
1	5	3	AH0001	50.794	51.919	이순신이라기보다는	[]
1	5	4	AH0001	52.341	52.923	레오나르도	[]
1	5	5	AH0001	52.963	53.345	다빈치	[]
1	5	6	AH0001	53.626	54.048	@이름2	[]
1	5	7	AH0001	54.108	54.148	씨	[]
1	5	8	AH0001	54.168	54.63	오셨습니다.	[]
2	6	1	AH0002	54.63	55.416	신에게는	[]
2	6	2	AH0002	55.456	55.678	아직	[]
2	6	3	AH0002	55.718	55.98	열두	[]
2	6	4	AH0002	56.061	56.262	척의	[]
2	6	5	AH0002	56.323	56.484	배가	[]
2	6	6	AH0002	56.524	57.189	있사옵니다.	[]
3	7	1	AH0001	57.189	57.674	아	[]
3	7	2	AH0001	57.715	57.836	지금	[]
3	7	3	AH0001	57.856	58.402	이순신	[]
3	7	4	AH0001	58.462	58.624	하신	[]
3	7	5	AH0001	58.685	58.988	거예요?	[]
3	8	1	AH0001	58.988	59.78	레오나르도	[]
3	8	2	AH0001	59.82	60.125	다빈치	[]
3	8	3	AH0001	60.145	60.186	한	[]
3	8	4	AH0001	60.247	60.389	번	[]
3	8	5	AH0001	60.45	60.592	그러면	[]
4	9	1	AH0002	61.07	61.492	신에	[]
4	9	2	AH0002	61.813	62.074	신에게는	[]
4	10	1	AH0002	64.15	64.452	다	[]
4	10	2	AH0002	64.512	64.894	똑같아요	[]
4	10	3	AH0002	65.014	65.195	사실.	[]
5	11	1	AH0001	65.847	65.907	아	[]
5	11	2	AH0001	65.927	66.108	아니	[]
5	11	3	AH0001	66.249	66.49	근데	[]
