bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	15.948	16.153	CONTINUER	네.	[4]	[4]	[4]
2	DG0001	19.961	20.527	CONTINUER	네네.	[4]	[4]	[16]
3	DG0001	24.682	24.857	CONTINUER	음.	[4]	[5]	[6]
4	DG0002	28.357	28.677	CONTINUER	네.	[5]	[6]	[5]
5	DG0002	30.587	31.072	AFFIRMATIVE	그렇죠.	[5]	[6]	[8]
6	DG0001	36.559	37.004	CONTINUER	네.	[6]	[7]	[7]
7	DG0001	38.884	39.224	CONTINUER	예.	[6]	[7]	[14]
8	DG0002	44.464	44.789	CONTINUER	네.	[7]	[8]	[7]
9	DG0001	56.353	56.79	CONTINUER	네.	[10]	[11]	[14]
10	DG0001	57.635	57.895	CONTINUER	음.	[10]	[12]	[3]
11	DG0001	65.624	65.929	CONTINUER	네.	[12]	[14]	[10]
12	DG0001	69.259	69.649	CONTINUER	네.	[12]	[14]	[21]
13	DG0001	72.011	72.421	CONTINUER	음.	[]	[]	[]
14	DG0002	87.54	87.86	CONTINUER	음.	[17]	[19]	[14]
15	DG0001	98.015	98.355	CONTINUER	네.	[18]	[21]	[10]
16	DG0001	100.155	100.488	CONTINUER	예.	[18]	[21]	[16]
17	DG0001	101.528	101.878	CONTINUER	네네.	[18]	[22]	[2]
18	DG0001	106.823	107.038	CONTINUER	아.	[18]	[22]	[15]
19	DG0001	114.179	114.464	CONTINUER	네.	[20]	[24]	[14]
20	DG0002	121.605	122.08	CONTINUER	예.	[21]	[25]	[14]
21	DG0001	131.433	131.683	CONTINUER	네.	[22]	[26]	[11]
22	DG0001	136.333	136.578	CONTINUER	네.	[22]	[26]	[20]
23	DG0001	143.944	144.279	CONTINUER	예.	[22]	[27]	[17]
24	DG0001	153.846	154.106	CONTINUER	네.	[22]	[28]	[16]
25	DG0001	159.976	160.116	CONTINUER	어.	[22]	[29]	[2]
26	DG0001	171.586	172.001	CONTINUER	예.	[22]	[30]	[7]
27	DG0001	173.441	173.951	CONTINUER	음.	[22]	[30]	[12]
28	DG0001	204.332	204.582	CONTINUER	네.	[24]	[34]	[10]
29	DG0001	209.587	209.882	CONTINUER	예.	[24]	[34]	[21]
30	DG0001	214.013	214.243	CONTINUER	음.	[24]	[35]	[6]
31	DG0001	219.033	219.248	CONTINUER	네.	[28]	[39]	[4]
32	DG0001	220.623	221.843	UNDERSTANDING	아. 에에에.	[28]	[39]	[8]
33	DG0001	223.293	223.668	ASSESSMENT	아하.	[28]	[39]	[13]
34	DG0001	228.933	229.408	CONTINUER	음.	[28]	[39]	[26]
35	DG0001	232.247	232.542	CONTINUER	네.	[28]	[40]	[7]
36	DG0001	234.622	235.022	CONTINUER	예.	[28]	[40]	[14]
37	DG0001	236.382	236.977	ASSESSMENT	어허.	[28]	[40]	[16]
38	DG0001	239.599	239.884	CONTINUER	네.	[28]	[41]	[5]
39	DG0001	256.854	257.109	CONTINUER	네.	[32]	[45]	[8]
40	DG0001	258.584	258.834	CONTINUER	어.	[32]	[45]	[12]
41	DG0001	265.024	265.214	CONTINUER	어.	[]	[]	[]
42	DG0001	268.685	269.52	UNDERSTANDING	아.	[34]	[47]	[9]
43	DG0001	270.565	271.205	CONTINUER	네네네.	[34]	[47]	[12]
44	DG0001	275.383	276.153	UNDERSTANDING	음.	[34]	[48]	[11]
45	DG0001	280.153	280.383	CONTINUER	네.	[34]	[48]	[21]
46	DG0001	282.56	283.11	CONTINUER	어.	[34]	[48]	[28]
47	DG0001	300.665	301.02	CONTINUER	예.	[36]	[51]	[15]
48	DG0001	303.46	303.67	CONTINUER	음.	[36]	[51]	[20]
49	DG0001	308.841	309.252	CONTINUER	네.	[36]	[51]	[39]
50	DG0001	311.542	311.992	CONTINUER	음.	[36]	[52]	[7]
51	DG0001	313.347	313.547	CONTINUER	네.	[36]	[52]	[12]
52	DG0001	316.702	317.077	CONTINUER	예.	[36]	[52]	[21]
53	DG0001	318.955	319.41	CONTINUER	어.	[36]	[53]	[3]
54	DG0001	322.301	322.511	CONTINUER	네.	[36]	[54]	[7]
55	DG0001	323.831	324.276	CONTINUER	예예.	[36]	[54]	[10]
56	DG0001	325.916	326.091	CONTINUER	어.	[36]	[54]	[15]
57	DG0001	334.148	334.858	UNDERSTANDING	아.	[36]	[55]	[7]
58	DG0002	351.52	352.12	AFFIRMATIVE	음. 맞아요.	[37]	[57]	[7]
59	DG0001	356.102	356.342	CONTINUER	네.	[38]	[58]	[8]
60	DG0001	358.317	358.617	CONTINUER	아.	[38]	[58]	[15]
61	DG0001	360.522	360.846	CONTINUER	예.	[38]	[58]	[21]
62	DG0001	362.282	363.722	UNDERSTANDING	어. 예.	[38]	[58]	[25]
63	DG0001	367.078	367.813	CONTINUER	음.	[38]	[59]	[5]
