bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	2.245	2.495	CONTINUER	네.	[2]	[2]	[1]
2	AH0001	12.794	13.434	CONTINUER	음.	[4]	[5]	[1]
3	AH0001	17.527	18.298	CONTINUER	네.	[4]	[5]	[10]
4	AH0002	24.953	25.608	CONTINUER	음.음.	[7]	[9]	[5]
5	AH0001	28.18	28.735	CONTINUER	어.	[8]	[11]	[2]
6	AH0001	38.472	38.982	CONTINUER	음.	[10]	[13]	[19]
7	AH0001	52.505	53.095	CONTINUER	음.	[12]	[16]	[5]
8	AH0001	54.895	55.275	CONTINUER	음.	[12]	[16]	[7]
9	AH0002	59.225	59.54	CONTINUER	음.	[13]	[17]	[6]
10	AH0002	65.586	66.301	CONTINUER	어.	[15]	[19]	[8]
11	AH0001	75.802	76.247	CONTINUER	음.	[16]	[20]	[16]
12	AH0002	81.882	82.579	CONTINUER	예예.	[17]	[22]	[2]
13	AH0001	90.67	91.03	CONTINUER	음.	[18]	[24]	[14]
14	AH0001	94.05	94.355	CONTINUER	예.	[18]	[24]	[20]
15	AH0001	99.587	100.447	CONTINUER	네네.	[18]	[25]	[9]
16	AH0001	104.456	104.911	CONTINUER	음.	[18]	[26]	[8]
17	AH0001	111.741	112.406	CONTINUER	어.	[18]	[27]	[1]
18	AH0002	123.696	124.191	CONTINUER	네.	[21]	[30]	[1]
19	AH0001	127.925	128.525	CONTINUER	음.	[22]	[31]	[7]
20	AH0001	129.145	129.639	CONTINUER	예.	[22]	[31]	[9]
21	AH0001	143.987	144.857	CONTINUER	예예.	[22]	[33]	[4]
22	AH0002	152.436	153.111	CONTINUER	예.	[23]	[34]	[8]
23	AH0001	156.652	157.288	UNDERSTANDING	아.	[]	[]	[]
24	AH0001	163.808	164.213	CONTINUER	음.	[26]	[37]	[11]
25	AH0001	167.403	167.923	ASSESSMENT	아하.	[26]	[38]	[4]
26	AH0001	174.192	174.777	CONTINUER	네.	[26]	[39]	[5]
27	AH0002	179.754	180.559	CONTINUER	네.	[27]	[40]	[4]
28	AH0001	185.144	186.129	CONTINUER	어.	[28]	[41]	[7]
29	AH0001	188.542	189.027	CONTINUER	어.	[30]	[43]	[1]
30	AH0002	213.641	214.236	CONTINUER	예.예.예.	[31]	[46]	[2]
31	AH0001	223.655	224.275	CONTINUER	음.	[32]	[47]	[15]
32	AH0001	233.659	234.409	UNDERSTANDING	아.	[]	[]	[]
33	AH0001	237.439	237.809	CONTINUER	예.	[36]	[52]	[6]
34	AH0001	241.865	242.572	CONTINUER	오.	[36]	[52]	[14]
35	AH0001	243.237	243.532	CONTINUER	예.	[36]	[53]	[1]
36	AH0001	251.892	252.267	CONTINUER	음.	[36]	[53]	[17]
37	AH0001	266.155	266.86	CONTINUER	어.	[36]	[55]	[10]
38	AH0001	268.459	269.403	CONTINUER	예.	[36]	[55]	[15]
