uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.754	1.015	@이름94의	[]
1	1	2	AH0001	1.075	1.296	인생	[]
1	1	3	AH0001	1.377	1.578	라디오	[]
1	1	4	AH0001	1.658	2.221	홈페이지	[]
1	1	5	AH0001	2.401	2.823	당첨자	[]
1	1	6	AH0001	2.884	3.245	게시판에서	[]
1	1	7	AH0001	3.305	3.848	확인하시구요.	[]
1	1	8	AH0001	4.209	4.41	주소와	[]
1	1	9	AH0001	4.451	4.812	연락처	[]
1	1	10	AH0001	5.073	5.535	답글로	[]
1	1	11	AH0001	5.596	6.118	남겨주세요.	[]
1	2	1	AH0001	6.478	6.722	@이름1씨	[]
1	2	2	AH0001	6.742	7.19	오셨습니다	[]
1	2	3	AH0001	7.21	7.576	안녕하세요.	[]
2	3	1	AH0002	7.576	8.002	안녕하세요.	[]
3	4	1	AH0001	8.579	8.779	네.	[]
3	4	2	AH0001	8.9	9.24	감성	[]
3	4	3	AH0001	9.32	10.102	와이파이라는	[]
3	4	4	AH0001	10.122	10.142	또	[1]
3	4	5	AH0001	10.462	10.963	수식어가	[]
3	4	6	AH0001	11.124	11.344	새롭게	[]
3	4	7	AH0001	11.404	11.885	생겼습니다.	[2]
4	5	1	AH0002	12.095	12.497	매주	[]
4	5	2	AH0002	12.537	13.14	바뀌는군요.	[]
5	6	1	AH0001	13.194	13.374	네.	[]
5	6	2	AH0001	13.414	13.574	근데	[]
5	6	3	AH0001	13.614	13.995	와이파이가	[]
5	6	4	AH0001	14.095	14.175	가끔	[]
5	6	5	AH0001	14.275	14.395	넓	[]
5	6	6	AH0001	14.776	14.956	멀리	[]
5	6	7	AH0001	15.076	15.437	퍼진다는	[]
5	6	8	AH0001	15.497	15.517	뭐	[]
5	6	9	AH0001	15.597	15.717	그런	[]
5	6	10	AH0001	15.757	15.877	의미도	[]
5	6	11	AH0001	15.897	16.097	있을	[]
5	6	12	AH0001	16.137	16.197	것	[]
5	6	13	AH0001	16.217	16.638	같은데	[3]
5	6	14	AH0001	16.958	17.219	어	[]
5	6	15	AH0001	17.599	17.679	제일	[]
5	6	16	AH0001	17.739	18.24	중요한건	[]
5	6	17	AH0001	18.26	18.28	그	[]
5	6	18	AH0001	18.36	18.74	와이파이에	[]
5	6	19	AH0001	18.841	19.261	비밀번호가	[]
5	6	20	AH0001	19.281	20.122	있느냐.	[4]
5	6	21	AH0001	20.302	20.743	하는것이	[]
5	6	22	AH0001	20.783	21.003	아닐까	[]
5	6	23	AH0001	21.063	21.243	생각이	[5]
5	6	24	AH0001	21.323	21.864	듭니다.	[]
6	7	1	AH0002	21.864	22.104	전체	[]
6	7	2	AH0002	22.164	22.685	공개입니다.	[6]
6	7	3	AH0002	22.945	23.505	비밀번호	[]
6	7	4	AH0002	23.606	23.906	없구요.	[]
6	7	5	AH0002	23.926	23.946	뭐	[]
6	7	6	AH0002	24.406	24.647	기가	[]
6	7	7	AH0002	24.727	25.187	와이파이를	[]
6	7	8	AH0002	25.247	25.627	넘어서	[]
6	7	9	AH0002	25.747	25.868	뭐	[]
6	7	10	AH0002	26.208	26.728	테라도	[]
6	7	11	AH0002	26.808	27.209	넘어서	[]
6	7	12	AH0002	27.289	27.649	이거는	[7]
