uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.82	노래	[]
1	1	2	AH0001	0.88	0.9	한	[]
1	1	3	AH0001	0.941	1.001	곡	[]
1	1	4	AH0001	1.101	1.401	듣고	[]
1	1	5	AH0001	1.521	1.661	다시	[]
1	1	6	AH0001	1.701	2.242	오겠습니다.	[]
1	1	7	AH0001	2.883	3.223	치즈의	[]
1	1	8	AH0001	3.544	3.944	마들렌	[]
1	1	9	AH0001	4.165	4.325	러브	[]
1	1	10	AH0001	4.365	4.565	입니다.	[]
1	2	1	AH0001	4.566	5.413	약자를	[]
1	2	2	AH0001	5.534	5.735	위한	[]
1	2	3	AH0001	6.018	6.199	약이	[]
1	2	4	AH0001	6.259	6.441	되는	[]
1	2	5	AH0001	6.602	6.622	법.	[]
2	3	1	AH0002	6.703	7.452	최다은에	[]
2	3	2	AH0002	7.553	8.16	형사합의부.	[]
3	4	1	AH0001	8.463	8.623	자	[]
3	4	2	AH0001	8.824	9.124	형사	[]
3	4	3	AH0001	9.244	9.645	합의부	[]
3	4	4	AH0001	9.926	10.407	형사법	[]
3	4	5	AH0001	10.547	10.848	전문	[]
3	4	6	AH0001	11.008	11.328	최다은	[]
3	4	7	AH0001	11.429	11.829	변호사님	[]
3	4	8	AH0001	11.91	12.591	나오셨습니다.	[]
3	4	9	AH0001	12.631	12.751	어서	[]
3	4	10	AH0001	12.771	13.192	오세요.	[]
4	5	1	AH0002	13.312	13.937	안녕하세요.	[]
4	5	2	AH0002	14.017	14.259	최다은	[]
4	5	3	AH0002	14.36	14.642	변호사	[]
4	5	4	AH0002	14.662	14.884	입니다.	[]
4	5	5	AH0002	15.005	15.791	반갑습니다.	[]
5	6	1	AH0001	16.159	16.282	일	[]
5	6	2	AH0001	16.445	16.568	주일	[]
5	6	3	AH0001	16.65	17.263	만이시네요.	[]
6	7	1	AH0002	17.393	17.713	네.	[]
6	7	2	AH0002	18.094	18.854	지난주는	[]
6	7	3	AH0002	18.994	19.395	넷이서	[]
6	7	4	AH0002	19.475	19.675	너무	[]
6	7	5	AH0002	19.755	20.235	즐겁게	[]
6	7	6	AH0002	20.315	20.736	얘기를	[]
6	7	7	AH0002	20.816	21.436	나누느라	[2]
6	7	8	AH0002	21.597	21.877	시간이	[]
6	7	9	AH0002	21.937	22.217	어떻게	[]
6	7	10	AH0002	22.257	22.657	가는지도	[]
6	7	11	AH0002	22.717	23.238	몰랐었는데	[3]
6	8	1	AH0002	23.688	24.07	이번	[]
6	8	2	AH0002	24.171	24.774	주부터는	[]
6	8	3	AH0002	24.794	24.814	도	[]
6	8	4	AH0002	25.136	25.779	변호사님이랑	[]
6	8	5	AH0002	25.819	26.04	저랑	[]
6	8	6	AH0002	26.101	26.523	둘이서만	[]
6	8	7	AH0002	26.543	27.106	하잖아요.	[]
7	9	1	AH0001	27.106	27.61	사실상	[]
7	9	2	AH0001	27.69	27.892	인제	[]
7	9	3	AH0001	27.993	28.396	실질적으로	[]
7	9	4	AH0001	28.476	28.758	진행되는	[]
7	9	5	AH0001	28.879	28.96	첫	[]
7	9	6	AH0001	29.081	29.383	코너죠.	[]
8	10	1	AH0002	29.381	29.401	네.	[]
8	10	2	AH0002	29.421	29.782	그래서	[]
8	10	3	AH0002	29.982	30.102	한	[]
8	10	4	AH0002	30.163	30.423	시간을	[]
8	10	5	AH0002	30.483	30.764	어떻게	[]
8	10	6	AH0002	30.844	31.084	채워야	[]
8	10	7	AH0002	31.165	31.485	되나	[]
8	10	8	AH0002	31.666	31.986	고민을	[4]
8	10	9	AH0002	32.026	32.327	하면서	[]
8	10	10	AH0002	32.367	32.868	왔습니다.	[]
9	11	1	AH0001	32.868	33.25	네.	[]
9	11	2	AH0001	33.31	33.33	아	[]
9	11	3	AH0001	33.611	33.772	저는	[]
9	11	4	AH0001	33.852	33.933	좀	[]
9	11	5	AH0001	34.033	34.314	기대가	[]
9	11	6	AH0001	34.555	34.937	큽니다.	[]
10	12	1	AH0002	35.017	36.298	도변호사님께서는	[]
10	12	2	AH0002	36.318	36.898	지난	[5]
10	12	3	AH0002	37.119	37.359	주가	[]
10	12	4	AH0002	37.379	37.659	이제	[]
10	12	5	AH0002	37.739	38.279	디제이로서	[]
10	12	6	AH0002	38.38	38.46	첫	[]
10	12	7	AH0002	38.6	39.26	주였잖아요?	[]
10	12	8	AH0002	39.741	39.961	지난	[]
10	12	9	AH0002	40.021	40.121	한	[]
10	12	10	AH0002	40.301	40.601	주	[]
10	12	11	AH0002	40.781	40.941	어	[]
10	12	12	AH0002	41.502	41.722	디제이	[]
10	12	13	AH0002	41.762	42.222	하시면서	[]
10	12	14	AH0002	42.262	42.963	어떠셨는지	[]
10	12	15	AH0002	43.263	43.523	소회가	[]
10	12	16	AH0002	43.603	44.284	궁금합니다.	[]
11	13	1	AH0001	44.285	44.566	일단	[]
11	13	2	AH0001	44.666	45.368	힘들더라구요.	[]
11	13	3	AH0001	45.589	45.649	그	[]
11	13	4	AH0001	45.709	46.07	유명한	[]
11	13	5	AH0001	46.752	46.953	그	[]
11	13	6	AH0001	47.133	47.354	드라마	[]
