bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	41.01	41.915	CONTINUER	음. 음.	[4]	[5]	[16]
2	AH0001	47.16	47.495	CONTINUER	예.	[4]	[5]	[30]
3	AH0001	49.984	50.184	CONTINUER	어.	[4]	[6]	[5]
4	AH0001	62.391	62.891	CONTINUER	응.	[4]	[7]	[5]
5	AH0001	74.641	75.651	UNDERSTANDING	음.	[4]	[7]	[32]
6	AH0001	86.025	86.345	CONTINUER	응.	[8]	[12]	[2]
7	AH0001	94.358	95.373	UNDERSTANDING	음. 응.	[8]	[13]	[1]
8	AH0001	97.873	98.498	UNDERSTANDING	아.	[8]	[13]	[8]
9	AH0001	104.297	104.957	CONTINUER	네.	[8]	[14]	[14]
10	AH0001	132.031	132.641	UNDERSTANDING	음.	[8]	[17]	[24]
11	AH0001	143.783	144.348	CONTINUER	어.	[8]	[19]	[11]
12	AH0001	152.419	152.704	CONTINUER	응.	[8]	[20]	[1]
13	AH0001	162.618	163.378	CONTINUER	응. 응.	[8]	[21]	[12]
14	AH0001	164.588	165.133	CONTINUER	응.	[8]	[21]	[16]
15	AH0001	173.296	173.721	CONTINUER	예.	[8]	[22]	[11]
16	AH0001	183.021	183.461	CONTINUER	응.	[8]	[22]	[33]
17	AH0001	190.426	190.996	UNDERSTANDING	아.	[8]	[23]	[12]
18	AH0001	194.44	194.67	CONTINUER	아.	[8]	[24]	[8]
19	AH0001	198.034	198.284	CONTINUER	예.	[8]	[25]	[5]
20	AH0001	207.683	208.278	CONTINUER	어.	[8]	[26]	[6]
21	AH0001	213.359	214.094	CONTINUER	어.	[10]	[28]	[7]
22	AH0001	217.206	217.431	CONTINUER	어.	[10]	[29]	[1]
23	AH0001	227.476	228.456	CONTINUER	음.	[10]	[29]	[22]
24	AH0001	239.06	239.675	UNDERSTANDING	음.	[10]	[30]	[19]
25	AH0001	255.096	255.476	CONTINUER	응.	[10]	[33]	[1]
26	AH0001	266.841	267.426	AFFIRMATIVE	그렇죠.	[10]	[33]	[26]
27	AH0001	270.75	272.11	CONTINUER	어어어어어.	[10]	[34]	[10]
28	AH0001	279.91	281.0	CONTINUER	응응응응.	[10]	[34]	[30]
29	AH0001	282.34	282.795	CONTINUER	네.	[10]	[34]	[36]
30	AH0001	296.769	298.074	CONTINUER	응응응응.	[10]	[35]	[24]
31	AH0001	309.583	310.643	CONTINUER	어어어.	[10]	[36]	[23]
32	AH0001	312.028	312.498	CONTINUER	네.	[10]	[37]	[1]
33	AH0001	317.938	318.283	CONTINUER	어.	[10]	[37]	[13]
34	AH0001	322.928	323.493	CONTINUER	예.	[10]	[37]	[21]
35	AH0001	328.021	328.606	CONTINUER	으흠.	[10]	[39]	[1]
36	AH0001	334.09	334.715	CONTINUER	응. 응.	[10]	[40]	[6]
37	AH0001	337.555	338.17	CONTINUER	음.	[10]	[41]	[7]
38	AH0001	345.622	346.023	CONTINUER	네.	[10]	[43]	[1]
39	AH0001	353.964	354.259	CONTINUER	예.	[12]	[46]	[2]
40	AH0001	357.985	358.47	CONTINUER	어.	[12]	[47]	[11]
41	AH0001	360.217	360.782	CONTINUER	예.	[12]	[48]	[1]
42	AH0001	364.237	364.622	CONTINUER	어.	[12]	[48]	[6]
43	AH0001	377.447	377.817	CONTINUER	어.	[14]	[51]	[1]
44	AH0001	381.634	382.014	CONTINUER	응.	[16]	[53]	[5]
45	AH0001	383.814	384.904	CONTINUER	응. 응.	[16]	[53]	[10]
46	AH0001	388.799	389.359	CONTINUER	네.	[16]	[53]	[19]
47	AH0001	404.571	405.311	CONTINUER	어.	[18]	[57]	[3]
48	AH0001	407.986	409.146	CONTINUER	네. 예예예.	[18]	[57]	[12]
49	AH0001	414.626	415.516	UNDERSTANDING	아.	[18]	[58]	[13]
50	AH0002	420.998	421.393	CONTINUER	응.	[19]	[59]	[4]
51	AH0002	438.624	439.394	UNDERSTANDING	아.	[19]	[60]	[22]
52	AH0002	440.435	441.045	NEGATIVE_SURPRISE	아흐.	[19]	[61]	[4]
53	AH0002	442.08	442.535	CONTINUER	응.	[19]	[61]	[8]
54	AH0002	443.805	444.275	CONTINUER	응.	[19]	[61]	[10]
55	AH0002	450.948	451.148	CONTINUER	응.	[21]	[64]	[1]
56	AH0002	468.123	468.443	CONTINUER	네.	[23]	[68]	[5]
57	AH0002	470.858	471.153	CONTINUER	어.	[23]	[68]	[12]
