bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	17.512	18.017	CONTINUER	음.	[2]	[3]	[6]
2	DG0001	21.195	21.791	AFFIRMATIVE	맞아요.	[2]	[3]	[13]
3	DG0001	23.206	23.866	AFFIRMATIVE	맞아요.	[2]	[4]	[4]
4	DG0001	26.481	26.791	CONTINUER	음.	[2]	[4]	[9]
5	DG0002	58.965	59.245	CONTINUER	네.	[3]	[8]	[15]
6	DG0001	82.059	82.714	CONTINUER	음.	[4]	[11]	[1]
7	DG0001	121.112	122.882	CONTINUER	오. 오.	[6]	[15]	[3]
8	DG0001	129.609	130.274	CONTINUER	예.	[8]	[17]	[3]
9	DG0001	134.104	136.204	ASSESSMENT	오. 야.	[8]	[17]	[11]
10	DG0002	152.809	153.474	CONTINUER	네. 네.	[9]	[19]	[7]
