bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0002	22.284	23.229	CONTINUER	음.	[1]	[2]	[17]
2	SL0001	33.576	34.001	CONTINUER	음.	[2]	[3]	[12]
3	SL0001	42.878	43.398	CONTINUER	음.	[2]	[4]	[8]
4	SL0001	57.125	57.53	CONTINUER	음.	[2]	[5]	[9]
5	SL0001	64.612	66.047	CONTINUER	네. 음.	[2]	[6]	[3]
6	SL0001	67.723	68.124	CONTINUER	네에.	[2]	[6]	[8]
7	SL0001	70.733	71.083	CONTINUER	음.	[2]	[7]	[5]
8	SL0001	83.456	83.871	CONTINUER	네.	[2]	[8]	[6]
9	SL0002	93.726	95.351	CONTINUER	예. 예.	[3]	[9]	[3]
10	SL0001	106.349	106.625	CONTINUER	응.	[4]	[10]	[14]
11	SL0001	108.835	109.203	CONTINUER	응.	[4]	[11]	[5]
12	SL0001	110.637	111.059	CONTINUER	네.	[4]	[12]	[3]
