uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.274	1.294	영	[]
1	1	2	AH0001	1.535	1.856	세부터	[]
1	1	3	AH0001	1.956	2.076	세	[]
1	1	4	AH0001	2.156	2.918	살까지의	[1]
1	1	5	AH0001	3.179	4.202	영아에	[]
1	1	6	AH0001	4.322	4.543	대한	[]
1	1	7	AH0001	5.064	6.007	육아	[2]
1	1	8	AH0001	6.067	6.147	교육	[]
1	1	9	AH0001	6.749	7.15	그거	[]
1	1	10	AH0001	7.27	7.531	책으로	[]
1	1	11	AH0001	7.611	7.651	또	[]
1	1	12	AH0001	7.732	7.872	주목	[]
1	1	13	AH0001	7.892	8.233	받으셨지	[]
1	1	14	AH0001	8.333	8.714	않습니까?	[3]
1	2	1	AH0001	9.38	9.881	그	[]
1	2	2	AH0001	10.022	10.142	고	[]
1	2	3	AH0001	10.583	11.225	때에	[]
1	2	4	AH0001	11.546	11.666	이	[]
1	2	5	AH0001	11.827	12.489	육아법이란	[]
1	2	6	AH0001	12.509	12.589	게	[]
1	2	7	AH0001	12.669	12.729	또	[]
1	2	8	AH0001	12.809	13.211	특별하게	[]
1	2	9	AH0001	13.251	13.491	있는	[]
1	2	10	AH0001	13.572	14.434	모양이죠?	[]
2	3	1	AH0002	14.678	16.0	사실은뭐	[]
2	3	2	AH0002	16.2	16.52	특별할	[]
2	3	3	AH0002	16.64	16.86	것도	[]
2	3	4	AH0002	16.881	17.101	없는	[4]
2	3	5	AH0002	17.181	17.601	얘기이기는	[]
2	3	6	AH0002	17.862	19.463	합니다만	[]
2	3	7	AH0002	19.544	19.744	음	[]
2	3	8	AH0002	20.665	20.725	이	[]
2	3	9	AH0002	20.805	21.025	시기가	[]
2	3	10	AH0002	21.085	21.205	너무	[]
2	3	11	AH0002	21.306	21.906	중요하기	[]
2	3	12	AH0002	22.046	22.347	때문에	[5]
2	4	1	AH0002	22.568	23.451	그	[]
2	4	2	AH0002	23.651	24.072	어	[]
2	4	3	AH0002	24.253	24.554	사람들은	[]
2	4	4	AH0002	24.634	24.815	그렇게	[]
2	4	5	AH0002	24.875	25.115	이야기하죠	[]
2	4	6	AH0002	25.236	25.436	아이가	[]
2	4	7	AH0002	25.497	25.757	세상에	[]
2	4	8	AH0002	25.838	26.359	태어났다	[]
2	4	9	AH0002	26.439	26.479	라고	[]
2	4	10	AH0002	26.519	27.302	이야기를	[]
2	4	11	AH0002	27.382	27.603	하지	[]
2	4	12	AH0002	27.643	27.723	않습니까?	[]
2	5	1	AH0002	28.225	28.626	현재	[]
2	5	2	AH0002	28.706	28.947	세상에	[]
2	5	3	AH0002	29.007	29.328	존재하고	[]
2	5	4	AH0002	29.369	29.489	있는	[]
2	5	5	AH0002	29.549	29.81	사람들	[]
2	5	6	AH0002	29.83	30.291	입장에서는	[]
2	5	7	AH0002	30.733	30.793	그	[]
2	5	8	AH0002	30.813	30.994	아이가	[]
2	5	9	AH0002	31.054	31.274	세상에	[]
2	5	10	AH0002	31.375	31.676	태어난	[]
2	5	11	AH0002	31.716	32.077	거지만	[6]
2	6	1	AH0002	32.517	32.938	그	[]
2	6	2	AH0002	32.978	33.239	아이를	[]
2	6	3	AH0002	33.36	33.64	주체를	[]
2	6	4	AH0002	33.681	33.741	놓고	[]
2	6	5	AH0002	33.881	34.182	생각을	[]
2	6	6	AH0002	34.242	34.262	해	[]
2	6	7	AH0002	34.303	34.583	보면	[]
2	6	8	AH0002	34.824	34.844	그	[]
2	6	9	AH0002	34.884	35.085	아이의	[]
2	6	10	AH0002	35.125	35.526	입장에서는	[]
2	6	11	AH0002	35.587	35.867	세상이	[]
2	6	12	AH0002	35.948	36.269	자기한테	[]
2	6	13	AH0002	36.369	36.69	등장한	[]
2	6	14	AH0002	36.87	37.011	거죠	[]
2	6	15	AH0002	37.091	37.533	갑자기	[]
2	6	16	AH0002	37.613	37.673	온	[]
2	6	17	AH0002	37.753	38.074	거죠	[]
2	6	18	AH0002	38.134	38.355	완전히	[]
2	6	19	AH0002	38.496	38.857	등장한	[]
2	6	20	AH0002	38.917	38.977	거죠.	[]
2	7	1	AH0002	39.032	39.272	아주	[]
2	7	2	AH0002	39.313	40.054	안전한	[7]
2	7	3	AH0002	40.615	40.876	생명이	[]
2	7	4	AH0002	40.936	41.276	잉태된	[]
2	7	5	AH0002	41.356	41.797	이후로	[]
2	7	6	AH0002	42.198	42.398	가장	[]
2	7	7	AH0002	42.439	42.819	안전한	[]
2	7	8	AH0002	43.0	43.24	공간과	[]
2	7	9	AH0002	43.4	43.661	환경	[]
2	7	10	AH0002	43.741	44.022	속에서	[]
2	7	11	AH0002	44.082	44.663	자라다가	[8]
2	7	12	AH0002	45.064	45.364	갑자기	[]
2	7	13	AH0002	45.444	45.605	세상	[]
2	8	1	AH0002	45.865	46.326	빛	[]
2	8	2	AH0002	46.466	46.526	막	[]
2	8	3	AH0002	46.747	46.927	빛도	[]
2	8	4	AH0002	46.947	47.087	오고	[]
2	8	5	AH0002	47.147	47.167	막	[]
2	8	6	AH0002	47.348	47.488	소음도	[]
2	8	7	AH0002	47.748	47.989	들리고	[]
2	8	8	AH0002	48.009	48.049	막	[]
2	8	9	AH0002	48.109	48.309	이런	[9]
2	8	10	AH0002	48.69	49.331	엄청난	[]
2	8	11	AH0002	49.612	49.912	세상	[]
2	8	12	AH0002	50.052	50.313	속에	[]
2	8	13	AH0002	50.413	50.693	등장한	[]
2	8	14	AH0002	50.794	50.874	거죠.	[10]
2	9	1	AH0002	51.497	51.919	그랬을	[]
2	9	2	AH0002	52.019	52.079	때	[]
2	9	3	AH0002	52.139	52.159	이	[]
2	9	4	AH0002	52.24	52.44	아이는	[]
2	9	5	AH0002	52.561	52.762	생	[]
2	9	6	AH0002	52.922	53.143	생	[]
2	9	7	AH0002	53.223	53.785	성장하게	[]
2	9	8	AH0002	53.906	54.508	생장하기	[]
