bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	26.067	26.237	CONTINUER	예.	[1]	[5]	[6]
2	DG0002	53.086	53.431	CONTINUER	예.	[3]	[10]	[14]
3	DG0002	104.136	104.396	CONTINUER	예.	[7]	[19]	[10]
4	DG0001	112.83	113.085	CONTINUER	네.	[8]	[21]	[6]
5	DG0001	130.331	130.571	CONTINUER	네.	[8]	[24]	[7]
6	DG0002	169.793	170.073	CONTINUER	네.	[13]	[32]	[11]
7	DG0001	184.966	185.376	CONTINUER	네.	[14]	[34]	[11]
8	DG0002	209.967	210.252	CONTINUER	음.	[15]	[38]	[8]
9	DG0001	215.217	215.457	CONTINUER	예.	[16]	[39]	[6]
10	DG0001	217.612	218.137	CONTINUER	예.	[16]	[39]	[14]
11	DG0002	226.594	226.979	CONTINUER	음.	[17]	[40]	[11]
12	DG0001	232.169	232.634	CONTINUER	예.	[18]	[41]	[7]
13	DG0001	280.675	280.935	CONTINUER	네.	[20]	[48]	[21]
14	DG0002	310.35	310.595	CONTINUER	네.	[21]	[53]	[10]
15	DG0001	357.179	357.619	CONTINUER	네.	[24]	[63]	[7]
16	DG0001	373.819	374.084	CONTINUER	네.	[24]	[65]	[15]
17	DG0002	448.631	449.091	CONTINUER	네네.	[25]	[75]	[1]
18	DG0002	585.166	585.306	CONTINUER	음.	[33]	[97]	[17]
19	DG0002	586.716	586.976	CONTINUER	네.	[33]	[97]	[21]
20	DG0001	598.093	598.528	CONTINUER	네.	[34]	[99]	[19]
21	DG0001	642.929	643.204	CONTINUER	네.	[38]	[106]	[19]
22	DG0001	725.199	725.439	CONTINUER	네.	[38]	[117]	[13]
23	DG0002	735.148	735.358	CONTINUER	네.	[41]	[120]	[5]
24	DG0002	737.808	738.108	CONTINUER	네.	[41]	[120]	[12]
25	DG0002	742.679	742.999	CONTINUER	네.	[41]	[121]	[6]
26	DG0002	747.139	747.364	CONTINUER	네.	[41]	[121]	[14]
27	DG0001	753.269	753.814	CONTINUER	네.	[42]	[122]	[10]
28	DG0002	790.008	790.223	CONTINUER	네.	[43]	[127]	[11]
29	DG0002	801.961	802.306	CONTINUER	네.	[43]	[129]	[7]
30	DG0001	832.695	833.12	CONTINUER	네.	[44]	[134]	[8]
31	DG0001	844.586	844.996	CONTINUER	네.	[44]	[137]	[5]
32	DG0002	898.731	899.016	CONTINUER	네.	[45]	[146]	[8]
33	DG0002	903.245	903.48	CONTINUER	네.	[45]	[147]	[13]
34	DG0002	984.748	984.958	CONTINUER	네.	[49]	[160]	[12]
35	DG0001	1003.968	1004.438	CONTINUER	예.	[50]	[163]	[13]
36	DG0001	1016.797	1017.027	CONTINUER	예.	[52]	[167]	[6]
37	DG0001	1022.709	1022.964	CONTINUER	네.	[52]	[168]	[3]
38	DG0001	1027.854	1028.249	AFFIRMATIVE	그렇죠.	[52]	[168]	[16]
39	DG0001	1054.818	1055.163	CONTINUER	네.	[52]	[172]	[13]
40	DG0001	1069.248	1069.613	CONTINUER	네.	[52]	[176]	[1]
41	DG0001	1102.222	1102.562	CONTINUER	네.	[52]	[181]	[11]
42	DG0001	1149.029	1149.254	CONTINUER	네.	[54]	[188]	[6]
43	DG0001	1270.36	1270.665	CONTINUER	네.	[56]	[207]	[14]
44	DG0001	1320.624	1320.869	CONTINUER	네.	[56]	[216]	[4]
45	DG0001	1357.934	1358.264	CONTINUER	네.	[58]	[221]	[1]
46	DG0001	1385.958	1386.198	CONTINUER	네.	[58]	[225]	[6]
47	DG0001	1443.631	1443.946	CONTINUER	네.	[58]	[233]	[1]
48	DG0001	1473.049	1473.264	CONTINUER	네.	[58]	[238]	[1]
49	DG0002	1886.632	1886.937	CONTINUER	네.	[69]	[302]	[8]
50	DG0001	1913.433	1913.718	CONTINUER	네.	[70]	[307]	[1]
51	DG0001	2078.597	2078.892	CONTINUER	네.	[76]	[336]	[1]
52	DG0001	2283.279	2283.589	CONTINUER	네.	[78]	[368]	[1]
