uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.5	5.082	박수쳐줘야	[]
1	1	2	SL0001	5.162	5.462	돼요	[]
1	1	3	SL0001	5.742	6.323	@전화번호	[]
1	1	4	SL0001	6.523	6.923	최애	[]
1	1	5	SL0001	7.003	7.363	노래를	[]
1	1	6	SL0001	7.503	7.703	최애	[]
1	1	7	SL0001	7.783	8.223	기타와	[]
1	1	8	SL0001	8.824	9.084	최애	[]
1	1	9	SL0001	9.244	9.624	목소리로	[]
1	1	10	SL0001	9.684	10.024	듣는	[]
1	1	11	SL0001	10.184	10.524	기분을	[]
1	1	12	SL0001	11.285	11.605	얼마로	[]
1	1	13	SL0001	11.645	12.065	환산할수	[]
1	1	14	SL0001	12.085	12.625	있을까요	[]
1	1	15	SL0001	12.725	12.845	오늘	[]
1	1	16	SL0001	12.925	13.106	저녁	[]
1	1	17	SL0001	13.126	13.146	두	[]
1	1	18	SL0001	13.726	14.126	그릇씩	[]
1	1	19	SL0001	14.146	14.326	드세요	[]
1	1	20	SL0001	14.346	14.566	@이름1	[]
1	1	21	SL0001	14.706	14.766	님	[]
1	1	22	SL0001	14.906	15.186	@이름2	[]
1	1	23	SL0001	15.206	15.227	님	[]
1	2	1	SL0001	16.347	16.629	빨리	[]
1	2	2	SL0001	16.81	16.87	가서	[]
1	2	3	SL0001	16.91	16.97	밥	[]
1	2	4	SL0001	17.051	17.272	먹자	[]
1	2	5	SL0001	17.373	17.514	우리	[]
2	3	1	SL0002	18.68	18.882	거의	[]
2	3	2	SL0002	18.922	19.103	그래야	[]
2	3	3	SL0002	19.144	19.204	될	[]
2	3	4	SL0002	19.265	19.305	것	[]
2	3	5	SL0002	19.345	19.809	같습니다.	[]
3	4	1	SL0001	19.809	19.99	너무	[]
3	4	2	SL0001	20.031	20.595	잘했어요	[]
4	5	1	SL0002	20.595	20.957	아	[]
4	5	2	SL0002	21.159	21.32	오기	[]
4	5	3	SL0002	21.38	21.521	전에	[]
4	5	4	SL0002	21.582	21.662	밥	[]
4	5	5	SL0002	21.743	21.904	먹고	[]
4	5	6	SL0002	21.944	22.467	왔는데	[]
4	5	7	SL0002	22.568	22.83	소화가	[]
4	5	8	SL0002	22.89	23.051	바로	[]
4	5	9	SL0002	23.112	23.595	되네요.	[]
5	6	1	SL0001	23.595	23.635	아까	[]
5	6	2	SL0001	23.715	23.856	연습	[]
5	6	3	SL0001	23.896	23.956	할	[]
5	6	4	SL0001	24.036	24.177	때와는	[]
5	6	5	SL0001	24.478	24.578	또	[]
5	6	6	SL0001	24.618	24.779	다른	[]
5	6	7	SL0001	24.859	25.662	분위기이에요	[]
5	6	8	SL0001	25.762	25.983	이렇게	[]
5	6	9	SL0001	26.043	26.264	잘할	[]
5	6	10	SL0001	26.364	26.424	걸	[]
5	6	11	SL0001	26.444	26.665	알면서	[]
5	6	12	SL0001	26.765	26.866	꼭	[]
5	6	13	SL0001	27.107	27.588	숨기더라	[]
6	7	1	SL0002	27.829	28.01	아	[]
6	7	2	SL0002	28.03	28.593	아닙니다	[]
6	7	3	SL0002	29.056	29.217	그런	[]
6	7	4	SL0002	29.277	29.297	건	[]
6	7	5	SL0002	29.318	29.559	아니고	[]
7	8	1	SL0001	29.559	29.7	이런	[]
7	8	2	SL0001	29.741	29.761	걸	[]
7	8	3	SL0001	29.902	30.265	보여줄려고	[]
7	8	4	SL0001	30.306	30.568	그러는	[]
7	8	5	SL0001	30.608	30.87	거지요.	[]
7	9	1	SL0001	31.395	32.436	@전화번호	[]
7	9	2	SL0001	32.456	32.916	님께서	[1]
7	9	3	SL0001	33.377	33.717	함쌤의	[]
7	9	4	SL0001	33.757	33.937	기타	[]
7	9	5	SL0001	33.977	34.518	선율에	[]
7	9	6	SL0001	34.618	35.118	할렐루야	[]
7	9	7	SL0001	35.238	35.318	두	[]
7	9	8	SL0001	35.399	35.579	손이	[]
7	9	9	SL0001	35.659	36.159	자연스럽게	[]
7	9	10	SL0001	36.259	37.08	모아집니다.	[]
7	10	1	SL0001	37.75	37.971	아	[]
7	10	2	SL0001	38.111	38.714	다음달까지	[]
7	10	3	SL0001	38.854	39.115	어떻게	[]
7	10	4	SL0001	39.135	39.557	기다리죠?	[]
7	10	5	SL0001	39.737	39.778	두	[]
7	10	6	SL0001	39.818	39.938	분의	[]
7	10	7	SL0001	39.998	40.159	선물	[]
7	10	8	SL0001	40.219	40.741	감사해요.	[]
7	10	9	SL0001	40.942	41.424	오늘부터	[2]
7	10	10	SL0001	41.825	42.106	@이름10	[]
7	10	11	SL0001	42.247	42.428	계로	[]
7	10	12	SL0001	42.488	43.07	개종합니다.	[]
7	11	1	SL0001	43.942	44.322	이러다가	[]
7	11	2	SL0001	44.683	45.023	여러분들	[]
7	11	3	SL0001	45.103	45.304	너무	[]
7	11	4	SL0001	45.404	45.464	또	[]
7	11	5	SL0001	45.564	45.804	무리한	[]
7	11	6	SL0001	45.864	45.924	것	[]
7	11	7	SL0001	46.004	46.405	부탁하시면	[]
7	11	8	SL0001	46.445	46.465	안	[]
7	11	9	SL0001	46.645	47.206	돼요.	[3]
7	11	10	SL0001	47.306	47.867	오늘	[]
7	11	11	SL0001	47.967	48.147	@이름2	[]
7	11	12	SL0001	48.267	48.387	씨	[]
7	11	13	SL0001	48.487	48.868	지금	[]
7	11	14	SL0001	49.448	49.809	얼굴이	[]
7	11	15	SL0001	50.289	50.55	약간	[]
7	11	16	SL0001	50.65	51.27	발그스름	[]
7	11	17	SL0001	51.351	51.891	해졌거든요.	[]
8	12	1	SL0002	52.167	52.187	아	[]
8	13	1	SL0002	52.656	52.917	약간	[]
8	13	2	SL0002	53.077	53.258	지금	[]
8	13	3	SL0002	53.498	55.002	붉어졌네요.	[4]
8	13	4	SL0002	55.263	55.524	뭔가	[]
8	13	5	SL0002	55.864	56.065	쑥스러운	[]
8	13	6	SL0002	56.125	56.185	게	[]
8	13	7	SL0002	56.225	56.406	아니고	[]
9	14	1	SL0001	56.597	56.907	그러니까	[]
9	15	1	SL0001	57.609	58.13	@이름14	[]
9	15	2	SL0001	58.251	58.632	님께서	[]
9	15	3	SL0001	59.193	59.294	키	[]
9	15	4	SL0001	59.354	59.634	낮추신	[]
9	15	5	SL0001	59.675	59.735	거	[]
9	15	6	SL0001	59.775	60.116	맞나요?	[]
9	15	7	SL0001	60.577	61.058	전보다도	[]
9	15	8	SL0001	61.139	61.459	높으신	[]
9	15	9	SL0001	61.52	61.58	것	[]
9	15	10	SL0001	61.62	62.101	같은데.	[5]
9	15	11	SL0001	62.723	63.144	그러나	[]
9	15	12	SL0001	63.505	63.685	키가	[]
9	15	13	SL0001	63.746	63.886	뭐가	[]
9	15	14	SL0001	63.966	64.267	중요해.	[]
9	15	15	SL0001	64.287	64.648	다	[]
9	15	16	SL0001	64.728	65.009	되시는	[]
9	15	17	SL0001	65.029	65.49	태진님	[]
9	15	18	SL0001	65.51	66.152	하셨거든요.	[]
10	16	1	SL0002	66.152	66.372	이게	[]
10	16	2	SL0002	66.433	66.673	가장	[]
10	16	3	SL0002	67.374	67.414	그	[]
10	16	4	SL0002	67.515	67.795	맞는	[]
10	16	5	SL0002	67.895	67.976	그	[]
10	16	6	SL0002	68.036	68.356	느낌	[]
10	16	7	SL0002	68.657	68.837	이게	[]
10	16	8	SL0002	68.997	69.458	키마다의	[]
10	16	9	SL0002	69.559	69.619	그	[]
10	16	10	SL0002	69.679	69.919	느낌이	[]
10	16	11	SL0002	69.999	70.06	또	[]
10	16	12	SL0002	70.12	71.061	다르잖아요.	[6]
10	16	13	SL0002	71.242	71.422	그러다	[]
10	16	14	SL0002	71.482	71.743	보니까	[]
10	16	15	SL0002	71.803	72.043	오늘은	[]
10	16	16	SL0002	72.144	72.304	또	[]
