bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	3.775	4.415	REQUEST_CONFIRMATION	아 그래요?	[1]	[2]	[4]
2	DG0002	11.316	12.761	CONTINUER	음. 네. 네.	[1]	[3]	[4]
3	DG0001	22.933	23.248	CONTINUER	네.	[4]	[6]	[3]
4	DG0002	41.703	42.338	CONTINUER	아.	[7]	[10]	[3]
5	DG0002	43.617	44.201	CONTINUER	네.	[7]	[10]	[6]
6	DG0001	68.651	68.981	CONTINUER	네.	[8]	[13]	[8]
7	DG0002	76.952	77.442	CONTINUER	네.	[9]	[14]	[8]
8	DG0002	82.785	83.25	CONTINUER	네. 네.	[9]	[15]	[9]
9	DG0002	89.641	89.846	CONTINUER	네.	[11]	[17]	[1]
10	DG0002	95.316	95.981	CONTINUER	아.	[11]	[17]	[15]
11	DG0002	99.603	100.288	CONTINUER	음.	[11]	[18]	[4]
12	DG0002	102.511	103.155	AFFIRMATIVE	그렇죠.	[11]	[18]	[9]
13	DG0002	112.059	113.789	AFFIRMATIVE	아 그랬구나.	[13]	[22]	[1]
14	DG0001	122.919	123.344	CONTINUER	네네.	[14]	[24]	[3]
15	DG0002	130.046	131.326	CONTINUER	음.	[15]	[25]	[12]
16	DG0002	134.354	134.774	CONTINUER	네.	[15]	[25]	[19]
17	DG0002	160.039	160.514	CONTINUER	음.	[17]	[29]	[1]
18	DG0002	161.539	162.074	CONTINUER	아.	[17]	[29]	[2]
19	DG0001	178.157	178.647	CONTINUER	네네.	[20]	[32]	[13]
20	DG0002	193.101	193.486	CONTINUER	네.	[21]	[35]	[8]
21	DG0002	213.724	214.209	CONTINUER	네.	[23]	[38]	[8]
22	DG0002	217.679	218.209	CONTINUER	음.	[23]	[38]	[16]
23	DG0001	227.196	227.796	AFFIRMATIVE	그렇죠.	[24]	[40]	[4]
24	DG0002	258.234	258.499	CONTINUER	네.	[27]	[46]	[3]
25	DG0001	270.003	270.258	CONTINUER	네.	[28]	[48]	[7]
26	DG0001	275.333	275.608	CONTINUER	으흠.	[28]	[48]	[17]
27	DG0001	282.979	283.259	CONTINUER	네.	[28]	[49]	[15]
28	DG0002	288.859	289.354	ASSESSMENT	야.	[29]	[51]	[4]
29	DG0002	301.695	302.06	CONTINUER	네.	[31]	[55]	[8]
30	DG0002	305.7	306.06	CONTINUER	네.	[31]	[55]	[13]
31	DG0002	309.125	309.755	CONTINUER	아.	[31]	[55]	[19]
32	DG0002	326.353	326.953	CONTINUER	네네.	[33]	[58]	[4]
33	DG0002	330.898	332.798	REQUEST_CONFIRMATION	음. 아 그래요?	[33]	[59]	[4]
34	DG0002	388.714	389.404	CONTINUER	아. 네.	[37]	[72]	[1]
35	DG0002	398.618	399.003	CONTINUER	네.	[37]	[73]	[7]
36	DG0002	402.928	403.773	CONTINUER	아.	[37]	[73]	[14]
37	DG0002	407.075	407.726	CONTINUER	응.	[37]	[74]	[4]
38	DG0002	439.431	439.976	CONTINUER	네.	[41]	[80]	[12]
39	DG0002	441.296	441.601	CONTINUER	네.	[41]	[80]	[15]
40	DG0002	444.364	445.037	AFFIRMATIVE	맞아요.	[41]	[81]	[5]
41	DG0002	453.522	455.202	CONTINUER	아. 네.	[41]	[82]	[13]
42	DG0002	458.75	459.805	ASSESSMENT	아이고.	[43]	[84]	[8]
43	DG0002	473.037	473.202	CONTINUER	네.	[45]	[86]	[4]
44	DG0002	491.15	491.625	CONTINUER	네.	[47]	[90]	[11]
45	DG0002	496.868	498.083	CONTINUER	아. 네.	[47]	[92]	[1]
46	DG0002	516.134	516.534	CONTINUER	아.	[51]	[96]	[1]
47	DG0002	534.617	535.507	AFFIRMATIVE	그렇겠어요.	[53]	[99]	[13]
48	DG0001	576.795	577.865	CONTINUER	네. 네네.	[54]	[106]	[10]
49	DG0001	611.334	612.159	AFFIRMATIVE	네네. 그렇죠.	[54]	[111]	[14]
50	DG0002	618.944	620.029	CONTINUER	아.	[55]	[113]	[2]
51	DG0002	635.072	635.492	CONTINUER	네.	[57]	[116]	[15]
52	DG0002	638.706	639.836	CONTINUER	음	[]	[]	[]
53	DG0002	640.094	641.069	CONTINUER	어. 예.	[59]	[118]	[1]
54	DG0002	644.684	645.284	CONTINUER	네.	[59]	[118]	[7]
55	DG0002	651.438	651.828	CONTINUER	음.	[59]	[119]	[1]
56	DG0002	658.158	659.068	CONTINUER	음. 네네.	[59]	[119]	[11]
57	DG0002	688.644	688.949	CONTINUER	네.	[61]	[126]	[3]
58	DG0002	691.469	692.014	CONTINUER	네.	[61]	[126]	[10]
59	DG0002	695.094	695.434	CONTINUER	음.	[61]	[126]	[16]
60	DG0002	704.658	705.125	CONTINUER	네.	[61]	[127]	[19]
61	DG0002	715.785	716.145	CONTINUER	네.	[61]	[129]	[2]
