uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.041	어떻게	[]
1	1	2	AH0001	1.161	1.402	참여할	[]
1	1	3	AH0001	1.462	1.522	수	[]
1	1	4	AH0001	1.542	1.943	있는지	[]
1	1	5	AH0001	2.103	2.364	자세한	[]
1	1	6	AH0001	2.424	2.604	내용	[]
1	1	7	AH0001	3.085	4.228	시민소통담당관	[]
1	1	8	AH0001	4.308	5.09	소통기획팀의	[]
1	1	9	AH0001	5.23	5.631	@이름6	[]
1	1	10	AH0001	5.731	5.991	주무관	[]
1	1	11	AH0001	6.032	6.593	연결해서	[]
1	1	12	AH0001	6.693	6.893	말씀	[]
1	1	13	AH0001	6.933	7.695	나눠보겠습니다.	[]
1	2	1	AH0001	7.695	8.402	안녕하세요.	[]
2	3	1	AH0002	8.988	10.877	네	[]
2	3	2	AH0002	10.918	11.621	안녕하세요.	[]
3	4	1	AH0001	11.621	12.002	예예	[]
3	4	2	AH0001	12.444	12.846	이십구	[]
3	4	3	AH0001	12.946	13.006	초	[]
3	4	4	AH0001	13.067	13.548	영화제는	[]
3	4	5	AH0001	13.609	13.809	어떤	[]
3	4	6	AH0001	13.85	14.733	영화제인가요?	[]
4	5	1	AH0002	14.733	15.835	네	[]
4	5	2	AH0002	15.955	16.136	서울	[]
4	5	3	AH0002	16.216	16.496	이십구	[]
4	5	4	AH0002	16.557	16.637	초	[]
4	5	5	AH0002	16.697	17.118	영화제는	[]
4	5	6	AH0002	17.258	17.559	올해로	[]
4	5	7	AH0002	17.659	17.879	벌써	[]
4	5	8	AH0002	17.899	17.979	칠	[]
4	5	9	AH0002	18.08	18.16	회	[]
4	5	10	AH0002	18.26	18.46	차를	[]
4	5	11	AH0002	18.541	18.961	맞이하고	[]
4	5	12	AH0002	18.981	19.783	있는데요.	[]
4	6	1	AH0002	20.118	20.499	영상	[]
4	6	2	AH0002	20.599	21.08	공모전에	[]
4	6	3	AH0002	21.14	21.401	관심	[]
4	6	4	AH0002	21.481	21.801	많으신	[]
4	6	5	AH0002	21.862	22.523	분들이라면	[]
4	6	6	AH0002	22.884	23.064	서울	[]
4	6	7	AH0002	23.084	23.405	이십구	[]
4	6	8	AH0002	23.485	23.525	초	[]
4	6	9	AH0002	23.585	23.926	영화제에	[]
4	6	10	AH0002	24.046	24.347	대해서	[]
