bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	3.09	3.28	CONTINUER	예.	[1]	[1]	[5]
2	AH0002	4.8	5.725	CONTINUER	음. 예.	[1]	[1]	[10]
3	AH0002	27.983	29.223	AFFIRMATIVE	그렇죠. 음.	[3]	[4]	[3]
4	AH0002	31.86	32.055	CONTINUER	네.	[3]	[4]	[8]
5	AH0002	43.27	44.28	AFFIRMATIVE	그렇습니다. 네.	[3]	[5]	[17]
6	AH0002	69.257	69.656	AFFIRMATIVE	그렇죠.	[3]	[7]	[17]
7	AH0002	96.162	96.757	CONTINUER	예.	[5]	[11]	[8]
8	AH0002	113.798	114.228	CONTINUER	음.	[5]	[13]	[1]
9	AH0002	147.656	148.341	CONTINUER	네.	[11]	[20]	[8]
10	AH0002	150.78	151.155	CONTINUER	네.	[11]	[21]	[7]
11	AH0002	176.583	176.817	CONTINUER	예.	[13]	[24]	[11]
12	AH0002	179.615	180.283	CONTINUER	네.	[13]	[25]	[5]
13	AH0002	192.373	192.563	CONTINUER	음.	[13]	[26]	[20]
14	AH0002	200.908	201.792	CONTINUER	네.	[]	[]	[]
15	AH0002	216.063	216.763	CONTINUER	음.	[15]	[30]	[4]
16	AH0002	222.793	223.348	AFFIRMATIVE	맞습니다.	[15]	[30]	[16]
17	AH0002	225.108	225.903	CONTINUER	음.	[15]	[31]	[2]
18	AH0002	232.579	232.879	CONTINUER	예.	[15]	[34]	[1]
19	AH0002	242.084	242.709	CONTINUER	오.	[15]	[34]	[18]
20	AH0001	258.848	259.633	AFFIRMATIVE	그렇습니다.	[18]	[38]	[5]
21	AH0002	276.229	277.179	UNDERSTANDING	아.	[19]	[40]	[15]
22	AH0002	281.571	281.884	CONTINUER	네.	[19]	[41]	[8]
23	AH0002	289.766	290.17	CONTINUER	예.	[19]	[42]	[15]
24	AH0001	310.929	311.149	CONTINUER	네.	[20]	[45]	[16]
25	AH0002	320.721	320.941	CONTINUER	예.	[21]	[47]	[1]
26	AH0002	334.122	334.817	CONTINUER	네.	[21]	[48]	[6]
27	AH0002	367.679	368.109	CONTINUER	네.	[23]	[52]	[14]
28	AH0002	383.431	384.006	CONTINUER	네.	[23]	[54]	[14]
29	AH0002	394.545	394.735	CONTINUER	네.	[23]	[56]	[8]
30	AH0002	404.216	405.571	CONTINUER	네.	[23]	[57]	[13]
31	AH0002	409.464	409.984	CONTINUER	예.	[23]	[58]	[10]
32	AH0002	424.596	425.128	CONTINUER	네.	[23]	[60]	[5]
33	AH0002	451.006	451.366	CONTINUER	어.	[25]	[64]	[3]
34	AH0002	453.929	454.48	CONTINUER	네.	[25]	[64]	[7]
35	AH0002	469.518	470.403	CONTINUER	예.	[27]	[67]	[4]
36	AH0002	473.924	474.2	CONTINUER	네.	[27]	[68]	[7]
37	AH0001	476.217	476.717	CONTINUER	으음.	[28]	[69]	[5]
38	AH0002	492.441	492.958	CONTINUER	네.	[]	[]	[]
39	AH0002	496.123	496.653	CONTINUER	음.	[29]	[73]	[1]
40	AH0002	500.649	500.959	CONTINUER	네.	[29]	[73]	[9]
41	AH0002	518.789	519.309	CONTINUER	네.	[31]	[77]	[11]
42	AH0002	528.205	528.898	CONTINUER	네.	[31]	[79]	[8]
