uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.0	1.402	매주	[]
1	1	2	SL0001	1.502	1.943	여러분이	[]
1	1	3	SL0001	1.963	2.043	계신	[]
1	1	4	SL0001	2.163	2.484	자리로	[]
1	1	5	SL0001	2.724	3.085	빛나는	[]
1	1	6	SL0001	3.105	3.385	음악을	[]
1	1	7	SL0001	3.566	3.866	전달해	[]
1	1	8	SL0001	3.926	4.527	드립니다.	[]
1	2	1	SL0001	4.527	4.888	새로운	[]
1	2	2	SL0001	5.109	5.29	펑크	[]
1	2	3	SL0001	5.35	5.631	세대의	[]
1	2	4	SL0001	6.353	6.694	오십	[]
1	2	5	SL0001	6.855	7.176	씨씨	[]
1	2	6	SL0001	7.276	8.801	종달새	[]
1	2	7	SL0001	9.283	10.186	작가죠.	[]
1	3	1	SL0001	10.187	10.57	@이름1씨	[]
1	3	2	SL0001	10.611	11.155	모셨습니다	[]
1	3	3	SL0001	11.236	12.083	안녕하세요.	[]
2	4	1	SL0002	12.083	12.873	안녕하세요	[]
2	4	2	SL0002	12.974	14.027	@이름1입니다.	[]
3	5	1	SL0001	14.027	14.388	아	[]
3	5	2	SL0001	14.529	14.789	@이름1	[]
3	5	3	SL0001	14.85	14.91	볼	[]
3	5	4	SL0001	15.03	15.532	때마다	[]
3	5	5	SL0001	15.733	16.013	요즘	[]
3	5	6	SL0001	16.134	16.375	마음이	[]
3	5	7	SL0001	16.435	16.495	좀	[]
3	5	8	SL0001	16.515	16.535	안	[]
3	5	9	SL0001	16.696	17.117	좋아요.	[1]
3	5	10	SL0001	17.217	17.779	너무	[]
3	5	11	SL0001	17.799	18.281	힘들어서	[]
4	6	1	SL0002	18.648	18.968	아니.	[]
4	6	2	SL0002	19.008	19.329	아니에요.	[]
4	6	3	SL0002	19.389	19.609	아직	[]
4	6	4	SL0002	19.889	19.989	아	[]
4	6	5	SL0002	20.59	20.89	뭐	[2]
4	6	6	SL0002	21.13	21.571	힘든	[]
4	6	7	SL0002	21.631	22.011	거는	[]
4	6	8	SL0002	22.171	22.271	좀	[]
4	6	9	SL0002	22.291	22.431	이제	[]
4	6	10	SL0002	22.512	22.852	적응이	[]
4	6	11	SL0002	22.912	23.092	되면	[]
4	6	12	SL0002	23.152	23.773	되겠지만	[3]
4	6	13	SL0002	23.913	24.013	좀	[]
4	6	14	SL0002	24.133	24.633	외롭기도	[]
4	6	15	SL0002	24.694	25.054	하고	[4]
4	6	16	SL0002	25.174	25.654	저희가	[]
4	6	17	SL0002	25.714	25.754	이제	[]
4	6	18	SL0002	25.855	26.155	시간이	[]
4	6	19	SL0002	26.275	26.575	줄면서	[5]
4	7	1	SL0002	27.416	27.456	또	[]
4	7	2	SL0002	27.476	27.696	이제	[]
4	7	3	SL0002	27.757	28.157	스탭도	[]
4	7	4	SL0002	28.237	28.317	좀	[]
4	7	5	SL0002	28.518	29.159	줄어서	[6]
4	7	6	SL0002	29.179	29.76	저희가	[]
4	7	7	SL0002	29.82	29.94	좀	[]
4	7	8	SL0002	30.1	31.202	허전하잖아요.	[7]
4	7	9	SL0002	31.282	31.382	밥	[]
4	7	10	SL0002	31.462	31.643	먹을	[]
4	7	11	SL0002	31.723	31.883	때도	[]
4	7	12	SL0002	31.903	32.384	그렇고	[8]
4	7	13	SL0002	32.444	32.464	막	[]
4	7	14	SL0002	32.484	32.945	스튜디오	[]
4	7	15	SL0002	33.005	33.305	들어갈	[]
4	7	16	SL0002	33.385	33.566	때두	[]
4	8	1	SL0002	34.103	34.123	그	[]
4	8	2	SL0002	34.143	34.303	조금	[]
4	8	3	SL0002	34.443	34.604	이제	[]
4	8	4	SL0002	34.684	35.145	허전한	[]
4	8	5	SL0002	35.846	36.046	마음이	[]
4	8	6	SL0002	36.126	36.607	들지만	[]
4	8	7	SL0002	36.807	36.967	그래도	[]
4	8	8	SL0002	37.047	37.268	저희의	[]
4	8	9	SL0002	37.348	37.688	목표가	[]
4	8	10	SL0002	37.708	37.868	있지	[]
4	8	11	SL0002	37.909	39.13	않습니까	[]
4	8	12	SL0002	39.331	39.571	저희가	[]
4	8	13	SL0002	39.591	39.791	이제	[]
4	8	14	SL0002	39.992	40.412	열심히	[]
4	8	15	SL0002	40.432	40.552	해서	[]
4	9	1	SL0002	41.02	41.341	더	[]
4	9	2	SL0002	41.562	41.682	예	[]
4	9	3	SL0002	41.963	42.063	예	[]
4	9	4	SL0002	42.244	42.405	크게	[]
4	9	5	SL0002	42.425	42.465	이	[]
4	9	6	SL0002	42.645	43.067	프로그램을	[]
4	9	7	SL0002	43.127	43.769	만들어서	[]
4	9	8	SL0002	43.95	44.07	더	[]
4	9	9	SL0002	44.11	44.23	이제	[]
4	9	10	SL0002	44.271	44.471	많은	[]
4	9	11	SL0002	44.531	45.113	식구들이랑	[]
4	9	12	SL0002	45.154	45.615	복작복작	[]
4	10	1	SL0002	46.081	46.442	프로그램	[]
4	10	2	SL0002	46.502	46.823	만드는	[]
4	10	3	SL0002	46.863	46.943	게	[]
4	10	4	SL0002	46.983	47.223	저희	[]
4	10	5	SL0002	47.264	47.845	목표니까	[]
4	10	6	SL0002	48.546	48.787	하루	[]
4	10	7	SL0002	48.827	49.408	정도만	[]
4	10	8	SL0002	49.508	49.749	살짝	[]
4	10	9	SL0002	49.809	50.711	외로워하고	[9]
4	10	10	SL0002	50.991	51.152	이제	[]
4	10	11	SL0002	51.192	51.493	열심히	[]
4	10	12	SL0002	51.673	52.174	해야죠.	[]
5	11	1	SL0001	52.175	52.457	그러게요	[]
5	11	2	SL0001	52.517	52.658	하루	[]
5	11	3	SL0001	52.718	53.262	지났는데.	[]
5	11	4	SL0001	53.282	53.644	그	[10]
5	11	5	SL0001	54.026	54.227	조금	[]
5	11	6	SL0001	54.328	55.515	익숙해졌어요.	[]
5	12	1	SL0001	55.66	56.122	아주	[]
5	12	2	SL0001	56.182	56.302	조금	[]
5	12	3	SL0001	56.403	56.423	그쵸.	[]
6	13	1	SL0002	55.885	56.126	예.	[]
6	13	2	SL0002	56.366	56.446	아	[]
6	13	3	SL0002	56.526	56.747	사실	[]
6	13	4	SL0002	56.767	57.007	아직	[]
6	13	5	SL0002	57.068	57.348	저는	[]
6	13	6	SL0002	57.529	57.689	그	[]
6	13	7	SL0002	58.09	58.33	밖에서	[]
6	13	8	SL0002	58.41	58.611	하는	[]
6	13	9	SL0002	58.671	58.911	일을	[]
6	13	10	SL0002	58.952	59.192	적용이	[]
6	13	11	SL0002	59.252	60.194	안되겠는데	[11]
6	13	12	SL0002	60.355	60.615	마이크	[]
6	13	13	SL0002	60.635	60.755	앞에	[]
6	13	14	SL0002	60.796	60.856	선	[]
6	13	15	SL0002	61.096	61.477	괜찮네요.	[]
7	14	1	SL0001	61.477	61.557	그래도	[]
7	14	2	SL0001	61.718	61.818	우리	[]
7	14	3	SL0001	61.979	62.039	저	[]
7	14	4	SL0001	62.139	63.122	피크님들한테	[12]
7	14	5	SL0001	63.383	63.564	각오	[]
7	14	6	SL0001	63.584	63.885	한마디	[]
7	14	7	SL0001	63.905	63.985	하면	[]
7	14	8	SL0001	63.985	64.106	쫙	[]
7	14	9	SL0001	64.106	64.527	해주시	[]
7	14	10	SL0001	64.567	64.868	열심히	[]
7	14	11	SL0001	64.888	65.269	하겠습니다.	[]
7	14	12	SL0001	65.29	65.691	예쁘게	[13]
7	14	13	SL0001	65.711	65.731	봐	[]
7	14	14	SL0001	65.751	65.831	주십시오.	[]
7	14	15	SL0001	65.851	65.912	열심히	[]
7	14	16	SL0001	65.932	66.032	하겠습니다.	[]
8	15	1	SL0002	66.402	67.127	예쁘게	[]
8	15	2	SL0002	67.188	67.289	봐	[]
8	15	3	SL0002	67.369	68.196	주십시오	[]
8	15	4	SL0002	68.316	68.699	열심히	[]
8	15	5	SL0002	68.719	69.324	하겠습니다.	[]
9	16	1	SL0001	69.324	70.209	자	[]
9	16	2	SL0001	70.33	70.47	오늘을	[]
9	16	3	SL0001	70.531	70.772	위해서	[]
