bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	19.802	20.242	CONTINUER	네.	[2]	[3]	[15]
2	AH0002	26.867	27.5	CONTINUER	네.	[3]	[5]	[10]
3	AH0001	31.674	32.369	CONTINUER	네.	[4]	[7]	[6]
4	AH0001	34.374	34.959	CONTINUER	예.	[4]	[7]	[11]
5	AH0001	37.914	38.379	CONTINUER	네.	[4]	[7]	[17]
6	AH0002	43.166	44.246	AFFIRMATIVE	그러게 말입니다.	[5]	[9]	[8]
7	AH0002	46.665	46.88	CONTINUER	네.	[5]	[9]	[15]
8	AH0002	50.147	50.242	CONTINUER	네.	[5]	[10]	[2]
9	AH0001	61.93	62.245	CONTINUER	네.	[6]	[12]	[9]
10	AH0001	79.882	80.291	CONTINUER	네.	[8]	[16]	[6]
11	AH0001	91.666	92.619	CONTINUER	네.	[10]	[19]	[9]
12	AH0001	101.719	102.539	CONTINUER	네.	[10]	[20]	[21]
