bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	20.689	20.939	CONTINUER	네.	[4]	[5]	[7]
2	AH0001	24.326	24.722	CONTINUER	예예.	[4]	[6]	[2]
3	AH0001	27.982	28.738	CONTINUER	네네.	[6]	[8]	[3]
4	AH0001	32.76	33.125	CONTINUER	음.	[6]	[9]	[10]
5	AH0001	37.103	37.283	CONTINUER	음.	[6]	[10]	[4]
6	AH0001	43.851	44.051	CONTINUER	음.	[8]	[12]	[5]
7	AH0001	52.528	52.818	CONTINUER	음.	[8]	[13]	[1]
8	AH0001	55.737	56.073	CONTINUER	네.	[8]	[13]	[11]
9	AH0001	63.471	63.856	AFFIRMATIVE	맞아요.	[10]	[17]	[1]
10	AH0001	65.581	66.231	AFFIRMATIVE	맞아요.	[10]	[17]	[4]
11	AH0001	69.0	69.62	AFFIRMATIVE	그러니까요.	[10]	[17]	[12]
12	AH0001	71.256	72.356	CONTINUER	예예. 예예.	[10]	[17]	[20]
13	AH0001	80.774	81.609	UNDERSTANDING	음.	[12]	[19]	[13]
14	AH0001	86.099	86.649	AFFIRMATIVE	맞아요.	[12]	[19]	[27]
15	AH0001	94.788	95.378	UNDERSTANDING	음.	[12]	[20]	[11]
16	AH0001	97.883	98.128	CONTINUER	네.	[12]	[21]	[3]
17	AH0001	101.473	101.738	CONTINUER	네.	[12]	[21]	[11]
18	AH0001	108.168	108.597	CONTINUER	네.	[12]	[22]	[13]
19	AH0001	114.621	114.757	CONTINUER	음.	[12]	[23]	[18]
20	AH0001	119.323	119.759	CONTINUER	네.	[12]	[24]	[11]
21	AH0001	123.112	123.377	CONTINUER	네.	[12]	[25]	[7]
22	AH0001	125.667	126.082	AFFIRMATIVE	맞아요.	[12]	[25]	[14]
23	AH0001	127.419	128.009	AFFIRMATIVE	맞습니다.	[12]	[26]	[1]
24	AH0001	131.328	131.848	UNDERSTANDING	음.	[12]	[26]	[11]
25	AH0002	139.931	140.345	AFFIRMATIVE	그렇죠.	[13]	[29]	[4]
26	AH0002	146.845	147.255	CONTINUER	예.	[13]	[29]	[17]
27	AH0001	151.018	151.633	ASSESSMENT	아이고.	[14]	[30]	[7]
28	AH0002	161.294	161.509	CONTINUER	음.	[15]	[33]	[7]
29	AH0001	179.678	180.098	AFFIRMATIVE	그쵸.	[16]	[35]	[14]
30	AH0001	184.774	185.524	CONTINUER	네.	[18]	[38]	[6]
31	AH0001	192.649	192.989	AFFIRMATIVE	그러닌까.	[18]	[39]	[18]
32	AH0001	196.996	197.876	CONTINUER	네.	[18]	[40]	[9]
33	AH0001	206.17	206.99	CONTINUER	네네. 네.	[18]	[42]	[9]
34	AH0001	209.496	210.051	CONTINUER	예예.	[18]	[43]	[4]
35	AH0001	212.281	212.546	CONTINUER	예.	[18]	[43]	[10]
36	AH0001	218.981	220.246	AFFIRMATIVE	맞아요. 맞아요. 네.	[18]	[44]	[6]
37	AH0001	221.261	221.901	CONTINUER	네네네.	[18]	[44]	[13]
38	AH0002	227.75	228.36	UNDERSTANDING	음.	[19]	[48]	[2]
39	AH0001	231.705	232.0	CONTINUER	예.	[20]	[50]	[6]
40	AH0001	234.17	234.945	AFFIRMATIVE	네네. 그렇죠.	[20]	[50]	[11]
41	AH0002	237.649	237.979	CONTINUER	예예.	[21]	[51]	[3]
42	AH0001	241.751	242.891	CONTINUER	네네. 네네.	[22]	[52]	[2]
43	AH0001	247.939	248.954	CONTINUER	네네.	[22]	[53]	[13]
44	AH0001	251.339	251.904	AFFIRMATIVE	그렇습니다.	[22]	[53]	[20]
45	AH0001	254.592	254.981	CONTINUER	네네.	[22]	[54]	[6]
46	AH0001	276.467	276.798	AFFIRMATIVE	맞아요.	[24]	[58]	[28]
47	AH0002	280.821	281.221	CONTINUER	예.	[25]	[59]	[5]
48	AH0002	283.171	283.786	AFFIRMATIVE	예. 그쵸.	[25]	[59]	[10]
49	AH0002	288.722	288.818	CONTINUER	음.	[25]	[60]	[12]
50	AH0002	294.468	294.699	CONTINUER	예.	[25]	[61]	[3]
51	AH0002	298.202	298.432	CONTINUER	음.	[25]	[63]	[5]
52	AH0002	302.219	302.519	AFFIRMATIVE	그쵸.	[25]	[65]	[1]
53	AH0001	308.697	309.027	ASSESSMENT	와.	[26]	[68]	[1]
54	AH0001	312.885	313.545	AFFIRMATIVE	그러니까요.	[26]	[68]	[13]
55	AH0001	314.765	315.2	CONTINUER	네.	[26]	[68]	[17]
56	AH0001	316.139	316.7	ASSESSMENT	와.	[26]	[69]	[3]
57	AH0001	318.93	319.49	CONTINUER	예.	[26]	[69]	[12]
58	AH0001	330.671	331.562	AFFIRMATIVE	그쵸. 그쵸.	[30]	[74]	[10]
59	AH0001	333.092	334.467	CONTINUER	네네네.	[30]	[74]	[16]
60	AH0001	337.087	337.437	CONTINUER	음.	[30]	[75]	[1]
