bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	35.053	35.378	CONTINUER	예.	[4]	[5]	[5]
2	AH0001	41.51	41.755	CONTINUER	네.	[6]	[7]	[5]
3	AH0001	48.605	48.89	CONTINUER	예.	[8]	[9]	[5]
4	AH0001	56.613	56.908	CONTINUER	응.	[10]	[12]	[9]
5	AH0001	60.837	61.117	CONTINUER	네.	[10]	[12]	[19]
6	AH0001	67.011	67.391	CONTINUER	네.	[10]	[13]	[14]
7	AH0001	85.061	86.041	UNDERSTANDING	음.	[12]	[16]	[7]
8	AH0001	91.573	91.972	CONTINUER	네.	[12]	[16]	[19]
9	AH0001	94.447	95.362	UNDERSTANDING	아. 네.	[12]	[17]	[7]
10	AH0001	98.912	99.147	CONTINUER	응.	[12]	[17]	[17]
11	AH0001	105.187	105.597	ASSESSMENT	오!	[12]	[18]	[5]
12	AH0001	112.367	112.732	CONTINUER	네.	[12]	[18]	[15]
13	AH0001	116.857	117.302	CONTINUER	응.	[]	[]	[]
14	AH0001	121.435	121.715	CONTINUER	응.	[14]	[20]	[8]
15	AH0001	125.939	126.353	CONTINUER	네.	[14]	[20]	[15]
16	AH0001	148.147	149.732	AFFIRMATIVE	그렇죠. 네네.	[16]	[23]	[7]
17	AH0001	154.374	154.744	CONTINUER	응.	[16]	[24]	[9]
18	AH0001	159.879	160.234	CONTINUER	네.	[16]	[24]	[16]
19	AH0001	163.126	163.506	CONTINUER	예.	[16]	[25]	[6]
20	AH0001	169.498	169.808	CONTINUER	네.	[16]	[25]	[20]
21	AH0001	176.358	176.523	CONTINUER	응.	[16]	[26]	[20]
22	AH0001	177.824	178.326	CONTINUER	예예.	[16]	[26]	[23]
23	AH0001	180.821	181.151	CONTINUER	네.	[16]	[27]	[6]
24	AH0001	187.238	187.563	CONTINUER	네.	[16]	[27]	[25]
25	AH0001	191.71	192.135	ASSESSMENT	어머!	[16]	[28]	[8]
