bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	7.32	7.515	CONTINUER	네.	[2]	[3]	[9]
2	AH0001	12.018	12.343	CONTINUER	네.	[2]	[5]	[1]
3	AH0001	20.146	20.412	CONTINUER	네.	[2]	[6]	[8]
4	AH0001	23.515	24.905	ASSESSMENT	흠!	[2]	[7]	[7]
5	AH0001	31.965	32.285	CONTINUER	음.	[2]	[9]	[10]
6	AH0002	35.564	36.834	CONTINUER	예. 네네.	[3]	[10]	[1]
7	AH0002	38.159	38.834	UNDERSTANDING	아.	[3]	[10]	[7]
8	AH0002	49.089	49.389	CONTINUER	네네.	[5]	[15]	[1]
9	AH0001	53.429	54.958	CONTINUER	네. 네.	[6]	[16]	[10]
10	AH0002	56.455	56.665	CONTINUER	네.	[7]	[18]	[3]
11	AH0001	63.061	63.372	CONTINUER	네.	[8]	[20]	[7]
12	AH0001	71.163	71.333	CONTINUER	어.	[8]	[23]	[1]
13	AH0001	74.214	74.624	CONTINUER	어.	[8]	[24]	[1]
14	AH0001	79.505	79.892	AFFIRMATIVE	그쵸.	[8]	[24]	[11]
15	AH0001	84.206	84.526	CONTINUER	으흠.	[8]	[26]	[3]
16	AH0002	101.614	102.184	ASSESSMENT	이야.	[9]	[30]	[1]
17	AH0001	112.577	112.842	CONTINUER	음.	[10]	[32]	[1]
18	AH0001	115.771	116.001	CONTINUER	음.	[10]	[32]	[7]
19	AH0002	120.037	120.957	CONTINUER	네. 음.	[11]	[33]	[1]
20	AH0002	121.922	122.352	CONTINUER	네네네.	[11]	[33]	[5]
21	AH0002	125.026	125.266	CONTINUER	네.	[11]	[33]	[9]
22	AH0002	128.58	129.046	AFFIRMATIVE	그르쵸.	[11]	[33]	[13]
23	AH0001	131.074	131.379	CONTINUER	네.	[12]	[35]	[3]
24	AH0001	132.833	133.074	CONTINUER	예.	[12]	[35]	[8]
25	AH0001	142.496	142.826	CONTINUER	네.	[12]	[39]	[6]
26	AH0001	148.13	148.605	UNDERSTANDING	음.	[12]	[39]	[24]
27	AH0001	153.524	153.785	CONTINUER	음.	[12]	[42]	[1]
28	AH0001	155.313	155.608	CONTINUER	음.	[12]	[42]	[6]
29	AH0001	158.242	158.477	CONTINUER	음.	[12]	[43]	[6]
30	AH0001	167.89	168.289	CONTINUER	예.	[14]	[46]	[8]
31	AH0001	178.598	179.197	CONTINUER	예.	[18]	[51]	[10]
32	AH0001	182.328	183.353	ASSESSMENT	와!	[18]	[53]	[4]
33	AH0002	192.229	192.434	CONTINUER	네네.	[19]	[54]	[2]
34	AH0001	203.793	204.563	ASSESSMENT	와!	[22]	[58]	[6]
35	AH0001	212.385	212.735	CONTINUER	음.	[22]	[60]	[11]
36	AH0001	213.784	214.014	CONTINUER	음.	[22]	[62]	[1]
37	AH0001	219.377	219.562	CONTINUER	네.	[22]	[63]	[5]
38	AH0001	220.505	221.175	ASSESSMENT	카.	[22]	[64]	[1]
39	AH0001	224.62	225.31	CONTINUER	음.	[22]	[64]	[10]
40	AH0001	232.217	232.792	ASSESSMENT	와!	[22]	[66]	[13]
41	AH0001	241.475	242.905	CONTINUER	음. 음. 음.	[24]	[70]	[11]
42	AH0002	246.24	246.445	CONTINUER	음.	[25]	[72]	[3]
43	AH0002	248.97	249.315	CONTINUER	네네.	[25]	[72]	[9]
44	AH0001	251.815	252.26	CONTINUER	음.	[26]	[73]	[2]
45	AH0001	254.854	255.324	CONTINUER	네.	[26]	[73]	[8]
46	AH0001	261.543	262.013	CONTINUER	네.	[26]	[75]	[8]
47	AH0001	273.484	273.809	CONTINUER	음.	[26]	[78]	[6]
48	AH0002	279.976	280.251	CONTINUER	음.	[27]	[79]	[6]
49	AH0001	285.408	285.773	CONTINUER	네.	[28]	[81]	[1]
50	AH0001	288.379	289.274	UNDERSTANDING	아.	[28]	[82]	[1]
51	AH0001	291.442	291.922	CONTINUER	음.	[28]	[83]	[1]
52	AH0001	294.776	295.151	CONTINUER	음.	[28]	[84]	[1]
53	AH0001	300.954	301.44	UNDERSTANDING	아.	[28]	[86]	[1]
54	AH0001	304.793	305.131	CONTINUER	네.	[28]	[87]	[4]
55	AH0001	306.631	306.882	CONTINUER	네.	[28]	[88]	[1]
56	AH0001	308.3	310.895	ASSESSMENT	아! 하!	[28]	[89]	[1]
57	AH0001	316.105	316.405	CONTINUER	네.	[28]	[89]	[21]
58	AH0002	325.329	325.595	CONTINUER	음.	[29]	[91]	[4]
59	AH0002	326.569	326.794	CONTINUER	음.	[29]	[91]	[6]
60	AH0001	333.124	334.343	UNDERSTANDING	음.	[30]	[93]	[11]
61	AH0002	349.877	350.302	CONTINUER	네네.	[31]	[97]	[3]
62	AH0001	351.63	352.235	CONTINUER	예.	[32]	[98]	[4]
63	AH0002	354.553	354.788	CONTINUER	음.	[33]	[99]	[5]
64	AH0002	358.785	359.265	CONTINUER	어.	[35]	[103]	[3]
65	AH0002	360.545	361.81	CONTINUER	예. 예.	[35]	[104]	[3]
66	AH0001	367.75	368.04	CONTINUER	음.	[36]	[106]	[14]
67	AH0001	376.76	377.445	CONTINUER	네.	[36]	[109]	[1]
68	AH0001	383.539	384.164	CONTINUER	음.	[36]	[110]	[6]
69	AH0001	390.653	391.683	UNDERSTANDING	아.	[36]	[111]	[7]
70	AH0001	398.697	399.392	CONTINUER	예.	[38]	[114]	[7]
71	AH0001	400.646	401.036	CONTINUER	어.	[38]	[114]	[10]
72	AH0001	409.552	409.907	CONTINUER	음.	[38]	[116]	[1]
73	AH0002	426.471	426.686	CONTINUER	네.	[41]	[121]	[2]
74	AH0001	429.604	430.754	CONTINUER	네. 예.	[42]	[122]	[3]
75	AH0001	431.858	432.178	CONTINUER	예.	[42]	[123]	[3]
76	AH0001	436.064	436.499	NEGATIVE_SURPRISE	허.	[42]	[123]	[11]
77	AH0001	438.209	438.784	CONTINUER	예.	[42]	[123]	[16]
78	AH0001	440.986	442.086	NEGATIVE_SURPRISE	아.	[42]	[124]	[1]
79	AH0001	445.856	447.016	NEGATIVE_SURPRISE	아.	[42]	[125]	[4]
80	AH0001	454.3	454.965	CONTINUER	음.	[42]	[126]	[19]
81	AH0001	459.75	460.485	UNDERSTANDING	네.	[42]	[127]	[1]
82	AH0001	463.22	463.6	CONTINUER	네.	[42]	[128]	[1]
83	AH0001	465.025	465.28	CONTINUER	음.	[42]	[128]	[5]
84	AH0001	470.404	470.959	AFFIRMATIVE	그렇군요.	[42]	[128]	[22]
85	AH0001	471.413	471.663	CONTINUER	음.	[42]	[129]	[1]
86	AH0001	475.769	476.406	CONTINUER	네.	[42]	[129]	[13]
87	AH0002	479.644	480.904	CONTINUER	음. 음.	[43]	[131]	[1]
88	AH0002	482.549	482.729	CONTINUER	네.	[43]	[131]	[6]
89	AH0001	487.394	487.999	AFFIRMATIVE	그렇죠.	[44]	[132]	[12]
90	AH0001	493.6	494.24	CONTINUER	음. 음. 음.	[44]	[133]	[13]
91	AH0002	500.455	501.575	CONTINUER	음. 네네네.	[45]	[135]	[2]
92	AH0002	504.655	504.876	CONTINUER	음.	[45]	[136]	[7]
93	AH0002	507.571	507.761	CONTINUER	음.	[45]	[136]	[11]
94	AH0002	510.326	510.601	CONTINUER	음.	[45]	[136]	[18]
95	AH0002	512.546	512.921	CONTINUER	네네.	[45]	[136]	[21]
96	AH0002	514.236	514.506	CONTINUER	음.	[45]	[136]	[25]
97	AH0002	519.369	519.544	CONTINUER	음.	[45]	[137]	[6]
98	AH0002	520.37	520.735	CONTINUER	으흠.	[45]	[137]	[9]
99	AH0002	523.354	524.684	CONTINUER	네. 음.	[45]	[138]	[7]
100	AH0001	529.404	529.929	CONTINUER	네.	[46]	[139]	[11]
101	AH0001	531.434	532.009	ASSESSMENT	이야.	[46]	[139]	[17]
102	AH0001	533.283	533.538	CONTINUER	음.	[46]	[140]	[5]
103	AH0001	534.373	534.918	CONTINUER	네.	[46]	[140]	[8]
104	AH0002	543.338	543.548	CONTINUER	네.	[47]	[143]	[1]
105	AH0002	548.964	549.119	CONTINUER	네.	[47]	[144]	[4]
