bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	28.577	28.827	CONTINUER	네.	[9]	[10]	[16]
2	AH0002	37.236	37.531	CONTINUER	네.	[9]	[12]	[9]
3	AH0002	41.776	42.466	CONTINUER	네.	[9]	[12]	[17]
4	AH0002	43.951	44.281	CONTINUER	네.	[9]	[12]	[22]
5	AH0001	50.54	51.025	CONTINUER	어.	[10]	[14]	[3]
6	AH0001	55.099	55.369	CONTINUER	네.	[10]	[15]	[8]
7	AH0001	59.909	60.224	CONTINUER	어.	[10]	[16]	[9]
8	AH0001	62.249	62.519	CONTINUER	네.	[10]	[16]	[12]
9	AH0001	67.686	68.831	CONTINUER	어어. 네.	[10]	[17]	[10]
10	AH0001	72.335	72.63	CONTINUER	네.	[10]	[19]	[1]
11	AH0001	74.27	75.045	CONTINUER	어.	[10]	[19]	[4]
12	AH0001	82.499	82.739	CONTINUER	네.	[12]	[21]	[8]
13	AH0001	84.639	84.904	CONTINUER	네.	[12]	[22]	[7]
14	AH0001	85.819	86.214	CONTINUER	네.	[12]	[22]	[9]
15	AH0001	91.119	91.474	CONTINUER	음.	[12]	[22]	[25]
16	AH0001	92.167	92.362	CONTINUER	네.	[12]	[22]	[26]
17	AH0001	93.807	94.132	CONTINUER	네.	[12]	[23]	[3]
18	AH0001	95.474	97.07	ASSESSMENT	어. 참.	[12]	[23]	[4]
19	AH0001	100.055	100.39	CONTINUER	음.	[12]	[24]	[9]
20	AH0001	104.95	105.39	CONTINUER	네.	[12]	[24]	[17]
21	AH0001	108.653	108.953	CONTINUER	네.	[12]	[25]	[7]
22	AH0001	110.638	111.298	CONTINUER	음.	[12]	[25]	[11]
23	AH0001	116.334	117.019	CONTINUER	어.	[12]	[26]	[16]
24	AH0001	118.478	118.728	CONTINUER	네.	[12]	[27]	[1]
25	AH0001	120.738	121.113	CONTINUER	어.	[12]	[27]	[4]
26	AH0001	125.928	126.393	CONTINUER	음.	[12]	[28]	[5]
27	AH0001	127.278	127.828	AFFIRMATIVE	그러니까요.	[12]	[28]	[8]
28	AH0001	131.698	132.183	CONTINUER	음.	[12]	[28]	[14]
29	AH0001	134.669	135.274	CONTINUER	어.	[12]	[29]	[3]
30	AH0001	136.327	137.412	UNDERSTANDING	아.	[12]	[29]	[5]
31	AH0002	140.817	141.332	CONTINUER	네. 네.	[13]	[31]	[3]
32	AH0001	145.297	145.832	CONTINUER	음.	[14]	[33]	[6]
33	AH0002	164.753	165.133	AFFIRMATIVE	그렇죠.	[15]	[36]	[18]
34	AH0002	168.118	168.503	CONTINUER	네.	[15]	[37]	[9]
35	AH0001	175.336	175.736	CONTINUER	네.	[16]	[39]	[6]
36	AH0001	177.074	177.329	CONTINUER	네.	[16]	[40]	[2]
37	AH0001	180.824	181.239	CONTINUER	네.	[16]	[40]	[8]
38	AH0001	183.054	183.574	CONTINUER	어.	[16]	[40]	[15]
39	AH0001	185.447	186.252	AFFIRMATIVE	그렇죠. 그렇죠.	[16]	[41]	[4]
40	AH0001	188.202	188.562	CONTINUER	음.	[16]	[41]	[8]
