uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.129	1.289	근데	[]
1	1	2	AH0001	1.429	1.49	지금	[]
1	1	3	AH0001	1.53	2.01	어쨌건	[]
1	1	4	AH0001	2.451	2.772	중도금	[]
1	1	5	AH0001	2.872	2.992	지급	[]
1	1	6	AH0001	3.072	3.252	계좌를	[]
1	1	7	AH0001	3.313	3.893	알려줘서	[]
1	1	8	AH0001	4.114	4.314	거기다	[]
1	1	9	AH0001	4.374	5.015	입금했더니	[]
1	1	10	AH0001	5.937	6.417	매도인이랑	[]
1	1	11	AH0001	6.518	6.918	의사소통에	[]
1	1	12	AH0001	6.998	7.239	문제가	[]
1	1	13	AH0001	7.259	7.98	있었던지	[]
1	1	14	AH0001	8.0	8.16	아님	[]
1	1	15	AH0001	8.421	8.921	중개사가	[]
1	1	16	AH0001	10.063	10.204	뭐라	[]
1	1	17	AH0001	10.244	10.344	그래	[]
1	1	18	AH0001	10.404	10.584	가지고	[]
1	1	19	AH0001	10.644	10.865	다시	[1]
1	2	1	AH0001	12.241	12.663	지급했던	[]
1	2	2	AH0001	12.723	12.984	중도금	[]
1	2	3	AH0001	13.044	13.506	돌려주고	[2]
1	2	4	AH0001	14.951	15.052	이	[]
1	2	5	AH0001	15.252	15.433	이게	[]
1	2	6	AH0001	16.055	16.537	공인중개사	[3]
1	2	7	AH0001	16.597	16.858	과실이	[]
1	2	8	AH0001	16.878	17.039	있다고	[]
1	2	9	AH0001	17.099	17.179	봐야	[]
1	2	10	AH0001	17.22	17.581	될까요?	[]
2	3	1	AH0002	18.399	19.261	저는	[]
2	3	2	AH0002	19.541	20.102	사실은	[]
2	3	3	AH0002	20.203	20.263	이	[]
2	3	4	AH0002	20.423	21.866	사연에서	[4]
2	3	5	AH0002	23.188	23.329	어	[]
2	3	6	AH0002	23.489	24.331	중개사의	[]
2	3	7	AH0002	24.491	24.892	과실이	[]
2	3	8	AH0002	24.972	25.332	뭔지를	[]
2	3	9	AH0002	25.413	25.533	잘	[]
2	3	10	AH0002	25.613	27.156	모르겠어요.	[5]
2	4	1	AH0002	27.156	27.557	그까	[]
2	4	2	AH0002	28.139	28.46	저는	[]
2	4	3	AH0002	28.481	28.741	이제	[]
2	4	4	AH0002	28.942	29.042	제	[]
2	4	5	AH0002	29.103	29.805	생각입니다.	[]
2	4	6	AH0002	29.885	30.226	이거는	[]
2	4	7	AH0002	30.247	30.267	제	[]
2	4	8	AH0002	30.548	31.27	생각입니다.	[6]
2	5	1	AH0002	31.325	31.345	제	[]
2	5	2	AH0002	31.445	32.025	생각에는	[]
